"","Sp.id","phos","temp","id","r.exp"
"211","Chlorella sp.",0.01,32,2,-0.0693109722091212
"212","Chlorella sp.",0.01,32,2,0.128768125717842
"213","Chlorella sp.",0.01,35,2,0.231531179218314
"214","Chlorella sp.",0.01,35,2,-0.281721445836429
"215","Chlorella sp.",0.01,35,2,0.190154661559771
"216","Chlorella sp.",0.01,35,2,0.190154658503695
"217","Chlorella sp.",0.1,15,2,0.278421836811693
"218","Chlorella sp.",0.1,15,2,0.279450389787737
"219","Chlorella sp.",0.1,15,2,0.232761022534161
"220","Chlorella sp.",0.1,15,2,0.325172871647446
"221","Chlorella sp.",0.1,20,2,0.488254045432409
"222","Chlorella sp.",0.1,20,2,0.347077876834086
"223","Chlorella sp.",0.1,20,2,0.27315384822799
"224","Chlorella sp.",0.1,20,2,0.237888277959312
"225","Chlorella sp.",0.1,24,2,0.458982362979653
"226","Chlorella sp.",0.1,24,2,0.503321131567316
"227","Chlorella sp.",0.1,24,2,0.518843768977919
"228","Chlorella sp.",0.1,24,2,0.65686992677957
"229","Chlorella sp.",0.1,28,2,-0.210707500614976
"230","Chlorella sp.",0.1,28,2,-0.143821010449865
"231","Chlorella sp.",0.1,28,2,-0.158868843860686
"232","Chlorella sp.",0.1,28,2,-0.173167830936404
"233","Chlorella sp.",0.1,32,2,-0.0432944082219753
"234","Chlorella sp.",0.1,32,2,0.290650314896521
"235","Chlorella sp.",0.1,32,2,0.145936470070916
"236","Chlorella sp.",0.1,32,2,0.00675504340527338
"237","Chlorella sp.",0.1,35,2,-0.0804112893697832
"238","Chlorella sp.",0.1,35,2,-0.0737261940427034
"239","Chlorella sp.",0.1,35,2,-0.153583080434976
"240","Chlorella sp.",0.1,35,2,0.00110063743614603
"241","Chlorella sp.",0.5,15,2,0.309811714503338
"242","Chlorella sp.",0.5,15,2,0.28739765545175
"243","Chlorella sp.",0.5,15,2,0.295513804089504
"244","Chlorella sp.",0.5,15,2,0.447835624426434
"245","Chlorella sp.",0.5,20,2,0.617573635824832
"246","Chlorella sp.",0.5,20,2,0.489044799908437
"247","Chlorella sp.",0.5,20,2,0.470909537824156
"248","Chlorella sp.",0.5,20,2,0.536689519733448
"249","Chlorella sp.",0.5,24,2,0.416203726621443
"250","Chlorella sp.",0.5,24,2,0.407099045573939
"251","Chlorella sp.",0.5,24,2,0.749326317670478
"252","Chlorella sp.",0.5,24,2,0.193492197138761
"253","Chlorella sp.",0.5,28,2,-0.182045170149255
"254","Chlorella sp.",0.5,28,2,-0.172765740069869
"255","Chlorella sp.",0.5,28,2,-0.419304425356392
"256","Chlorella sp.",0.5,28,2,-0.0397186129905742
"257","Chlorella sp.",0.5,32,2,-0.0414869258439175
"258","Chlorella sp.",0.5,32,2,0.507990934475481
"259","Chlorella sp.",0.5,32,2,0.224785643052247
"260","Chlorella sp.",0.5,32,2,-0.326093622923317
"261","Chlorella sp.",0.5,35,2,-0.0752274435452932
"262","Chlorella sp.",0.5,35,2,-0.149048820018315
"263","Chlorella sp.",0.5,35,2,-0.0634513309890005
"264","Chlorella sp.",0.5,35,2,-0.0796090502854021
"265","Chlorella sp.",1.5,15,2,-0.0474899694914855
"266","Chlorella sp.",1.5,15,2,-0.00803211065613267
"267","Chlorella sp.",1.5,15,2,0.190803633866458
"268","Chlorella sp.",1.5,15,2,-0.0152423493516372
"269","Chlorella sp.",1.5,20,2,0.231931861650079
"270","Chlorella sp.",1.5,20,2,0.126545974281474
"271","Chlorella sp.",1.5,20,2,0.312897211865317
"272","Chlorella sp.",1.5,20,2,0.13780373199105
"273","Chlorella sp.",1.5,24,2,0.173473475149451
"274","Chlorella sp.",1.5,24,2,0.385690744532101
"275","Chlorella sp.",1.5,24,2,0.15648822315462
"276","Chlorella sp.",1.5,24,2,0.139672908060772
"277","Chlorella sp.",1.5,28,2,-0.503064866067801
"278","Chlorella sp.",1.5,28,2,-0.236040186352694
"279","Chlorella sp.",1.5,28,2,-0.446637848792944
"280","Chlorella sp.",1.5,28,2,-0.265779650489247
"281","Chlorella sp.",1.5,32,2,0.275933042409373
"282","Chlorella sp.",1.5,32,2,0.100338101166483
"283","Chlorella sp.",1.5,32,2,0.408563041049379
"284","Chlorella sp.",1.5,32,2,-0.0414447624119172
"285","Chlorella sp.",1.5,35,2,-0.157233156277537
"286","Chlorella sp.",1.5,35,2,0.039768763484254
"287","Chlorella sp.",1.5,35,2,0.279833997164734
