,Species,dataset,r.max,T.br,Sp.name
180,Skeletonema ardens strain FDK006,"Thomas et al., 2012",2.244654304,17.75954473,Skeletonema ardens
181,Skeletonema ardens strain FDK007,"Thomas et al., 2012",2.233050043,17.84105159,Skeletonema ardens
182,Skeletonema costatum,"Thomas et al., 2012",0.058281366,16.58762816,Skeletonema costatum
183,Skeletonema costatum,"Thomas et al., 2012",1.01278061,18.69231276,Skeletonema costatum
184,Skeletonema costatum,"Thomas et al., 2012",1.392533972,20.99010001,Skeletonema costatum
185,Skeletonema costatum clone FHS 3,"Thomas et al., 2012",0.965035269,18.32101903,Skeletonema costatum
186,Skeletonema costatum clone FHS 7,"Thomas et al., 2012",1.634795859,17.71996343,Skeletonema costatum
187,Skeletonema costatum clone SK6C,"Thomas et al., 2012",1.294474299,21.19981256,Skeletonema costatum
188,Skeletonema costatum s.s. strain FDK009,"Thomas et al., 2012",1.39970857,19.05333028,Skeletonema costatum
189,Skeletonema japonicum strain FDK154,"Thomas et al., 2012",1.61167563,30.55313627,Skeletonema japonicum
190,Skeletonema japonicum strain FDK157,"Thomas et al., 2012",1.569263287,22.58938719,Skeletonema japonicum
191,Skeletonema japonicum strain FDK158,"Thomas et al., 2012",1.677588904,20.68318172,Skeletonema japonicum
192,Skeletonema japonicum strain FDK159,"Thomas et al., 2012",1.586730081,17.94394142,Skeletonema japonicum
193,Skeletonema japonicum strain FDK161,"Thomas et al., 2012",1.596622991,23.05850603,Skeletonema japonicum
194,Skeletonema marinoi�dohrnii complex strain FDK031,"Thomas et al., 2012",1.76231566,31.19262046,Skeletonema marinoi
195,Skeletonema marinoi�dohrnii complex strain FDK032,"Thomas et al., 2012",1.742727854,25.46839766,Skeletonema marinoi
196,Skeletonema marinoi�dohrnii complex strain FDK035,"Thomas et al., 2012",1.591258707,23.95700855,Skeletonema marinoi
197,Skeletonema marinoi�dohrnii complex strain FDK039,"Thomas et al., 2012",1.751064659,29.42293104,Skeletonema marinoi
198,Skeletonema menzelii strain DM08080630,"Thomas et al., 2012",2.220960151,21.89204729,Skeletonema menzelii
199,Skeletonema menzelii strain DM08080730,"Thomas et al., 2012",2.582908098,19.04778458,Skeletonema menzelii
200,Skeletonema menzelii strain FDK221,"Thomas et al., 2012",1.827292356,25.84991526,Skeletonema menzelii
201,Skeletonema menzelii strain FDK222,"Thomas et al., 2012",1.753910171,29.82148605,Skeletonema menzelii
202,Skeletonema pseudocostatum strain FDK225,"Thomas et al., 2012",1.82662283,19.28584675,Skeletonema pseudocostatum
203,Skeletonema tropicum clone 21-L,"Thomas et al., 2012",1.542571386,10.74169015,Skeletonema tropicum
204,Skeletonema tropicum clone fall,"Thomas et al., 2012",1.979413816,14.80403979,Skeletonema tropicum
205,Skeletonema tropicum clone S. trop.,"Thomas et al., 2012",1.995649806,15.69411696,Skeletonema tropicum
206,Skeletonema tropicum clone spring,"Thomas et al., 2012",1.539327307,10.92831065,Skeletonema tropicum
207,Skeletonema tropicum strain FDK199,"Thomas et al., 2012",1.302619392,17.28304691,Skeletonema tropicum
208,Skeletonema tropicum strain FDK202,"Thomas et al., 2012",1.334169642,16.5652731,Skeletonema tropicum
209,Skeletonema tropicum strain FDK204,"Thomas et al., 2012",1.709039228,16.47749907,Skeletonema tropicum
210,Skeletonema tropicum strain FDK205,"Thomas et al., 2012",1.611328422,16.29179949,Skeletonema tropicum
211,Skeletonema tropicum strain FDK207,"Thomas et al., 2012",1.686747224,16.16283862,Skeletonema tropicum
212,Stellarima microtrias,"Thomas et al., 2012",0.564476714,8.97458685,Stellarima microtrias
213,Stephanopyxis palmeriana,"Thomas et al., 2012",1.10302058,11.0505874,Stephanopyxis palmeriana
214,Stichococcus (possibly S. cylindricus),"Thomas et al., 2012",0.350543589,18.07560669,NA
215,Synechococcus strain WH8103,"Thomas et al., 2012",0.772484064,14.59824538,NA
216,Synedra sp.,"Thomas et al., 2012",0.377966516,9.312733607,NA
217,Thalassionema nitzschioides,"Thomas et al., 2012",1.589937924,14.97016305,Thalassionema nitzschioides
218,Thalassionema nitzschioides,"Thomas et al., 2012",1.088223445,20.13835173,Thalassionema nitzschioides
219,Thalassiosira nordenskioeldii,"Thomas et al., 2012",0.986568008,18.28838911,Thalassiosira nordenskioeldii
220,Thalassiosira nordenskioeldii clone TN-2,"Thomas et al., 2012",1.136229668,12.01480611,Thalassiosira nordenskioeldii
221,Thalassiosira pseudonana clone 5A,"Thomas et al., 2012",1.945175556,16.11220293,Thalassiosira pseudonana
222,Thalassiosira rotula clone A8,"Thomas et al., 2012",1.068441562,19.30331218,Thalassiosira rotula
223,Thalassiosira rotula clone C8,"Thomas et al., 2012",1.487048896,19.45646641,Thalassiosira rotula
224,"Trichodesmium erythraeum strain IMS101, CCMP 1985","Thomas et al., 2012",0.420135334,11.2131157,Trichodesmium erythraeum
225,Unidentified prymnesiophyte strain NT19,"Thomas et al., 2012",0.551529839,35.82319752,NA
