"population","rep.ID","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br.min","T.br.min.min","T.br.min.max","T.br.min.na","T.br.max","T.br.max.min","T.br.max.max","T.br.max.na","a","b","tmax","d.t","a.mod","b.mod","tmax.mod","d.t.mod"
"32","32.C04",4.75663505897768,-4.20068892284828,11.9304178302465,0.004,40.136878270411,39.7015559026982,40.6540494659465,0,34.1326277202917,32.0421836918246,36.2567395628195,3.93054512602718,3.2351052716412,4.73720654721641,22.1104830637879,18.8302304814207,25.1950626527192,0.000166666666666667,38.8597265433467,38.1641943524674,39.5170805850629,0,0.0535422819553788,-1.29036746861797,40.7325596238378,3.05877175950392,0.0540557373105849,-1.29497284737891,40.8014654277776,3.20437922810939
"19","19.D04",5.80258232099401,-9.00800647639643,15.5816901507286,0.0101666666666667,40.1589896020844,39.3686596803933,41.202014368222,0.000333333333333333,33.8791847085912,31.6935182235859,37.1942438916219,3.57774438261479,2.46849967427882,4.55618316906538,21.8918468378774,16.4173936411228,26.5955427159874,0.00183333333333333,38.8433921522233,37.8577205157215,39.8405051731652,0.000333333333333333,0.0524308003508054,-1.35345646963208,40.8748137784017,3.36887708892623,0.052635020488841,-1.34352246291712,40.9548161262145,3.44615041161998
"6","6.F04",6.51844768124789,0.444583007295654,14.1238523210653,0.002,40.1226374589957,39.7825883374232,40.7812379441339,0.000166666666666667,35.2825202290468,32.5279858001592,37.9840460725729,4.0134736880915,3.02988127244756,5.07291288249235,23.9622122882992,19.9060168668242,27.7866191399785,0.000833333333333333,39.1471916066584,38.4000549248749,39.806135707397,0.000166666666666667,0.0510302559496809,-1.39445987288085,40.6057165253809,2.16038556010806,0.0518308339543482,-1.41192578414716,40.7030619530477,2.38817447821971
"31","31.B04",7.79377060735821,-2.67226313738677,13.928026790057,0.00416666666666667,39.9352395986791,39.378350557459,40.5110744892489,0.000166666666666667,33.3139807628016,31.7170002851425,35.3081878016181,4.56221004970807,3.54799676083447,5.3916464600199,21.9718492664604,18.7249737108596,24.8840231132436,5e-04,38.4576356689536,37.7367727300042,39.2447017893582,0.000166666666666667,0.0634667872365415,-1.63353243129069,40.668247149014,4.03912302409921,0.0634661691809507,-1.60276065043854,40.6898571940386,4.04153827376798
"35","35.C04",4.72254422161223,-0.194130707498831,9.76655677114719,0.00183333333333333,40.5440387608826,40.114854517476,41.0823281069538,0,35.0976586321913,33.0807287248385,36.5159693735138,4.18992670113435,3.53868432296004,4.74659618088436,23.210820421569,20.5315996337972,25.3973142823902,0.000166666666666667,39.4011014260907,39.0322815455477,39.7870886411537,0,0.0525022396971143,-1.2818036615581,41.0352244457364,2.56843937975284,0.0529735116260461,-1.28895695045137,41.1019759487003,2.70978276599638
"4","4.D04",5.42044361237798,-8.17574252174042,14.3019827067487,0.0095,40.2499718218561,39.5143139118472,41.184187986947,0.000166666666666667,33.6536181588934,31.8170139803067,36.5528447616805,3.59362816637804,2.64692491768495,4.45615074367693,21.4517727278973,16.6297734576414,25.503520035345,0.00133333333333333,38.847938792126,38.0722758264922,39.8695936673402,0.000166666666666667,0.0535266814115931,-1.33241487635107,41.0009740213373,3.65600187872945,0.0536875058775411,-1.31567779811042,41.0569143880983,3.67923314129601
"2","2.E04",6.71564615742125,-15.2091046695611,15.4514428166581,0.0145,40.1077187054339,39.2565627094119,41.5163761484039,0.000166666666666667,33.2988154048227,31.1956289659152,36.7221726302507,3.94145202089364,2.32652069970567,5.23156975761016,21.5221321680356,15.3405592196873,26.5891520806667,0.00233333333333333,38.6525273952837,37.4435158264736,39.9093036641873,0.000166666666666667,0.0585729433536015,-1.46878106074398,40.9090181917328,4.13197866931316,0.0578012356879577,-1.43309794672159,40.9560610117761,3.99647347295594
"21","21.F04",6.83253128105851,-2.51493606137104,13.3074101438549,0.003,40.2243406013493,39.7897952779405,40.8934152759116,0.000166666666666667,33.8484262642852,32.2349763539112,35.7275407556463,4.77925940343331,3.75946512789788,5.6394664253851,22.3299542293703,19.2391746344283,25.2871573316261,0.000666666666666667,38.8315843730293,38.2131832126776,39.5450582262722,0.000166666666666667,0.0619119328829204,-1.52514105156453,40.8706435945113,3.68251436370211,0.0622833344422502,-1.51342253527672,40.9148528673947,3.75913117399293
"cc1690","cc1690.B04",3.65928059386261,-18.4133207386797,13.4671288771257,0.019,40.3424853160724,39.3698468635837,41.61742443959,0,32.7082236467139,30.9313147484194,35.9828314473593,3.0103821441546,2.0905036853781,3.85320767719419,19.61385882469,13.9618789972344,25.2855277416776,0.0025,38.6748972259452,37.7320960144446,40.0588528563265,0,0.0521587495982517,-1.19894497044127,41.2982433187658,4.67152698209696,0.0510310674938913,-1.16167326740095,41.3074868666332,4.42621297188188
"5","5.C04",5.97283791829,-8.87441113146419,15.8285024074535,0.00983333333333333,40.129497470614,39.3188907572724,41.1614041269095,0.000166666666666667,33.696701698158,31.470872189079,36.6184301901601,3.75177819991697,2.55205769289764,4.88695022046071,21.7885190879928,16.1316441213256,26.0081604020415,0.001,38.7652651651862,37.8326119475315,39.8211336077782,0.000166666666666667,0.0546156981739493,-1.38209173362642,40.854234077754,3.5721913064571,0.0547478483211218,-1.37420179126292,40.9291598115954,3.60292912421788
"anc4","anc4.D04",5.32892906228985,-17.2852421858097,15.3979309251189,0.0145,40.3624048612851,39.2809254780294,41.667055909501,0.000166666666666667,32.8986469636941,31.2416895880809,35.8300025527785,3.71671460892799,2.4877353662919,4.76855545292213,20.4367516303321,14.2306706670281,24.6307690591451,0.000833333333333333,38.7004318623075,37.676186115524,40.0695329450969,0.000166666666666667,0.0593357681383034,-1.35702449371728,41.2379317703906,4.80942914360061,0.057933162121621,-1.30156079918332,41.2453402501903,4.56542641237394
"16","16.E04",4.23078810732074,-11.2255735255101,13.6615011512343,0.00966666666666667,40.2238151286606,39.6120013513755,41.1189327730978,0,33.5156063329895,31.6722343265549,36.0656224012281,3.94885893382907,2.86891698721442,4.87178809659563,21.1830713746157,16.9064048780472,25.2017324390929,0.00166666666666667,38.7804167451943,37.9782834374419,39.6747324792989,0,0.056239769078182,-1.26447235664978,40.8945666199289,3.78734239197989,0.0561856906523752,-1.25143537054059,40.9386593976432,3.79806988848767
"29","29.F04",6.81725822281824,-4.21501238800231,14.8556656656076,0.00666666666666667,40.2964905444723,39.7152086363257,41.2654498971144,0.000333333333333333,33.9250067268095,31.8763685695409,36.4166155634081,3.75811885003853,2.74991799032136,4.67432531264522,22.1603915148395,18.1656382735886,26.0205006836836,0.00216666666666667,38.9451996512859,38.1441787906253,39.8073026956965,0.000333333333333333,0.0547250859806709,-1.44995680442607,41.0562436476477,3.53166593200181,0.0549570125881411,-1.43876526571863,41.1207417386366,3.5976892549883
"8","8.B05",7.77610203648731,0.701976271194153,15.0847553730166,0.00333333333333333,40.1311446582759,39.661178438255,40.8607908895223,0,35.1630642965548,32.5177258323331,37.8441716042109,4.34667278811032,3.24421054529372,5.66908498315915,24.2067534542491,20.2199664725921,28.3460200447056,5e-04,39.1266208322103,38.3050915935577,39.8192280674043,0,0.0539495638946412,-1.52188788089077,40.6382278974413,2.31014484902524,0.0547088677220258,-1.53553299305204,40.7521381247909,2.54228110672918
"25","25.C05",6.70861471657342,-12.7807261677974,14.3996045703099,0.0115,40.2311244119323,39.3342872829701,41.5137753020493,5e-04,32.7608639890716,31.3567766969762,35.5107060342739,3.98758381711833,2.72022920829814,4.95008303163198,20.7109332335478,15.9296165832762,24.9918589599236,0.00166666666666667,38.5425914113151,37.5816986946896,39.8242728616863,5e-04,0.0637185654844219,-1.51161475096972,41.1388416495175,5.09521832989403,0.0618352001317585,-1.4390560976545,41.1388955657878,4.7718848219342
"33","33.D05",5.25660082232441,-6.03045827344414,14.7255256070617,0.00466666666666667,40.1990639474708,39.5913867789613,40.9491595946728,0,34.2231218978328,32.0692199485708,36.9164994509801,4.05134751788186,3.04912112531787,5.01098131713089,22.3334551198937,18.3546709043053,26.3877818103603,5e-04,38.954008236485,38.1533530595789,39.7252059121212,0,0.0543404183062638,-1.3297756505626,40.7986626106266,3.09602481094188,0.0549927871619688,-1.33425191022139,40.878543896879,3.2328992769313
