curve_id,strain_id,genus_species,culture_name,ancestor_name,experiment,temperature,nitrate_level,light_level,block,replicate,day,fluorescence,absorbance,fluorescence_trunc,absorbance_trunc,comments
13,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,1,3,5,0.8547,5,0.8547,
13,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,1,4,13,0.8519,13,0.8519,
13,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,1,5,10,0.8534,10,0.8534,
13,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,1,6,7,0.8488,7,0.8488,
13,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,1,7,13,0.8498,13,0.8498,
13,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,1,8,9,0.85,9,0.85,
13,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,1,9,5,0.8476,5,0.8476,
13,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,1,10,6,0.8512,6,0.8512,
14,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,2,1,7,0.9334,7,0.9334,
14,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,2,2,7,0.9258,7,0.9258,
14,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,2,3,9,0.9246,9,0.9246,
14,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,2,4,11,0.9254,11,0.9254,
14,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,2,5,7,0.9223,7,0.9223,
14,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,2,6,7,0.9207,7,0.9207,
14,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,2,7,3,0.918,3,0.918,
14,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,2,8,5,0.9191,5,0.9191,
14,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,2,9,6,0.9172,6,0.9172,
14,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,2,10,15,0.9172,15,0.9172,
15,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,1,1,24,0.9596,24,0.9596,
15,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,1,2,56,0.9127,56,0.9127,
15,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,1,3,97,0.9129,97,0.9129,
15,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,1,4,145,0.9166,145,0.9166,
15,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,1,5,137,0.9127,NA,NA,
15,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,1,6,156,0.9091,NA,NA,
15,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,1,7,124,0.9126,NA,NA,
15,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,1,8,112,0.9125,NA,NA,
15,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,1,9,65,0.9144,NA,NA,
15,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,1,10,30,0.9143,NA,NA,
16,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,2,1,27,0.9642,27,0.9642,
16,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,2,2,42,0.8978,42,0.8978,
16,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,2,3,103,0.895,103,0.895,
16,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,2,4,145,0.8968,145,0.8968,
16,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,2,5,177,0.899,NA,NA,
16,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,2,6,158,0.8925,NA,NA,
16,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,2,7,146,0.893,NA,NA,
16,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,2,8,136,0.8899,NA,NA,
16,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,2,9,123,0.8893,NA,NA,
16,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,500,140.6,1,2,10,114,0.8786,NA,NA,
17,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,1,1,8,0.9841,8,0.9841,
17,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,1,2,10,0.8293,10,0.8293,
17,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,1,3,11,0.8188,11,0.8188,
17,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,1,4,7,0.8159,7,0.8159,
17,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,1,5,8,0.8089,8,0.8089,
17,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,1,6,9,0.805,9,0.805,
17,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,1,7,7,0.8084,7,0.8084,
17,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,1,8,7,0.8096,7,0.8096,
17,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,1,9,2,0.8056,2,0.8056,
17,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,1,10,4,0.7993,4,0.7993,
18,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,2,1,12,0.9222,12,0.9222,
18,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,2,2,14,0.9202,14,0.9202,
18,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,2,3,10,0.9187,10,0.9187,
18,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,2,4,11,0.9159,11,0.9159,
18,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,2,5,6,0.9155,6,0.9155,
18,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,2,6,11,0.9131,11,0.9131,
18,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,2,7,9,0.9112,9,0.9112,
18,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,2,8,6,0.9118,6,0.9118,
18,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,2,9,7,0.9101,7,0.9101,
18,3,Microcystis_aeruginosa,Pomati,,nitrate,25,500,140.6,1,2,10,7,0.9087,7,0.9087,
19,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,1,1,18,1.0563,18,1.0563,
19,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,1,2,30,0.9084,30,0.9084,
19,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,1,3,52,0.9048,52,0.9048,
19,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,1,4,58,0.9053,58,0.9053,
19,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,1,5,120,0.9065,120,0.9065,
19,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,1,6,86,0.8958,86,0.8958,
