"population","rep.ID","Parameter","mean","Rhat","n.eff"
"29","29.E06","K_s",29.9507813977327,1.00093948438902,6000
"29","29.E06","deviance",-1.12167454276127,1.00076231400486,6000
"29","29.E06","r_max",1.94538528626756,1.00079557532475,6000
"29","29.E06","r_pred_new[508]",1.57187971997896,1.00158461621571,3200
"anc4","anc4.F06","K_s",36.6523947628186,1.0017229940027,2900
"anc4","anc4.F06","deviance",0.41998761260977,1.00155046074302,3300
"anc4","anc4.F06","r_max",1.90235288737091,1.00121104549832,4900
"anc4","anc4.F06","r_pred_new[508]",1.47420721131538,1.00157967857014,3200
"11","11.B07","K_s",23.8883982881741,1.00140844535899,3800
"11","11.B07","deviance",-3.42423462162109,1.00084016659213,6000
"11","11.B07","r_max",1.68645331414863,1.00143564076481,3700
"11","11.B07","r_pred_new[508]",1.41749106303401,1.00171868328831,2900
"11","11.C07","K_s",17.9850831143537,1.00065639683373,6000
"11","11.C07","deviance",-5.79224302560129,1.0007365799746,6000
"11","11.C07","r_max",1.70240622040841,1.00080231269148,6000
"11","11.C07","r_pred_new[508]",1.48940505775552,1.00100196247682,6000
"32","32.D07","K_s",39.1598685413618,1.0005898251261,6000
"32","32.D07","deviance",0.541020794906513,1.00067521841796,6000
"32","32.D07","r_max",1.8858456126204,1.00087154416858,6000
"32","32.D07","r_pred_new[508]",1.43936300046955,1.00143068286592,3800
"anc5","anc5.E07","K_s",8.57091083470304,1.0007304684075,6000
"anc5","anc5.E07","deviance",-10.5321034849194,1.00072574894678,6000
"anc5","anc5.E07","r_max",1.57816962714741,1.00154640436876,3300
"anc5","anc5.E07","r_pred_new[508]",1.47756361459578,1.00202688717355,2300
"32","32.F07","K_s",43.3480070560021,1.00120341805647,5000
"32","32.F07","deviance",1.48649918385611,1.00101558094688,6000
"32","32.F07","r_max",1.89428321497401,1.00128500270128,4500
"32","32.F07","r_pred_new[508]",1.41045015855324,1.0014136330708,3800
"27","27.B07","K_s",43.1301243911937,1.00108313070722,6000
"27","27.B07","deviance",-3.83029505710408,1.00084078367331,6000
"27","27.B07","r_max",2.21939093187656,1.00098171518101,6000
"27","27.B07","r_pred_new[508]",1.65511149979336,1.00059177541512,6000
"27","27.C07","K_s",33.6760607984667,1.00183788859634,2600
"27","27.C07","deviance",4.29208033508988,1.00125514699608,4600
"27","27.C07","r_max",2.07058340746601,1.00132016173301,4300
"27","27.C07","r_pred_new[508]",1.63411065809345,1.00083716701947,6000
"35","35.D07","K_s",31.2674405747397,1.0015212488227,3400
"35","35.D07","deviance",3.74476240814652,1.00095455955246,6000
"35","35.D07","r_max",1.92925888310072,1.00098462072087,6000
"35","35.D07","r_pred_new[508]",1.54513354634549,1.00164290981675,3100
"17","17.E07","K_s",21.9001556066582,1.00066053074543,6000
"17","17.E07","deviance",-11.6766558607766,1.00084165215162,6000
"17","17.E07","r_max",1.82055331615426,1.00055496069992,6000
"17","17.E07","r_pred_new[508]",1.55142848563467,1.0007321999265,6000
"35","35.F07","K_s",30.7240359569542,1.0012121560924,4900
"35","35.F07","deviance",0.148548295909562,1.00102100070456,6000
"35","35.F07","r_max",1.86914073085677,1.00085746088452,6000
"35","35.F07","r_pred_new[508]",1.50218627391474,1.00056257159464,6000
"anc3","anc3.B07","K_s",58.5812363538655,1.00066866206953,6000
"anc3","anc3.B07","deviance",-1.22316218020237,1.00080258076076,6000
"anc3","anc3.B07","r_max",2.20061322079819,1.00072172818629,6000
"anc3","anc3.B07","r_pred_new[508]",1.50445884255511,1.00188858701597,2500
"7","7.C07","K_s",29.7743209453696,1.00119309795449,5000
"7","7.C07","deviance",-3.70830028235981,1.00139785534743,3900
"7","7.C07","r_max",1.77963067552894,1.00129222248257,4400
"7","7.C07","r_pred_new[508]",1.43959558406567,1.00113154478666,5500
"anc3","anc3.D07","K_s",37.4217007952386,1.00129624083819,4400
"anc3","anc3.D07","deviance",3.0107721073176,1.00119560928824,5000
"anc3","anc3.D07","r_max",1.83658250392893,1.00111741283961,5700
"anc3","anc3.D07","r_pred_new[508]",1.416919356162,1.0010613061246,6000
"15","15.E07","K_s",14.4926854269777,1.001031713587,6000
"15","15.E07","deviance",-5.22835874019436,1.0019657550089,2500
"15","15.E07","r_max",1.69598966259382,1.00144249106668,6000
"15","15.E07","r_pred_new[508]",1.520459957575,1.0010008108288,6000
"cc1690","cc1690.F07","K_s",36.9994383554355,1.00096081599593,6000
"cc1690","cc1690.F07","deviance",-4.29363153039797,1.00147238620388,3600
"cc1690","cc1690.F07","r_max",1.94152961243322,1.00165951522003,3000
"cc1690","cc1690.F07","r_pred_new[508]",1.50160609753297,1.00215577065676,2100
"anc5","anc5.B08","K_s",17.7428480151644,1.00100690189068,6000
"anc5","anc5.B08","deviance",-17.6988311689241,1.0007583667636,6000
"anc5","anc5.B08","r_max",1.67056436372206,1.00113657400091,5500
"anc5","anc5.B08","r_pred_new[508]",1.46494718812154,1.00147236140845,3600
"32","32.D08","K_s",35.9242636728325,1.0015283620311,3400
"32","32.D08","deviance",-1.5708556440401,1.00142843488725,3800
"32","32.D08","r_max",1.78434420232905,1.00147127538869,3600
"32","32.D08","r_pred_new[508]",1.38912750070042,1.00190867368259,2500
"33","33.E08","K_s",41.6865946638622,1.00075949537523,6000
"33","33.E08","deviance",-4.74789768972242,1.00070561195316,6000
"33","33.E08","r_max",1.99824292221637,1.00100200294449,6000
"33","33.E08","r_pred_new[508]",1.50273048205007,1.00113732519741,5500
"14","14.F08","K_s",17.9386500074627,1.0018628408164,2600
"14","14.F08","deviance",-1.41190615639923,1.00079651614235,6000
"14","14.F08","r_max",1.67821056470739,1.00140318944959,3900
"14","14.F08","r_pred_new[508]",1.46832957718643,1.00109434789962,5900
"17","17.B08","K_s",28.9776847971326,1.00076559524748,6000
"17","17.B08","deviance",1.9813205107401,1.00082481765001,6000
"17","17.B08","r_max",1.88586963015201,1.00092814390187,6000
"17","17.B08","r_pred_new[508]",1.53293635969475,1.00073155599988,6000
"2","2.C08","K_s",47.6186942648879,1.00072514013959,6000
"2","2.C08","deviance",8.63314222599431,1.00129794278581,4400
"2","2.C08","r_max",2.08561455380405,1.00128227645077,4500
"2","2.C08","r_pred_new[508]",1.51416400369647,1.00162684722379,3100
"35","35.D08","K_s",20.9735891031079,1.00060526831958,6000
"35","35.D08","deviance",-1.03003848153241,1.00084790750849,6000
"35","35.D08","r_max",1.76832429744675,1.00092535309943,6000
"35","35.D08","r_pred_new[508]",1.51549981207068,1.00149224952885,3500
"9","9.E08","K_s",42.5993627587943,1.00095857640952,6000
"9","9.E08","deviance",13.8366110564939,1.0011154267921,5700
"9","9.E08","r_max",1.972809549811,1.00125816949677,4600
"9","9.E08","r_pred_new[508]",1.47400848865843,1.0019482541227,2400
"31","31.F08","K_s",44.0368592501151,1.00117528908372,5200
"31","31.F08","deviance",3.79428677544423,1.00102361000286,6000
"31","31.F08","r_max",1.96062670225381,1.00080873088875,6000
"31","31.F08","r_pred_new[508]",1.453468554057,1.00153878845426,5700
"7","7.B08","K_s",44.5999118481511,1.00124469237894,4700
"7","7.B08","deviance",-3.78511426657542,1.00084671092294,6000
"7","7.B08","r_max",1.86461479153643,1.00098571550247,6000
"7","7.B08","r_pred_new[508]",1.37822423766872,1.00096146570877,6000
"16","16.C08","K_s",26.4780753235218,1.00123644169196,4700
