"population","salt","pop.ID","µ"
"22",4,"22.4",0.18752731574419
"9",4,"9.4",0.724597448369729
"32",4,"32.4",1.01116595203201
"7",4,"7.4",0.399684621395507
"21",4,"21.4",0.13935893507076
"Anc 5",5,"Anc 5.5",0.15037033324613
"5",5,"5.5",0.285973258532376
"22",5,"22.5",0.0406033825670201
"9",5,"9.5",0.626354609777099
"32",5,"32.5",0.650796272710504
"7",5,"7.5",0.285880471140595
"21",5,"21.5",0.00707259580711616
"Anc 5",6,"Anc 5.6",0
"5",6,"5.6",0.228218229499665
"22",6,"22.6",-0.10184005561575
"9",6,"9.6",0.960957698277197
"32",6,"32.6",0.857891304737632
"7",6,"7.6",-0.104830971279834
"21",6,"21.6",-0.108956152042066
"Anc 5",7,"Anc 5.7",-0.121774023224523
"5",7,"5.7",0.228166667657148
"22",7,"22.7",-0.0908884109207977
"9",7,"9.7",0.561993862976623
"32",7,"32.7",0.69452036131235
"7",7,"7.7",0.12026704373722
"21",7,"21.7",-0.142389335908124
"Anc 5",8,"Anc 5.8",-0.146510176126722
"5",8,"5.8",-0.177338609516583
"22",8,"22.8",0.0305698949125331
"9",8,"9.8",0.811454825606258
"32",8,"32.8",-0.145722494189576
"7",8,"7.8",-0.287796136848027
"21",8,"21.8",-0.0696353261744884
"Anc 5",9,"Anc 5.9",-0.285104402591267
"5",9,"5.9",-0.0531022325047689
"22",9,"22.9",-0.100937935354359
"9",9,"9.9",0.582443745463057
"32",9,"32.9",-0.143268983687252
"7",9,"7.9",-0.279247387761443
"21",9,"21.9",-0.191645863217491
