"population","rep.ID","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na"
"26","26.B09",2.41426666179042,1.91809654293239,0.246684310882028,6.14876241723195,0,1.67604149035247,1.64922024404321,1.14032354689362,2.21816125387136,0,0.992430026398392,0.157064680756409,2.52195690521287,0
"21","21.C09",0.876690643786055,0.855201813043579,0.54371046937339,1.24083490616439,0,1.54820252110541,1.54572288956949,1.43351208450693,1.65602323464578,0,0.48578644538584,0.340042352233836,0.663639335111116,0
"31","31.D09",1.17178719717106,1.09025231992272,0.50907013641207,2.04016928592826,0,1.42606319374958,1.41947438708866,1.24493166324479,1.60326439189585,0,0.714327453914595,0.369946138799833,1.17491432927768,0
"21","21.E09",0.766103250906053,0.749156080863215,0.431523451580652,1.091142492102,0,1.4784506099207,1.47668879527408,1.36952577302729,1.58312120055112,0,0.456524518577307,0.297288345424943,0.638707719983403,0
"2","2.F09",1.27178486010937,1.24024934254836,0.769354927481789,1.79035104839727,0,1.59164944365446,1.58881928679583,1.46422085143715,1.72315995943817,0,0.67483142464687,0.459823808743752,0.920832565490116,0
"5","5.B09",1.638181964184,1.56897204649285,0.86897160229916,2.55787893418059,0,1.45228074942981,1.44686346471767,1.29032299337008,1.62148906189055,0,0.992890659381025,0.625467733181085,1.4748717341148,0
"30","30.C09",2.33459702238091,2.02310538470374,0.62283836363313,4.9701218038095,0,1.5768594928375,1.55772128926314,1.22327669230883,1.95672602047901,0,1.14900064647256,0.442607413138182,2.28498262465671,0
"3","3.D09",0.361802431768294,0.339378727858271,0.0928555371715215,0.645866585470724,0,1.34992631141642,1.34739999640389,1.2229830059249,1.48431676455209,0,0.242123577629168,0.0925355625950899,0.435400841783231,0
"20","20.E09",3.50130530248287,3.30830700343674,1.6316708175927,5.76104594121703,0,1.64868960961355,1.6351274139222,1.38037545748205,1.92482708921735,0,1.72047151543855,1.09531822999498,2.63519953354679,0
"3","3.F09",1.14904509594846,1.06060358491827,0.462247592390137,2.05519281511806,0,1.47088724784067,1.46402223954618,1.27770241959865,1.68246168837196,0,0.658886805327071,0.337267580890318,1.12731758855346,0
"23","23.C10",2.65036219463611,2.52045800846817,1.33157644216812,4.31216840859478,0,1.80754886257996,1.79843545880674,1.55013776422851,2.06835723181498,0,1.14173089572813,0.706580139932375,1.7285024817013,0
"19","19.D10",1.46657648189212,1.35162924224251,0.495744711243662,2.64900213634818,0,1.49481747748456,1.48742132040311,1.2555487830576,1.73599357321873,0,0.81679989679231,0.384639072756102,1.42723942103337,0
"8","8.E10",0.949478815650126,0.931021344399402,0.630844096999821,1.32800411960178,0,1.53969940270955,1.53771587639009,1.44237954589631,1.64087541467496,0,0.534228083275728,0.380234096131392,0.709050914858551,0
"23","23.F10",2.48331512093245,2.28753655448113,0.774701984101059,4.47814563035386,0,1.67293715460942,1.65860165631298,1.35658293892232,1.99641593494079,0,1.16690487780733,0.589915016836365,1.99483367610776,0
"2","2.B10",1.1666654246946,1.10776967790937,0.540533102368991,1.87057401881667,0,1.43032925668796,1.42631605635171,1.26960236860561,1.59691708295308,0,0.716840771557169,0.382171768183195,1.09341733678021,0
"anc2","anc2.C10",1.59179411438228,1.53975187850267,0.915197326310795,2.32983370143516,0,1.47290379724905,1.46819853197487,1.31088798934954,1.62804011988283,0,0.951999573890412,0.634776788927608,1.31664643755043,0
"4","4.D10",1.23799875769275,1.09912873302611,0.28862368904811,2.39303905744723,0,1.50458691772944,1.49320957032935,1.23616839400402,1.78045961779707,0,0.660426637705389,0.253124543618377,1.27474795619898,0
"22","22.E10",5.99809124742946,6.27279651122966,1.45867897254753,9.99692020184218,0,1.49982547870944,1.49088998184676,0.546308174158496,2.39238312273434,0,3.41701112240862,0.00335564955231636,13.8075193572774,0
"anc2","anc2.F10",1.40512934386064,1.3706461955386,0.883645367418026,1.94421415511817,0,1.46762725953239,1.46527528571141,1.34095724341131,1.59224572610556,0,0.848440222055013,0.61278103864718,1.13032903382607,0
"29","29.B10",0.758164792214725,0.684140497573312,0.230916239675113,1.42288782298293,0,1.50770603164491,1.50072116010155,1.3103007575216,1.72396987595415,0,0.407665179426738,0.155470364299678,0.757015791404143,0
"3","3.C10",1.36305001464176,1.24586938609342,0.45531263400028,2.42466581270003,0,1.57636733649252,1.56469351980595,1.3522948411735,1.81314150713045,0,0.694081126920918,0.343926872347954,1.19997315788848,0
