"population","light","well.ID","µ"
"cc1690",82.5,"C05_21",0
"10",82.5,"D05_21",0
"cc1690",82.5,"E05_21",0
"anc3",82.5,"F05_21",0
"22",125,"B05_23",0
"28",125,"C05_23",0
"9",125,"D05_23",0
"anc2",125,"E05_23",0
"17",125,"F05_23",0
"16",125,"B05_24",0
"cc1690",125,"C05_24",0
"10",125,"D05_24",0
"cc1690",125,"E05_24",0
"anc3",125,"F05_24",0
"22",175,"B05_26",0
"28",175,"C05_26",0
"9",175,"D05_26",0
"anc2",175,"E05_26",0
"17",175,"F05_26",0
"16",175,"B05_27",0
"cc1690",175,"C05_27",0
"10",175,"D05_27",0
"cc1690",175,"E05_27",0
"anc3",175,"F05_27",0
"22",250,"B05_29",0
"28",250,"C05_29",0
"9",250,"D05_29",0
"anc2",250,"E05_29",0
"17",250,"F05_29",0
"16",250,"B05_30",0
"cc1690",250,"C05_30",0
"10",250,"D05_30",0
"cc1690",250,"E05_30",0
"anc3",250,"F05_30",0
"23",0.25,"B06_1",0
"1",0.25,"C06_1",0
"14",0.25,"D06_1",0
"24",0.25,"E06_1",0
"8",0.25,"F06_1",0
"23",12.5,"B06_10",0
"1",12.5,"C06_10",0
"14",12.5,"D06_10",0
"24",12.5,"E06_10",0
"8",12.5,"F06_10",0
"anc2",12.5,"B06_11",0
"26",12.5,"C06_11",0
"31",12.5,"D06_11",0
"18",12.5,"E06_11",0
"22",12.5,"F06_11",0
"20",12.5,"B06_12",0
"anc3",12.5,"C06_12",0
"5",12.5,"D06_12",0
"29",12.5,"E06_12",0
"anc4",12.5,"F06_12",0
"23",27.5,"B06_13",0
"1",27.5,"C06_13",0
"14",27.5,"D06_13",0
"24",27.5,"E06_13",0
"8",27.5,"F06_13",0
"anc2",27.5,"B06_14",0
"26",27.5,"C06_14",0
"31",27.5,"D06_14",0
"18",27.5,"E06_14",0
"22",27.5,"F06_14",0
"20",27.5,"B06_15",0
"anc3",27.5,"C06_15",0
"5",27.5,"D06_15",0
"29",27.5,"E06_15",0
"anc4",27.5,"F06_15",0
"23",50,"B06_16",0
"1",50,"C06_16",0
"14",50,"D06_16",0
"24",50,"E06_16",0
"8",50,"F06_16",0
"23",82.5,"B06_19",0
"1",82.5,"C06_19",0
"14",82.5,"D06_19",0
"24",82.5,"E06_19",0
"8",82.5,"F06_19",0
"anc2",0.25,"B06_2",0
"26",0.25,"C06_2",0
"31",0.25,"D06_2",0
"18",0.25,"E06_2",0
"22",0.25,"F06_2",0
"23",125,"B06_22",0
"1",125,"C06_22",0
"14",125,"D06_22",0
"24",125,"E06_22",0
"8",125,"F06_22",0
"23",175,"B06_25",0
"1",175,"C06_25",0
"14",175,"D06_25",0
"24",175,"E06_25",0
"8",175,"F06_25",0
"23",250,"B06_28",0
"1",250,"C06_28",0
"14",250,"D06_28",0
"24",250,"E06_28",0
"8",250,"F06_28",0
"20",0.25,"B06_3",0
"anc3",0.25,"C06_3",0
"5",0.25,"D06_3",0
"29",0.25,"E06_3",0
"anc4",0.25,"F06_3",0
"23",1.5,"B06_4",0
"1",1.5,"C06_4",0
"14",1.5,"D06_4",0
"24",1.5,"E06_4",0
"8",1.5,"F06_4",0
"anc2",1.5,"B06_5",0
"26",1.5,"C06_5",0
"31",1.5,"D06_5",0
"18",1.5,"E06_5",0
"22",1.5,"F06_5",0
"20",1.5,"B06_6",0
"anc3",1.5,"C06_6",0
"5",1.5,"D06_6",0
"29",1.5,"E06_6",0
"anc4",1.5,"F06_6",0
"23",5,"B06_7",0
"1",5,"C06_7",0
"14",5,"D06_7",0
"24",5,"E06_7",0
"8",5,"F06_7",0
"anc2",5,"B06_8",0
"26",5,"C06_8",0
"31",5,"D06_8",0
"18",5,"E06_8",0
"22",5,"F06_8",0
"20",5,"B06_9",0
"anc3",5,"C06_9",0
"5",5,"D06_9",0
"29",5,"E06_9",0
"anc4",5,"F06_9",0
"anc2",50,"B06_17",0
"26",50,"C06_17",0
"31",50,"D06_17",0
"18",50,"E06_17",0
"22",50,"F06_17",0
"20",50,"B06_18",0
"anc3",50,"C06_18",0
"5",50,"D06_18",0
"29",50,"E06_18",0
"anc4",50,"F06_18",0
"anc2",82.5,"B06_20",0
"26",82.5,"C06_20",0
"31",82.5,"D06_20",0
"18",82.5,"E06_20",0
"22",82.5,"F06_20",0
"20",82.5,"B06_21",0
"anc3",82.5,"C06_21",0
"5",82.5,"D06_21",0
"29",82.5,"E06_21",0
"anc4",82.5,"F06_21",0
"anc2",125,"B06_23",0
"26",125,"C06_23",0
"31",125,"D06_23",0
"18",125,"E06_23",0
"22",125,"F06_23",0
"20",125,"B06_24",0
"anc3",125,"C06_24",0
"5",125,"D06_24",0
"29",125,"E06_24",0
"anc4",125,"F06_24",0
"anc2",175,"B06_26",0
"26",175,"C06_26",0
"31",175,"D06_26",0
"18",175,"E06_26",0
"22",175,"F06_26",0
"20",175,"B06_27",0
"anc3",175,"C06_27",0
"5",175,"D06_27",0
"29",175,"E06_27",0
"anc4",175,"F06_27",0
"anc2",250,"B06_29",0
"26",250,"C06_29",0
"31",250,"D06_29",0
"18",250,"E06_29",0
"22",250,"F06_29",0
"20",250,"B06_30",0
"anc3",250,"C06_30",0
"5",250,"D06_30",0
"29",250,"E06_30",0
"anc4",250,"F06_30",0
"11",0.25,"B07_1",0
"11",0.25,"C07_1",0
"32",0.25,"D07_1",0
"anc5",0.25,"E07_1",0
"32",0.25,"F07_1",0
"11",12.5,"B07_10",0
"11",12.5,"C07_10",0
"32",12.5,"D07_10",0
"anc5",12.5,"E07_10",0
"32",12.5,"F07_10",0
"27",12.5,"B07_11",0
"27",12.5,"C07_11",0
"35",12.5,"D07_11",0
"17",12.5,"E07_11",0
"35",12.5,"F07_11",0
"anc3",12.5,"B07_12",0
"7",12.5,"C07_12",0
"anc3",12.5,"D07_12",0
"15",12.5,"E07_12",0
"cc1690",12.5,"F07_12",0
"11",27.5,"B07_13",0
"11",27.5,"C07_13",0
"32",27.5,"D07_13",0
"anc5",27.5,"E07_13",0
"32",27.5,"F07_13",0
"27",27.5,"B07_14",0
"27",27.5,"C07_14",0
"35",27.5,"D07_14",0
"17",27.5,"E07_14",0
"35",27.5,"F07_14",0
"anc3",27.5,"B07_15",0
"7",27.5,"C07_15",0
"anc3",27.5,"D07_15",0
"15",27.5,"E07_15",0
"cc1690",27.5,"F07_15",0
"11",50,"B07_16",0
"11",50,"C07_16",0
"32",50,"D07_16",0
"anc5",50,"E07_16",0
"32",50,"F07_16",0
"11",82.5,"B07_19",0
"11",82.5,"C07_19",0
"32",82.5,"D07_19",0
