SpeciesName,SpeciesNb,Temperature_fact,Temperature_c,Phosphate_fact,Phosphate_c,Replicate,id_STR,LOG10N0,lag,LOG10Nmax,mu
Chlamydomonas,2,T25,25,P02,2,3,2:25:03,2,2.999999983,3.68373541,1.039720764
Chlamydomonas,2,T25,25,P04,4,1,2:25:01,2.17177916,2.999999999,3.724010938,1.129206812
Chlamydomonas,2,T25,25,P04,4,2,2:25:02,2.001077293,2.967656882,3.708496107,1.934455415
Chlamydomonas,2,T25,25,P04,4,3,2:25:03,2.029655081,4.282857308,4.002786588,1.672088552
Chlamydomonas,2,T25,25,P06,6,1,2:25:01,2.301029996,2.999999998,4.659471892,2.109753851
Chlamydomonas,2,T25,25,P06,6,2,2:25:02,2,0.17112669,4.301429297,0.55585389
Chlamydomonas,2,T25,25,P06,6,3,2:25:03,3,2.999999997,4.353606187,0.198352752
Chlamydomonas,2,T25,25,P08,8,1,2:25:01,2,3.736361351,4.438474536,1.645598243
Chlamydomonas,2,T25,25,P08,8,2,2:25:02,2.150514998,3.669158441,4.513377609,1.541371825
Chlamydomonas,2,T25,25,P08,8,3,2:25:03,2,3.028150931,4.318866582,1.344307795
Chlamydomonas,2,T25,25,P10,10,1,2:25:01,2.00735634,4.243632737,3.341602402,1.114588457
Chlamydomonas,2,T25,25,P10,10,2,2:25:02,2,2.813538045,3.734612898,0.858496801
Chlamydomonas,2,T25,25,P10,10,3,2:25:03,2.000000481,4.88395424,3.428581254,1.554516857
Chlamydomonas,2,T25,25,P20,20,1,2:25:01,2.000000009,2.502660714,5.026133062,0.951645534
Chlamydomonas,2,T25,25,P20,20,2,2:25:02,2.000000003,3.433697757,4.712712986,0.89587974
Chlamydomonas,2,T25,25,P20,20,3,2:25:03,2.000000001,2.407301258,4.187602495,0.665032505
Chlamydomonas,2,T25,25,P30,30,1,2:25:01,2,3,4.77908628,2.307560258
Chlamydomonas,2,T25,25,P30,30,2,2:25:02,2,1.028960186,4.544687259,0.829494521
Chlamydomonas,2,T25,25,P30,30,3,2:25:03,2,2.611631414,4.557645359,1.784766348
Chlamydomonas,2,T30,30,P0.01,0.01,1,2:30:01,0,0,0,0
Chlamydomonas,2,T30,30,P0.01,0.01,2,2:30:02,0,0,0,0
Chlamydomonas,2,T30,30,P0.01,0.01,3,2:30:03,2.307335321,2.850534244,2.339626021,0.012090822
Chlamydomonas,2,T30,30,P00.1,0.1,1,2:30:01,2.438668239,4.977904448,2.707897803,0.154129602
Chlamydomonas,2,T30,30,P00.1,0.1,2,2:30:02,0,0,0,0
Chlamydomonas,2,T30,30,P00.1,0.1,3,2:30:03,2.062721046,1.087728339,2.429168998,0.106641635
Chlamydomonas,2,T30,30,P00.5,0.5,1,2:30:01,2.280237771,0.208129323,3.216721911,0.317487555
Chlamydomonas,2,T30,30,P00.5,0.5,2,2:30:02,2.352214657,0.992813559,3.253505244,0.259179462
Chlamydomonas,2,T30,30,P00.5,0.5,3,2:30:03,2.898696056,12.99999996,3.320511841,0.382600111
Chlamydomonas,2,T30,30,P01,1,1,2:30:01,2,3,3.783832271,1.282474679
Chlamydomonas,2,T30,30,P01,1,2,2:30:02,2,2.078309159,3.394991367,0.752038698
Chlamydomonas,2,T30,30,P01,1,3,2:30:03,2.001442082,2.960910473,3.268958029,1.431307107
Chlamydomonas,2,T30,30,P02,2,1,2:30:01,2.000023025,2.99428995,4.035698825,2.336986242
Chlamydomonas,2,T30,30,P02,2,2,2:30:02,2,2.083686196,4.063003548,1.198947636
Chlamydomonas,2,T30,30,P02,2,3,2:30:03,2,2.995299026,3.891265899,2.172294425
Chlamydomonas,2,T30,30,P04,4,1,2:30:01,2,2.927939552,3.456299269,1.618318135
Chlamydomonas,2,T30,30,P04,4,2,2:30:02,2,2.548151746,3.820581132,1.534026466
Chlamydomonas,2,T30,30,P04,4,3,2:30:03,2.000432051,2.989820289,3.816782973,2.080561558
