"","population","temp","well.ID","µ"
"182","9",40,"G03_81",0.371549563650578
"183","3",40,"B03_86",0.329641517954357
"184","30",40,"C03_86",0.33322678627671
"185","20",40,"D03_86",0.312238648472266
"186","30",40,"E03_86",0.317940590132882
"187","7",40,"F03_86",0.298814961040636
"188","19",10,"B03_1",0.417516043180883
"189","33",10,"C03_1",0.390764937275955
"190","8",10,"D03_1",0.390374690686729
"191","25",10,"E03_1",0.282455240441661
"192","19",10,"F03_1",0.432351314670617
"193","33",10,"G03_1",0.375988661241888
"194","3",10,"B03_11",0.445107931432847
"195","30",10,"C03_11",0.515344942169276
"196","20",10,"D03_11",0.502184395653928
"197","30",10,"E03_11",0.482895859406063
"198","7",10,"F03_11",0.471051649329595
"199","4",10,"B03_6",0.32236107090724
"200","9",10,"C03_6",0.546443974598388
"201","22",10,"D03_6",0.480704404089331
"202","28",10,"E03_6",0.31110635999806
"203","4",10,"F03_6",0.372027609412251
"204","9",10,"G03_6",0.500213636586196
"205","14",16,"B04_16",1.16462063539807
"206","32",16,"C04_16",1.05791667957815
"207","19",16,"D04_16",0.944317344617957
"208","6",16,"F04_16",0.865633673109107
"209","31",16,"B04_21",0.967171434658654
"210","35",16,"C04_21",0.987043117558484
"211","4",16,"D04_21",1.06094264690408
"212","2",16,"E04_21",0.937767055192478
"213","21",16,"F04_21",0.991868752405166
"214","cc1690",16,"B04_26",0.929567015571312
"215","5",16,"C04_26",1.02782770193788
"216","anc4",16,"D04_26",1.03253374808005
"217","16",16,"E04_26",1.01923558050326
"218","29",16,"F04_26",0.952055054449364
"219","14",22,"B04_31",1.94912206237095
"220","32",22,"C04_31",2.02189663278086
"221","19",22,"D04_31",1.53983179171419
"222","6",22,"F04_31",1.57105901303904
"223","31",22,"B04_36",2.14584241136709
"224","35",22,"C04_36",1.88050413002636
"225","4",22,"D04_36",1.64648796517851
"226","2",22,"E04_36",2.43385276266537
"227","21",22,"F04_36",2.39169807326106
"228","cc1690",22,"B04_41",2.10432643557622
"229","5",22,"C04_41",1.61352321394621
"230","anc4",22,"D04_41",2.00717258594792
"231","16",22,"E04_41",1.98914942791361
"232","29",22,"F04_41",1.63483812364729
"233","14",28,"B04_46",3.99590636630981
"234","32",28,"C04_46",2.967012096996
"235","19",28,"D04_46",2.94200452864575
"236","6",28,"F04_46",2.79016742913808
"237","31",28,"B04_51",3.84351335469632
"238","35",28,"C04_51",3.02231928036244
"239","4",28,"D04_51",3.03200045166322
"240","2",28,"E04_51",2.95232129207192
"241","21",28,"F04_51",3.70707640629618
"242","cc1690",28,"B04_56",2.55276031444815
"243","5",28,"C04_56",3.14397787943668
"244","anc4",28,"D04_56",3.61999024970104
"245","16",28,"E04_56",3.36061208302759
"246","29",28,"F04_56",3.06187063797515
"247","14",34,"B04_61",4.51186637605575
"248","32",34,"C04_61",3.9655647683916
"249","19",34,"D04_61",3.62667508999906
"250","6",34,"F04_61",3.94146333527114
"251","31",34,"B04_66",4.54313613121335
"252","35",34,"C04_66",4.13676212047695
"253","4",34,"D04_66",3.62192896983063
"254","2",34,"E04_66",4.08864833037085
"255","21",34,"F04_66",4.82939369162727
"256","cc1690",34,"B04_71",3.00548666087107
"257","5",34,"C04_71",3.80219860299752
"258","anc4",34,"D04_71",3.51488667956658
"259","16",34,"E04_71",3.9685825050037
"260","29",34,"F04_71",3.79510963138351
"261","14",40,"B04_76",0.605450403656952
"262","32",40,"C04_76",0.254960571809759
"263","19",40,"D04_76",0.247438228427029
"264","6",40,"F04_76",0.323719839189723
"265","31",40,"B04_81",-0.155018319921151
"266","35",40,"C04_81",1.13100613361494
"267","4",40,"D04_81",0.373937733520029
"268","2",40,"E04_81",0.112667066111095
"269","21",40,"F04_81",0.452669200497357
"270","cc1690",40,"B04_86",0.346072726643217
"271","5",40,"C04_86",0.202261494495254
"272","anc4",40,"D04_86",0.471402134428142
"273","16",40,"E04_86",0.349782214245918
"274","29",40,"F04_86",0.479201708743833
"275","14",10,"B04_1",0.289833775354625
"276","32",10,"C04_1",0.392109774111743
"277","19",10,"D04_1",0.422415062576928
"278","6",10,"F04_1",0.321197534599934
"279","cc1690",10,"B04_11",0.405930265122005
"280","5",10,"C04_11",0.404643153544505
"281","anc4",10,"D04_11",0.447102481780924
"282","16",10,"E04_11",0.629294454043113
"283","29",10,"F04_11",0.336496851267311
"284","31",10,"B04_6",0.378325782925433
"285","35",10,"C04_6",0.44708173945108
"286","4",10,"D04_6",0.411638933637131
"287","2",10,"E04_6",0.156501056200853
"288","21",10,"F04_6",0.413747760320722
"289","8",16,"B05_16",0.783219020346725
"290","25",16,"C05_16",1.01417105450084
"291","33",16,"D05_16",0.990788746255973
"292","23",16,"E05_16",1.18100381462717
"293","anc5",16,"F05_16",1.12819927753073
"294","22",16,"B05_21",1.12605345753562
"295","28",16,"C05_21",1.11014022269796
"296","9",16,"D05_21",0.898342812868727
"297","anc2",16,"E05_21",1.27298548247475
"298","17",16,"F05_21",1.06649171143943
"299","16",16,"B05_26",1.12623536679139
"300","cc1690",16,"C05_26",0.824320479101264
"301","10",16,"D05_26",0.831406324224021
"302","cc1690",16,"E05_26",0.808068159634035
"303","anc3",16,"F05_26",1.09160368769307
"304","8",22,"B05_31",1.63936244715684
"305","25",22,"C05_31",2.27375419322505
"306","33",22,"D05_31",2.0923828824499
"307","23",22,"E05_31",2.43161528192574
"308","anc5",22,"F05_31",1.96631436569383
"309","22",22,"B05_36",2.36023182858771
"310","28",22,"C05_36",1.69930218548747
"311","9",22,"D05_36",2.23671055716713
"312","anc2",22,"E05_36",1.89476643326953
"313","17",22,"F05_36",2.07411247660125
"314","16",22,"B05_41",2.09848819503539
"315","cc1690",22,"C05_41",1.90900168829617
"316","10",22,"D05_41",1.75441166235501
"317","cc1690",22,"E05_41",1.82043819555408
"318","anc3",22,"F05_41",1.76647893986106
"319","8",28,"B05_46",3.00729575764095
"320","25",28,"C05_46",3.79016938839613
"321","33",28,"D05_46",2.9610332485335
"322","23",28,"E05_46",3.25121816948098
"323","anc5",28,"F05_46",3.6059431832489
"324","22",28,"B05_51",3.2684542042508
"325","28",28,"C05_51",3.39655101715983
"326","9",28,"D05_51",3.38478879911122
"327","anc2",28,"E05_51",2.92558534459079
"328","17",28,"F05_51",3.54951184994739
"329","16",28,"B05_56",3.14840746320911
"330","cc1690",28,"C05_56",3.155503831115
"331","10",28,"D05_56",3.02891889575456
"332","cc1690",28,"E05_56",3.09083847197067
"333","anc3",28,"F05_56",3.08833138302143
"334","8",34,"B05_61",4.29262852796874
"335","25",34,"C05_61",3.73013347092444
"336","33",34,"D05_61",4.12448598549236
"337","23",34,"E05_61",3.98030023167765
"338","anc5",34,"F05_61",4.48621090564843
"339","22",34,"B05_66",4.82077048261132
"340","28",34,"C05_66",3.99636323707482
"341","9",34,"D05_66",4.06329707942081
"342","anc2",34,"E05_66",4.20611563813016
"343","17",34,"F05_66",4.7855799667878
"344","16",34,"B05_71",3.56727776953597
"345","cc1690",34,"C05_71",3.6439221042252
"346","10",34,"D05_71",3.63498645462261
"347","cc1690",34,"E05_71",3.4232402521381
"348","anc3",34,"F05_71",3.91970281020014
"349","8",40,"B05_76",0.357429432193612
"350","25",40,"C05_76",0.341984254329474
"351","33",40,"D05_76",0.392617706593318
"352","23",40,"E05_76",-0.103953413960166
"353","anc5",40,"F05_76",0.589474756906796
"354","22",40,"B05_81",0.166546124827831
"355","28",40,"C05_81",0.220674020043002
"356","9",40,"D05_81",0.162957454819425
"357","anc2",40,"E05_81",0.297356552586644
"358","17",40,"F05_81",0.453096662235276
"359","16",40,"B05_86",0.359351385511211
"360","cc1690",40,"C05_86",0.328606969619905
"361","10",40,"D05_86",0.276981743915229
"362","cc1690",40,"E05_86",0.33407337946178
"363","anc3",40,"F05_86",0.017474227155292
"364","8",10,"B05_1",0.300386676396109
"365","25",10,"C05_1",0.28171297853112
"366","33",10,"D05_1",0.369430429906976
"367","23",10,"E05_1",0.37262159219724
"368","anc5",10,"F05_1",0.43787799109912
"369","16",10,"B05_11",0.475120874768974
"370","cc1690",10,"C05_11",0.394382854833153
"371","10",10,"D05_11",0.526926430491237
"372","cc1690",10,"E05_11",0.397074865657532
"373","anc3",10,"F05_11",0.410077193322276
"374","22",10,"B05_6",0.469941400190094
"375","28",10,"C05_6",0.457605536786832
"376","9",10,"D05_6",0.597097749229137
"377","anc2",10,"E05_6",0.358016502064108
"378","17",10,"F05_6",0.351086437343136
"379","23",16,"B06_16",1.43838552014359
"380","1",16,"C06_16",0.844821048444373
"381","14",16,"D06_16",1.15730608584913
"382","24",16,"E06_16",1.16373137507611
"383","8",16,"F06_16",0.614811509326827
"384","anc2",16,"B06_21",0.938878517871908
"385","26",16,"C06_21",0.90119637639659
"386","31",16,"D06_21",0.912132977924653
"387","18",16,"E06_21",0.909473640585021
"388","22",16,"F06_21",0.943605592521156
"389","20",16,"B06_26",0.951374950944934
"390","anc3",16,"C06_26",1.09229648234149
"391","5",16,"D06_26",0.794706363571667
"392","29",16,"E06_26",1.21048498025018
"393","anc4",16,"F06_26",1.15792597173006
"394","23",22,"B06_31",1.91066346374476
"395","1",22,"C06_31",1.52848004204499
"396","14",22,"D06_31",2.31246677350672
"397","24",22,"E06_31",1.71954686781072
"398","8",22,"F06_31",1.45428300384533
"399","anc2",22,"B06_36",2.26098658058582
"400","26",22,"C06_36",1.95048508033028
"401","31",22,"D06_36",1.95082341553553
"402","18",22,"E06_36",1.94660760254728
"403","22",22,"F06_36",1.81215444320846
"404","20",22,"B06_41",1.59133052975565
"405","anc3",22,"C06_41",1.56119376299336
"406","5",22,"D06_41",1.50500053919751
"407","29",22,"E06_41",1.84235696581275
"408","anc4",22,"F06_41",1.96265014751678
"409","23",28,"B06_46",3.81020294746158
"410","1",28,"C06_46",3.25702490541279
"411","14",28,"D06_46",3.74243752315433
"412","24",28,"E06_46",2.98994390632346
"413","8",28,"F06_46",2.8998999705145
"414","anc2",28,"B06_51",3.31146484176965
"415","26",28,"C06_51",3.14721317741037
"416","31",28,"D06_51",2.83018451115603
"417","18",28,"E06_51",3.14709930017586
"418","22",28,"F06_51",3.22808971598449
"419","20",28,"B06_56",2.78742469341482
"420","anc3",28,"C06_56",3.14308686592554
"421","5",28,"D06_56",2.99971067567089
"422","29",28,"E06_56",2.92301704339231
"423","anc4",28,"F06_56",3.53050960225018
"424","23",34,"B06_61",3.98659723646681
"425","1",34,"C06_61",4.16706082922076
"426","14",34,"D06_61",4.0673403676419
"427","24",34,"E06_61",4.07973264190714
"428","8",34,"F06_61",3.84302945040139
"429","anc2",34,"B06_66",4.24934184238397
"430","26",34,"C06_66",3.75932164407242
"431","31",34,"D06_66",4.56277405666764
"432","18",34,"E06_66",3.34111292118527
"433","22",34,"F06_66",3.71810402565498
"434","20",34,"B06_71",3.83470406347648
"435","anc3",34,"C06_71",3.65744640088105
"436","5",34,"D06_71",3.58155683516863
"437","29",34,"E06_71",3.56724027670033
"438","anc4",34,"F06_71",3.45504658242152
"439","23",40,"B06_76",0.186319198959637
"440","1",40,"C06_76",0.373286076253537
"441","14",40,"D06_76",0.752021478648151
"442","24",40,"E06_76",0.218636901577365
"443","8",40,"F06_76",0.269732286625643
"444","anc2",40,"B06_81",0.136133463035004
"445","26",40,"C06_81",0.247733735966403
"446","31",40,"D06_81",0.13598435792583
"447","18",40,"E06_81",1.09726618022589
