"","Sp.id","light","temp","id","r.exp"
"343","Microcystis_aeruginosa",105.5,25,"1.1",0.390634233683665
"344","Microcystis_aeruginosa",105.5,25,"1.2",0.398681007836773
"345","Microcystis_aeruginosa",105.5,30,"2.1",0.367688160329532
"346","Microcystis_aeruginosa",105.5,30,"2.2",0.337060894348123
"347","Microcystis_aeruginosa",105.5,35,"2.1",-0.165552721742928
"348","Microcystis_aeruginosa",105.5,35,"2.2",0.186896413744332
"349","Microcystis_aeruginosa",140.6,15,"2.1",-0.22493893805896
"350","Microcystis_aeruginosa",140.6,15,"2.2",-0.0649462284936838
"351","Microcystis_aeruginosa",140.6,20,"1.1",0.166948818514515
"352","Microcystis_aeruginosa",140.6,20,"1.2",0.122212244811333
"353","Microcystis_aeruginosa",140.6,20,"2.4",0.138828472625539
"354","Microcystis_aeruginosa",140.6,20,"2.3",0.391748350281756
"355","Microcystis_aeruginosa",140.6,25,"1.1",0.257262607725005
"356","Microcystis_aeruginosa",140.6,25,"1.2",0.25470414760494
"357","Microcystis_aeruginosa",140.6,30,"2.1",0.351681356477641
"358","Microcystis_aeruginosa",140.6,30,"2.2",0.270755349013084
"359","Microcystis_aeruginosa",140.6,35,"2.1",0.0464504861074865
"360","Microcystis_aeruginosa",140.6,35,"2.2",-0.0356883953974352
"361","Pediastrum_boryanum",0.15,15,"2.1",-0.129646771632358
"362","Pediastrum_boryanum",0.15,15,"2.2",0.0514051160181573
"363","Pediastrum_boryanum",0.15,20,"2.3",0.0852671023154851
"364","Pediastrum_boryanum",0.15,20,"2.4",0.0410634182475608
"365","Pediastrum_boryanum",0.15,20,"1.1",0.0857205033930221
"366","Pediastrum_boryanum",0.15,20,"1.2",0.0415531835748568
"367","Pediastrum_boryanum",0.15,25,"1.1",-0.0176102480164268
"368","Pediastrum_boryanum",0.15,25,"1.2",-0.00562281142494288
"369","Pediastrum_boryanum",0.15,30,"2.1",-0.198057844103999
"370","Pediastrum_boryanum",0.15,30,"2.2",-0.187916944620902
"371","Pediastrum_boryanum",0.15,35,"2.1",NA
"372","Pediastrum_boryanum",0.15,35,"2.2",-0.00446573537411716
"373","Pediastrum_boryanum",0.95,15,"2.1",0.0467198819886894
"374","Pediastrum_boryanum",0.95,15,"2.2",0.260255832020674
