"population","temp","well.ID","µ"
"22",34,"B05_66",4.82077048261132
"28",34,"C05_66",3.99636323707482
"9",34,"D05_66",4.06329707942081
"anc2",34,"E05_66",4.20611563813016
"17",34,"F05_66",4.7855799667878
"16",34,"B05_71",3.56727776953597
"cc1690",34,"C05_71",3.6439221042252
"10",34,"D05_71",3.63498645462261
"cc1690",34,"E05_71",3.4232402521381
"anc3",34,"F05_71",3.91970281020014
"8",40,"B05_76",0.357429432193612
"25",40,"C05_76",0.341984254329474
"33",40,"D05_76",0.392617706593318
"23",40,"E05_76",-0.103953413960166
"anc5",40,"F05_76",0.589474756906796
"22",40,"B05_81",0.166546124827831
"28",40,"C05_81",0.220674020043002
"9",40,"D05_81",0.162957454819425
"anc2",40,"E05_81",0.297356552586644
"17",40,"F05_81",0.453096662235276
"16",40,"B05_86",0.359351385511211
"cc1690",40,"C05_86",0.328606969619905
"10",40,"D05_86",0.276981743915229
"cc1690",40,"E05_86",0.33407337946178
"anc3",40,"F05_86",0.017474227155292
"8",10,"B05_1",0.300386676396109
"25",10,"C05_1",0.28171297853112
"33",10,"D05_1",0.369430429906976
"23",10,"E05_1",0.37262159219724
"anc5",10,"F05_1",0.43787799109912
"16",10,"B05_11",0.475120874768974
"cc1690",10,"C05_11",0.394382854833153
"10",10,"D05_11",0.526926430491237
"cc1690",10,"E05_11",0.397074865657532
"anc3",10,"F05_11",0.410077193322276
"22",10,"B05_6",0.469941400190094
"28",10,"C05_6",0.457605536786832
"9",10,"D05_6",0.597097749229137
"anc2",10,"E05_6",0.358016502064108
"17",10,"F05_6",0.351086437343136
"23",16,"B06_16",1.43838552014359
"1",16,"C06_16",0.844821048444373
"14",16,"D06_16",1.15730608584913
"24",16,"E06_16",1.16373137507611
"8",16,"F06_16",0.614811509326827
"anc2",16,"B06_21",0.938878517871908
"26",16,"C06_21",0.90119637639659
"31",16,"D06_21",0.912132977924653
"18",16,"E06_21",0.909473640585021
"22",16,"F06_21",0.943605592521156
"20",16,"B06_26",0.951374950944934
"anc3",16,"C06_26",1.09229648234149
"5",16,"D06_26",0.794706363571667
"29",16,"E06_26",1.21048498025018
"anc4",16,"F06_26",1.15792597173006
"23",22,"B06_31",1.91066346374476
"1",22,"C06_31",1.52848004204499
"14",22,"D06_31",2.31246677350672
"24",22,"E06_31",1.71954686781072
"8",22,"F06_31",1.45428300384533
"anc2",22,"B06_36",2.26098658058582
"26",22,"C06_36",1.95048508033028
"31",22,"D06_36",1.95082341553553
"18",22,"E06_36",1.94660760254728
"22",22,"F06_36",1.81215444320846
"20",22,"B06_41",1.59133052975565
"anc3",22,"C06_41",1.56119376299336
"5",22,"D06_41",1.50500053919751
"29",22,"E06_41",1.84235696581275
"anc4",22,"F06_41",1.96265014751678
"23",28,"B06_46",3.81020294746158
"1",28,"C06_46",3.25702490541279
"14",28,"D06_46",3.74243752315433
"24",28,"E06_46",2.98994390632346
"8",28,"F06_46",2.8998999705145
"anc2",28,"B06_51",3.31146484176965
"26",28,"C06_51",3.14721317741037
"31",28,"D06_51",2.83018451115603
"18",28,"E06_51",3.14709930017586
"22",28,"F06_51",3.22808971598449
"20",28,"B06_56",2.78742469341482
"anc3",28,"C06_56",3.14308686592554
"5",28,"D06_56",2.99971067567089
"29",28,"E06_56",2.92301704339231
"anc4",28,"F06_56",3.53050960225018
"23",34,"B06_61",3.98659723646681
"1",34,"C06_61",4.16706082922076
"14",34,"D06_61",4.0673403676419
"24",34,"E06_61",4.07973264190714
"8",34,"F06_61",3.84302945040139
"anc2",34,"B06_66",4.24934184238397
"26",34,"C06_66",3.75932164407242
"31",34,"D06_66",4.56277405666764
"18",34,"E06_66",3.34111292118527
"22",34,"F06_66",3.71810402565498
"20",34,"B06_71",3.83470406347648
"anc3",34,"C06_71",3.65744640088105
"5",34,"D06_71",3.58155683516863
"29",34,"E06_71",3.56724027670033
"anc4",34,"F06_71",3.45504658242152
"23",40,"B06_76",0.186319198959637
"1",40,"C06_76",0.373286076253537
"14",40,"D06_76",0.752021478648151
"24",40,"E06_76",0.218636901577365
"8",40,"F06_76",0.269732286625643
"anc2",40,"B06_81",0.136133463035004
"26",40,"C06_81",0.247733735966403
"31",40,"D06_81",0.13598435792583
"18",40,"E06_81",1.09726618022589
"22",40,"F06_81",0.0643221453812357
"20",40,"B06_86",0.218128340226632
"anc3",40,"C06_86",0.231646556773231
"5",40,"D06_86",0.105931903322735
"29",40,"E06_86",0.507434802407426
"anc4",40,"F06_86",0.419614299550456
"23",10,"B06_1",0.283347724352958
"1",10,"C06_1",0.372465591926285
"14",10,"D06_1",0.33179972200729
"24",10,"E06_1",0.372654852477873
"8",10,"F06_1",0.325282484256287
"20",10,"B06_11",0.494092595658773
"anc3",10,"C06_11",0.383321001431506
"5",10,"D06_11",0.422994022949471
"29",10,"E06_11",0.357296996397056
"anc4",10,"F06_11",0.414270226536704
"anc2",10,"B06_6",0.375342055988559
"26",10,"C06_6",0.419201415552832
"31",10,"D06_6",0.422985229446764
"18",10,"E06_6",0.457984251475646
"22",10,"F06_6",0.566502517617327
"11",16,"B07_16",1.13908363962371
"11",16,"C07_16",1.08423229636345
"32",16,"D07_16",1.07474448446619
"anc5",16,"E07_16",0.943532133440083
"32",16,"F07_16",1.15479934763633
"27",16,"B07_21",1.01926467571455
