"","Species","dataset","r.max","T.br"
"147","Neoceratium lineatum","Thomas et al., 2012",0.252793362130436,13.2073053662418
"148","Nitzschia paleacea strain NT7","Thomas et al., 2012",0.391397832820714,19.0006870950941
"149","Odontella mobiliensis","Thomas et al., 2012",1.30978473772456,14.4828292646174
"150","Olisthodiscus luteus clone OLMS","Thomas et al., 2012",0.955526287709444,23.4416491062931
"151","Peridinium sp. 1","Thomas et al., 2012",0.564982165728785,17.3230991792492
"152","Pernambugia tuberosa strain GeoB*74","Thomas et al., 2012",0.327259015165824,14.3568517324835
"153","Phaeocystis antarctica strain CCMP 1871","Thomas et al., 2012",0.253037782180713,6.89800018990685
"154","Phaeocystis globosa strain CCMP 1528","Thomas et al., 2012",0.768536194004768,16.2629213344587
"155","Phaeocystis pouchetii","Thomas et al., 2012",2.58437138258966,9.8365280309049
"156","Phaeodactylum tricornutum","Thomas et al., 2012",0.297349668117947,27.9476230477079
"157","Phaeodactylum tricornutum clone Pet Pd","Thomas et al., 2012",1.46994517670724,15.3666097612098
"158","Picochlorum atomus","Thomas et al., 2012",0.567555833490361,16.7603775708336
"159","Prochlorococcus marinus strain MED4 (clade 2)","Thomas et al., 2012",0.570197205757024,10.2550769755915
"160","Prochlorococcus marinus strain MIT9215 (clade 1)","Thomas et al., 2012",0.495731986941729,12.1660855714172
"161","Prochlorococcus marinus strain MIT9312 (clade 1)","Thomas et al., 2012",0.614024562441045,10.14589124331
"162","Prochlorococcus marinus strain MIT9313","Thomas et al., 2012",0.489967289884786,9.2541141992655
"163","Prochlorococcus marinus strain MIT9515 (clade 2)","Thomas et al., 2012",0.45801792829258,13.0527282054002
"164","Prochlorococcus marinus strain NATL2A","Thomas et al., 2012",0.500702795713823,10.2836348636429
"165","Prochlorococcus marinus strain SS120","Thomas et al., 2012",0.607718677170218,9.9145568457653
"166","Prorocentrum gracile","Thomas et al., 2012",0.545493875841975,11.6683934483626
"167","Prorocentrum micans","Thomas et al., 2012",0.534862157355277,14.3661972006178
"168","Prorocentrum minimum","Thomas et al., 2012",0.697564967780559,16.2940729351817
"169","Pseudo-nitzschia americana","Thomas et al., 2012",2.95771966647692,16.0420299569224
"170","Pseudo-nitzschia granii","Thomas et al., 2012",0.90685343921976,15.9057801182732
"171","Pseudo-nitzschia multiseries","Thomas et al., 2012",0.452059405368627,18.6410110615278
"172","Pseudo-nitzschia turgiduloides","Thomas et al., 2012",0.472717125827477,9.0962129300466
"173","Pyrodinium bahamense var. compressum strain PbSA01","Thomas et al., 2012",0.260743202622246,15.2700440634474
"174","Rhizosolenia setigera","Thomas et al., 2012",1.24470615376608,16.3211290776435
"175","Rhizosolenia setigera","Thomas et al., 2012",0.504046384395671,14.6185593059807
"176","Scrippsiella trochoidea strain ScrpMxB","Thomas et al., 2012",0.459522830354826,20.9435442263188
"177","Skeletonema ardens strain FDK003","Thomas et al., 2012",2.32388045609834,17.7176495207246
"178","Skeletonema ardens strain FDK004","Thomas et al., 2012",1.53317241476058,15.986157110166
"179","Skeletonema ardens strain FDK005","Thomas et al., 2012",2.19816898250664,16.7571493881738
"180","Skeletonema ardens strain FDK006","Thomas et al., 2012",2.2446543037304,17.7595447332773
"181","Skeletonema ardens strain FDK007","Thomas et al., 2012",2.23305004344441,17.8410515868946
"182","Skeletonema costatum","Thomas et al., 2012",0.0582813655547469,16.5876281585733
