"population","rep.ID","Parameter","mean","Rhat","n.eff"
"28","28.C05","K_s",0.823929569346727,1.00096247946939,6000
"28","28.C05","deviance",-7.72360714633708,1.00060769773368,6000
"28","28.C05","r_max",1.44538988802831,1.00080747107507,6000
"9","9.D05","K_s",2.81545472302578,1.00069829213116,6000
"9","9.D05","deviance",7.07124296819277,1.00225408603997,2000
"9","9.D05","r_max",1.66360960314861,1.00086916916269,6000
"anc2","anc2.E05","K_s",1.1426773918337,1.00156778373787,3800
"anc2","anc2.E05","deviance",-12.6947039927129,1.00120688283215,4900
"anc2","anc2.E05","r_max",1.49747477841631,1.00121346971411,4900
"17","17.F05","K_s",0.980450925486088,1.00110455475662,5800
"17","17.F05","deviance",-9.23067432541405,1.00078904161533,6000
"17","17.F05","r_max",1.49398772671353,1.00080166247512,6000
"16","16.B05","K_s",1.72938764869256,1.00065949215585,6000
"16","16.B05","deviance",-14.6134815213494,1.00109132654206,5900
"16","16.B05","r_max",1.49314278857332,1.00102179665363,6000
"cc1690","cc1690.C05","K_s",1.87712875947545,1.00107507701171,6000
"cc1690","cc1690.C05","deviance",-14.911792370404,1.00089084186014,6000
"cc1690","cc1690.C05","r_max",1.58682513655326,1.00067320004147,6000
"10","10.D05","K_s",1.49248118736428,1.00130503730289,4300
"10","10.D05","deviance",-10.7879652149142,1.00087662776183,6000
"10","10.D05","r_max",1.49319419965372,1.00079216357432,6000
"cc1690","cc1690.E05","K_s",1.37390069493856,1.00105366182406,6000
"cc1690","cc1690.E05","deviance",-14.6908915685179,1.00084658149851,6000
"cc1690","cc1690.E05","r_max",1.51303161071867,1.00135742961755,4100
"anc3","anc3.F05","K_s",1.4839347002654,1.0012082880557,4900
"anc3","anc3.F05","deviance",-18.6317172775419,1.00106311727878,6000
"anc3","anc3.F05","r_max",1.26614565235661,1.0011673252332,5200
"23","23.B06","K_s",2.01851232978932,1.00111988861661,5600
"23","23.B06","deviance",-7.80926796627228,1.00065591225091,6000
"23","23.B06","r_max",1.55969849284487,1.00145884505745,3600
"1","1.C06","K_s",2.34585394590952,1.00080479330918,6000
"1","1.C06","deviance",-1.26363438133632,1.00139052461715,3900
"1","1.C06","r_max",1.58182624226082,1.00059564224903,6000
"14","14.D06","K_s",1.00378085064423,1.00157242133412,3300
"14","14.D06","deviance",-8.94980854796079,1.00088947858041,6000
"14","14.D06","r_max",1.50929649819454,1.00098254348153,6000
"24","24.E06","K_s",1.23481338673108,1.00105041384617,6000
"24","24.E06","deviance",-15.9074972877406,1.00130714845275,4300
"24","24.E06","r_max",1.57514658654523,1.00092488156749,6000
"8","8.F06","K_s",0.956966299186986,1.00124114789759,4700
"8","8.F06","deviance",-18.3522512929785,1.00066695132188,6000
"8","8.F06","r_max",1.53815344575019,1.00217352379569,2100
"anc2","anc2.B06","K_s",1.25825678171083,1.00087992311581,6000
"anc2","anc2.B06","deviance",-7.65487386969441,1.00071986694649,6000
"anc2","anc2.B06","r_max",1.61100285208365,1.00066633488616,6000
"26","26.C06","K_s",1.66146725128838,1.00081396295953,6000
"26","26.C06","deviance",-16.8463000611676,1.00118967634393,5100
"26","26.C06","r_max",1.49159458695326,1.00084162866273,6000
"31","31.D06","K_s",1.89371904849029,1.00116680000353,5200
"31","31.D06","deviance",-13.5703601773993,1.00214305010984,2100
"31","31.D06","r_max",1.56706103212392,1.00128241750163,4500
"18","18.E06","K_s",1.47468565003521,1.00103968684504,6000
"18","18.E06","deviance",-15.6808461601974,1.0019289635642,2500
"18","18.E06","r_max",1.53788025173364,1.000566777077,6000
"22","22.F06","K_s",6.16611201959953,1.00086608351076,6000
"22","22.F06","deviance",21.3389861727545,1.00128989229806,4400
"22","22.F06","r_max",1.35501916580468,1.00176824749345,6000
"20","20.B06","K_s",2.89749961886192,1.0006696090771,6000
"20","20.B06","deviance",-4.2278773565857,1.00072916400888,6000
"20","20.B06","r_max",1.63893214532371,1.00054348501139,6000
"anc3","anc3.C06","K_s",1.25659718743646,1.00116910636742,5200
"anc3","anc3.C06","deviance",-16.073815743133,1.00065838187343,6000
"anc3","anc3.C06","r_max",1.35823353646107,1.00085009177194,6000
"5","5.D06","K_s",1.72785021000413,1.00119163558272,5100
"5","5.D06","deviance",-15.5223059531738,1.00103430099586,6000
"5","5.D06","r_max",1.46144553395401,1.00069048657639,6000
"29","29.E06","K_s",1.04512620879949,1.00092440851271,6000
"29","29.E06","deviance",-13.3235434353917,1.00131602568562,4300
"29","29.E06","r_max",1.41224414219121,1.00064482025083,6000
"anc4","anc4.F06","K_s",1.37001888256533,1.00103500100147,6000
"anc4","anc4.F06","deviance",-14.3732292427866,1.00130272146389,4400
"anc4","anc4.F06","r_max",1.35598077952914,1.00093970567093,6000
"11","11.B07","K_s",1.35321035087114,1.0013563676193,4100
"11","11.B07","deviance",-7.10554942744376,1.00063107485707,6000
"11","11.B07","r_max",1.54829890354579,1.0008818426793,6000
"11","11.C07","K_s",1.02574744629983,1.0012768948445,4500
"11","11.C07","deviance",1.53812370045015,1.00094012617472,6000
"11","11.C07","r_max",1.62815550314587,1.00117742928064,5200
"32","32.D07","K_s",1.33951003127942,1.00107977700434,6000
"32","32.D07","deviance",-9.58104137325287,1.00132919490748,4200
"32","32.D07","r_max",1.50564451139829,1.00154556155184,3300
"anc5","anc5.E07","K_s",1.1106627847445,1.00135701075177,4100
"anc5","anc5.E07","deviance",-13.3577651251665,1.00099749611923,6000
"anc5","anc5.E07","r_max",1.55791674439328,1.00109924251166,5800
"32","32.F07","K_s",1.19416251999626,1.00065780840861,6000
"32","32.F07","deviance",-10.7400076339647,1.00071763246803,6000
"32","32.F07","r_max",1.48200225012895,1.00056943647885,6000
"27","27.B07","K_s",1.47958695075487,1.00085495580072,6000
"27","27.B07","deviance",-4.69104959460218,1.00126680689545,4600
"27","27.B07","r_max",1.57383032299384,1.00066668991183,6000
"27","27.C07","K_s",1.95547534740877,1.00081265335399,6000
"27","27.C07","deviance",2.7713344958468,1.00073980869046,6000
"27","27.C07","r_max",1.59198515564869,1.00110833802631,5700
"35","35.D07","K_s",0.280528955445719,1.00084997789769,6000
"35","35.D07","deviance",-7.24115526722909,1.00187700280739,2500
"35","35.D07","r_max",1.38704616577518,1.00077844820231,6000
"17","17.E07","K_s",0.672336002526297,1.00072161593879,6000
"17","17.E07","deviance",-18.6332623539279,1.0007751245291,6000
"17","17.E07","r_max",1.46452541072497,1.00118988524328,5100
"35","35.F07","K_s",0.541693861632228,1.00092693762106,6000
"35","35.F07","deviance",-4.1482006705157,1.00103484511641,6000
"35","35.F07","r_max",1.4162926763728,1.0005589485346,6000
"anc3","anc3.B07","K_s",1.10569839710607,1.00080824163814,6000
"anc3","anc3.B07","deviance",-18.2097103255718,1.00061378634952,6000
"anc3","anc3.B07","r_max",1.33828486150699,1.00118329577438,5100
"7","7.C07","K_s",1.07983652917332,1.00055084319207,6000
"7","7.C07","deviance",-8.14588331389838,1.002559513061,2400
"7","7.C07","r_max",1.36814709562248,1.00128010875615,4500
"anc3","anc3.D07","K_s",1.05507666350055,1.00116810922154,5200
"anc3","anc3.D07","deviance",-15.0306527814934,1.00076410577434,6000
"anc3","anc3.D07","r_max",1.22982531838132,1.00108939988654,5900
"15","15.E07","K_s",1.82597173322704,1.0008890018404,6000
"15","15.E07","deviance",-16.7422409559055,1.00117121950341,5200
"15","15.E07","r_max",1.54770178670365,1.00076686110775,6000
"cc1690","cc1690.F07","K_s",1.87417332862315,1.00082967051365,6000
"cc1690","cc1690.F07","deviance",-7.54014563670096,1.0010571167691,6000
"cc1690","cc1690.F07","r_max",1.5966550446623,1.00086325080372,6000
"anc5","anc5.B08","K_s",0.90719201298588,1.00083047173876,6000
