"population","salt","pop.ID","µ"
"11",0,"11.0",1.14770309528986
"24",0,"24.0",1.75364394821804
"8",1,"8.1",1.43819217311054
"31",1,"31.1",1.36081175388335
"4",1,"4.1",1.21759689209568
"Anc 2",1,"Anc 2.1",1.25129982957561
"11",1,"11.1",1.0334301645902
"24",1,"24.1",1.60939078468002
"8",2,"8.2",1.36730643030112
"31",2,"31.2",1.11963347838248
"4",2,"4.2",1.07546979337656
"Anc 2",2,"Anc 2.2",1.19723811841662
"11",2,"11.2",1.29285661923493
"24",2,"24.2",1.30981149833602
"8",3,"8.3",0.68819954242931
"31",3,"31.3",0.657618564822974
"4",3,"4.3",1.14641533300565
"Anc 2",3,"Anc 2.3",0.792857164046646
"11",3,"11.3",0.661593818643746
"24",3,"24.3",0.535653281839239
"8",4,"8.4",0.242764739688208
"31",4,"31.4",0.019049426272171
"4",4,"4.4",0.866709227404375
"Anc 2",4,"Anc 2.4",0.357783176729435
"11",4,"11.4",0.113386195929286
"24",4,"24.4",0.0192003426340956
"8",5,"8.5",0.359728325338054
"31",5,"31.5",-0.20015161406956
"4",5,"4.5",0.678238972534374
"Anc 2",5,"Anc 2.5",0.240561458854315
"11",5,"11.5",0.0748979577874155
"24",5,"24.5",-0.0116411697807259
"8",6,"8.6",-0.204854863985359
"31",6,"31.6",0.11991136062042
"4",6,"4.6",0.583721856345169
"Anc 2",6,"Anc 2.6",-0.0142070562097373
"11",6,"11.6",0.23539091825542
"24",6,"24.6",-0.106214010212582
"8",7,"8.7",0.254487414673963
"31",7,"31.7",0
"4",7,"4.7",0.370557942039295
"Anc 2",7,"Anc 2.7",-0.0868343227872352
"11",7,"11.7",-0.136314922022941
"24",7,"24.7",0
"8",8,"8.8",-0.106023186032695
"31",8,"31.8",-0.132426179013514
"4",8,"4.8",0.317273637344836
"Anc 2",8,"Anc 2.8",-0.190502860434641
"11",8,"11.8",0.338912417607519
"24",8,"24.8",0.0505626966470805
"8",9,"8.9",-0.0530991908720515
"31",9,"31.9",-0.0568824473215707
"4",9,"4.9",0.387520645032333
"Anc 2",9,"Anc 2.9",-0.18393119591662
"11",9,"11.9",-0.0493661791746515
"24",9,"24.9",0.0606051908049873
"Anc 5",0,"Anc 5.0",1.24617681939072
"5",0,"5.0",1.66655561193937
"22",0,"22.0",1.46056430911504
"9",0,"9.0",1.51277286155563
"32",0,"32.0",1.22928257220348
"7",0,"7.0",1.00730389716962
"21",0,"21.0",1.70606793606321
"Anc 5",1,"Anc 5.1",1.26207347684953
"5",1,"5.1",1.32430953150816
"22",1,"22.1",1.57485414716928
"9",1,"9.1",1.48143229491283
"32",1,"32.1",1.1187149880549
"7",1,"7.1",0.83041945389433
"21",1,"21.1",1.5274529917652
"Anc 5",2,"Anc 5.2",1.21503719004506
"5",2,"5.2",1.39512324689323
"22",2,"22.2",1.05971081240588
"9",2,"9.2",1.4691915400725
"32",2,"32.2",1.30377473976444
"7",2,"7.2",0.785955577802143
"21",2,"21.2",1.30462580113516
"Anc 5",3,"Anc 5.3",0.498245136825258
"5",3,"5.3",0.789363652053604
"22",3,"22.3",0.488276704611175
"9",3,"9.3",1.03750442499099
"32",3,"32.3",0.963865936629121
"7",3,"7.3",0.843166459541243
"21",3,"21.3",0.721379229537574
"Anc 5",4,"Anc 5.4",0.236182082102686
"5",4,"5.4",0.358527789702119
"22",4,"22.4",0.18752731574419
"9",4,"9.4",0.724597448408437
"32",4,"32.4",1.01116595198025
"7",4,"7.4",0.399684621557553
"21",4,"21.4",0.139358935088992
"Anc 5",5,"Anc 5.5",0.150370333696727
"5",5,"5.5",0.28597325692362
"22",5,"22.5",0.0406033830817124
"9",5,"9.5",0.626354609850664
"32",5,"32.5",0.650796272551739
"7",5,"7.5",0.285880470225751
"21",5,"21.5",0.00707257989385061
"Anc 5",6,"Anc 5.6",0
"5",6,"5.6",0.228218227924433
"22",6,"22.6",-0.101840055881296
"9",6,"9.6",0.960957698261123
"32",6,"32.6",0.857891304763079
"7",6,"7.6",-0.104831448353035
"21",6,"21.6",-0.108956151599966
"Anc 5",7,"Anc 5.7",-0.121774023108236
"5",7,"5.7",0.228166662097678
"22",7,"22.7",-0.0908884096563353
"9",7,"9.7",0.561993863308883
"32",7,"32.7",0.694520361226117
"7",7,"7.7",0.120267043452288
"21",7,"21.7",-0.14238933539797
"Anc 5",8,"Anc 5.8",-0.146510176338494
"5",8,"5.8",-0.1773386823666
"22",8,"22.8",0.0305698988999429
"9",8,"9.8",0.811454825609348
"32",8,"32.8",-0.14572249401267
"7",8,"7.8",-0.287796137352715
"21",8,"21.8",-0.0696353260261647
"Anc 5",9,"Anc 5.9",-0.285104399350902
"5",9,"5.9",-0.0531022325039426
"22",9,"22.9",-0.100937935354299
"9",9,"9.9",0.582443745368505
"32",9,"32.9",-0.143268985850804
"7",9,"7.9",-0.279246352020267
"21",9,"21.9",-0.191645863231437
