"","population","population.number","nitrate.lvl","well.ID","r.exp"
"378","2",10,60,"C08_14",0.75325093632637
"379","2",10,60,"E04_14",2.04110520560551
"380","2",10,60,"F09_14",1.13982320589494
"381","2",10,80,"B10_17",1.6191030283579
"382","2",10,80,"C08_17",1.67568629136516
"383","2",10,80,"E04_17",1.64067262742998
"384","2",10,80,"F09_17",1.70160251990139
"385","2",10,100,"B10_20",1.47807338902851
"386","2",10,100,"C08_20",1.56511048207429
"387","2",10,100,"E04_20",1.59938845299296
"388","2",10,100,"F09_20",1.4989440115241
"389","2",10,400,"B10_23",1.6180759523895
"390","2",10,400,"C08_23",1.87580278165515
"391","2",10,400,"E04_23",1.74523924731261
"392","2",10,400,"F09_23",1.87351922722186
"393","2",10,600,"B10_26",1.39516373613813
"394","2",10,600,"C08_26",1.0689716561609
"395","2",10,600,"E04_26",1.03794834770801
"396","2",10,600,"F09_26",1.10244711990266
"397","2",10,1000,"B10_29",1.4011340459206
"398","2",10,1000,"C08_29",1.23958890508528
"399","2",10,1000,"E04_29",1.38128335214814
"400","2",10,1000,"F09_29",1.28727178968749
"401","20",11,5,"B06_3",0.589826048476536
"402","20",11,5,"D03_3",0.303543711897162
"403","20",11,5,"D08_3",0.680394221179788
"404","20",11,5,"E09_3",0.491014706120995
"405","20",11,10,"B06_6",0.99595124866585
"406","20",11,10,"D03_6",0.597457790481504
"407","20",11,10,"D08_6",0.478871173790657
"408","20",11,10,"E09_6",0.478871173849892
"409","20",11,20,"B06_9",0.962829463567791
"410","20",11,20,"D03_9",0.725544179512424
"411","20",11,20,"D08_9",0.976815552031521
"412","20",11,20,"E09_9",0.936934022687912
"413","20",11,40,"B06_12",1.07246710179809
"414","20",11,40,"D03_12",1.00505400803148
"415","20",11,40,"D08_12",1.0447569674376
"416","20",11,40,"E09_12",0.901779184464372
"417","20",11,60,"B06_15",1.13418141124862
"418","20",11,60,"D03_15",1.17678322957957
"419","20",11,60,"D08_15",1.17407678304168
"420","20",11,60,"E09_15",1.06594387426538
"421","20",11,80,"B06_18",1.42838866884362
"422","20",11,80,"D03_18",1.16157699481305
"423","20",11,80,"D08_18",1.14345673698205
"424","20",11,80,"E09_18",1.29717169049284
"425","20",11,100,"B06_21",1.73878668177314
"426","20",11,100,"D03_21",1.68969000500581
"427","20",11,100,"D08_21",1.46219444619344
"428","20",11,100,"E09_21",1.45524985778553
"429","20",11,400,"B06_24",1.07327731325628
"430","20",11,400,"D03_24",1.55098885216153
"431","20",11,400,"D08_24",1.37254192913264
"432","20",11,400,"E09_24",1.53158771821581
"433","20",11,600,"B06_27",0.702895022145362
"434","20",11,600,"D03_27",1.27134152756573
"435","20",11,600,"D08_27",1.39795358835071
"436","20",11,600,"E09_27",1.34170172013315
"437","20",11,1000,"B06_30",1.51463683576928
"438","20",11,1000,"D03_30",1.93162668275557
"439","20",11,1000,"D08_30",1.27522914778889
"440","20",11,1000,"E09_30",0.638752213016005
"441","21",12,5,"C02_2",1.0808759550552
"442","21",12,5,"C09_2",1.20684117981965
"443","21",12,5,"E09_2",0.987567066470238
"444","21",12,5,"F04_2",1.08054361994623
"445","21",12,10,"C02_5",1.17164421000064
"446","21",12,10,"C09_5",0.964840221713552
"447","21",12,10,"E09_5",0.958990252816909
"448","21",12,10,"F04_5",1.11705363119978
"449","21",12,20,"C02_8",0.877874530595701
"450","21",12,20,"C09_8",1.03960892406263
"451","21",12,20,"E09_8",0.540136582077119
"452","21",12,20,"F04_8",1.08994134602304
"453","21",12,40,"C02_11",1.22522573048033
"454","21",12,40,"C09_11",0.833818634969268
"455","21",12,40,"E09_11",1.21065724168832
"456","21",12,40,"F04_11",1.2105031693135
"457","21",12,60,"C02_14",1.3241387691868
"458","21",12,60,"C09_14",1.40136491657509
"459","21",12,60,"E09_14",1.50461877586283
"460","21",12,60,"F04_14",1.29950254297258
"461","21",12,80,"C02_17",1.69545515728535
"462","21",12,80,"C09_17",1.88847872389338
"463","21",12,80,"E09_17",1.58659344133881
"464","21",12,80,"F04_17",1.53211949204828
"465","21",12,100,"C02_20",1.57624711184666
"466","21",12,100,"C09_20",1.51513798560242
"467","21",12,100,"E09_20",1.37481348310083
"468","21",12,100,"F04_20",1.36220814912004
"469","21",12,400,"C02_23",1.641289290547
"470","21",12,400,"C09_23",1.49986388642818
"471","21",12,400,"E09_23",1.54556875797473
"472","21",12,400,"F04_23",1.58059665651074
"473","21",12,600,"C02_26",1.59000539045061
"474","21",12,600,"C09_26",1.66526575394328
"475","21",12,600,"E09_26",1.56398976499956
"476","21",12,600,"F04_26",1.66399740367095
"477","21",12,1000,"C02_29",1.56000150678409
"478","21",12,1000,"C09_29",1.53141152327977
"479","21",12,1000,"E09_29",1.51759498927902
"480","21",12,1000,"F04_29",1.35989750838214
"481","22",13,5,"B05_2",0.711957399663572
"482","22",13,5,"D03_2",0.774247750140331
"483","22",13,5,"E10_2",0.71366868125275
"484","22",13,5,"F06_2",0.683362607503422
"485","22",13,10,"B05_5",0.681624128537188
"486","22",13,10,"D03_5",0.640246457334585
"487","22",13,10,"E10_5",1.05027331116702
"488","22",13,10,"F06_5",1.12835696606056
"489","22",13,20,"B05_8",0.925787259097197
"490","22",13,20,"D03_8",0.877874530280877
"491","22",13,20,"E10_8",0.813719588885653
"492","22",13,20,"F06_8",0.94647351233499
"493","22",13,40,"B05_11",1.18715300657489
"494","22",13,40,"D03_11",1.12786961272508
"495","22",13,40,"E10_11",1.08436421397454
"496","22",13,40,"F06_11",1.20929054614107
"497","22",13,60,"B05_14",0.992090125943048
"498","22",13,60,"D03_14",1.16463894493153
"499","22",13,60,"E10_14",1.1217726926294
"500","22",13,60,"F06_14",1.07979238832228
"501","22",13,80,"B05_17",1.36721069209342
"502","22",13,80,"D03_17",1.4145904005444
"503","22",13,80,"E10_17",1.40822484871167
"504","22",13,80,"F06_17",1.5836023216013
"505","22",13,100,"B05_20",1.45264308080279
"506","22",13,100,"D03_20",1.52184918473695
"507","22",13,100,"E10_20",1.50717702337772
"508","22",13,100,"F06_20",1.51371920236236
"509","22",13,400,"B05_23",1.45146551931677
"510","22",13,400,"D03_23",1.76792212108691
"511","22",13,400,"E10_23",1.73871239667863
"512","22",13,400,"F06_23",1.63591526571295
"513","22",13,600,"B05_26",1.97307370476645
"514","22",13,600,"D03_26",1.5734492229427
"515","22",13,600,"E10_26",0.986502967613396
"516","22",13,600,"F06_26",1.35409778591879
"517","22",13,1000,"B05_29",1.7069471366127
"518","22",13,1000,"D03_29",1.56069466991626
"519","22",13,1000,"E10_29",1.30912337816329
"520","22",13,1000,"F06_29",1.60451728009523
"521","23",14,5,"B06_1",0.718315545492867
"522","23",14,5,"C10_1",0.807108998272362
"523","23",14,5,"E05_1",0.76542463577478
"524","23",14,5,"F10_1",0.97556293702524
"525","23",14,10,"B06_4",0.60499666561255
"526","23",14,10,"C10_4",0.949227557131761
"527","23",14,10,"E05_4",0.94605186113097
"528","23",14,10,"F10_4",1.17894205281679
"529","23",14,20,"B06_7",1.1965711020867
"530","23",14,20,"C10_7",1.16172450330987
"531","23",14,20,"E05_7",1.30652288137845
"532","23",14,20,"F10_7",0.866649780417011
"533","23",14,40,"B06_10",1.24138043654788
"534","23",14,40,"C10_10",1.04217019261742
"535","23",14,40,"E05_10",1.12546697562505
"536","23",14,40,"F10_10",1.00223460559295
"537","23",14,60,"B06_13",1.26852794009447
"538","23",14,60,"C10_13",1.27273327984062
"539","23",14,60,"E05_13",1.24157668522162
"540","23",14,60,"F10_13",1.3434225749537
"541","23",14,80,"B06_16",0.930809818566967
"542","23",14,80,"C10_16",1.69184541308666
"543","23",14,80,"E05_16",1.6428631868562
"544","23",14,80,"F10_16",1.76383746992299
"545","23",14,100,"B06_19",1.54994165140849
"546","23",14,100,"C10_19",1.707575419746
"547","23",14,100,"E05_19",1.58798152652194
"548","23",14,100,"F10_19",1.36111117668435
"549","23",14,400,"B06_22",1.97435858302421
"550","23",14,400,"C10_22",1.71979028956847
"551","23",14,400,"E05_22",1.50938217757338
"552","23",14,400,"F10_22",1.74405593288792
"553","23",14,600,"B06_25",1.07760742658265
"554","23",14,600,"C10_25",1.08460008208988
"555","23",14,600,"E05_25",1.30340616191915
"556","23",14,600,"F10_25",1.06940234868074
"557","23",14,1000,"B06_28",1.57100994009543
"558","23",14,1000,"C10_28",1.97761976632996
"559","23",14,1000,"E05_28",1.3121851835668
"560","23",14,1000,"F10_28",1.61982120870467
"561","24",15,5,"B11_1",0.663583142367454
"562","24",15,5,"D02_1",0.380373334521322
"563","24",15,5,"E06_1",0.607289275076568
"564","24",15,5,"E11_1",0.602974457681468
"565","24",15,10,"B11_4",0.655179218302637
"566","24",15,10,"D02_4",0.607094482423967
"567","24",15,10,"E06_4",0.753251487489546
"568","24",15,10,"E11_4",0.866469047909802
"569","24",15,20,"B11_7",0.386868723458367
