"","Pop.fac","Pop.num","unique.id","T.µ.max","T.br","I.µ.max","I.comp","N.µ.max","N.comp","P.µ.max","P.comp","S.µ.max","S.c","mean.N.µg.l","mean.P.µg.l","chl.a","chl.b","luthein","pig.PC","bio.vol","Anc","Evol"
"28","24",15,"15.E11",2.64253399092179,21.1940598242563,0.980819206604869,0.051105121650497,1.37848775860005,0.233559399868337,1.557692042,0.807654627497571,2.19189890891676,2.94550160242839,186.27,36.66,6.8897,3.5746,1.1638,-1.10556184964889,432.7539089,"anc4","C"
"29","25",16,"16.B02",4.0028656700726,19.0686018405819,1.41571588267605,0.118311856986602,1.49527329643995,0.243063544465339,1.485267826,1.16547608331483,1.34124553580179,7.06481780714347,387.465,74.38,14.7452,5.9852,1.0849,0.239971383316122,455.4003616,"anc2","BS"
"30","25",16,"16.C05",4.12937453321197,18.638398459819,1.72091761725624,0.120772143483675,1.40770717677174,0.236697150869292,1.415911169,3.03380295409767,1.34124553580179,7.06481780714347,387.465,74.38,14.7452,5.9852,1.0849,0.239971383316122,455.4003616,"anc2","BS"
"31","25",16,"16.E03",3.78807728343766,19.5403150216534,1.5227650449118,0.193237363226095,1.28732136296292,0.258030769934293,1.566815958,0.674791977676462,1.34124553580179,7.06481780714347,387.465,74.38,14.7452,5.9852,1.0849,0.239971383316122,455.4003616,"anc2","BS"
"32","25",16,"16.F02",4.41363512763935,18.8873593485583,1.33431788785267,0.139228575279583,1.46606585810507,0.345406731006056,1.63662201,0.803680328045208,1.34124553580179,7.06481780714347,387.465,74.38,14.7452,5.9852,1.0849,0.239971383316122,455.4003616,"anc2","BS"
"33","26",17,"17.B09",4.05478660627115,19.3811131303723,1.17442493973052,0.0636609303665931,1.57059794337605,0.24034269660799,1.639305993,0.725401113792041,1.47540209041666,3.95782615358381,427.29,79.705,11.148,4.8431,0.8231,-0.833273928370169,489.5041171,"anc3","L"
"34","26",17,"17.C06",4.08517235634096,18.8310031720332,1.41558110219726,0.0836670374953756,1.54921708828269,0.276904250520407,1.30293969,0.716879717942241,1.47540209041666,3.95782615358381,427.29,79.705,11.148,4.8431,0.8231,-0.833273928370169,489.5041171,"anc3","L"
"35","26",17,"17.E02",3.91442398053964,19.3685624249982,1.10445252485285,0.0680689019252802,1.44013459185192,0.25638685053396,1.459597325,0.992267429598866,1.47540209041666,3.95782615358381,427.29,79.705,11.148,4.8431,0.8231,-0.833273928370169,489.5041171,"anc3","L"
"36","26",17,"17.F11",4.55155370409297,18.0533854688351,1.45536732385805,0.087808417247017,1.39207379216186,0.20263260837807,1.443645261,0.982005263212365,1.47540209041666,3.95782615358381,427.29,79.705,11.148,4.8431,0.8231,-0.833273928370169,489.5041171,"anc3","L"
"37","27",18,"18.B07",1.75600905486327,23.7681401099147,1.7254107645252,0.106399882914368,1.29443046433331,0.203298828530141,1.429373773,1.19245018102336,1.24190847638462,4.05780716197913,314.96,59.91,18.4376,7.4864,1.2333,1.24337561634116,428.1970628,"anc3","N"
