"","Pop.id","Parameter","mean","Rhat","n.eff"
"724",121,"cf.sigma",0.0590883960798939,1.0011219204717,3000
"725",121,"cf.tmax",32.884289917141,1.00817969993679,260
"726",121,"deviance",-41.5384363049652,1.00320034911264,820
"727",122,"cf.a",0.0437341131338623,1.01519740482112,150
"728",122,"cf.b",-1.55520676588151,1.00234066735355,1100
"729",122,"cf.delta_t",4.54581979229084,1.01197204376348,180
"730",122,"cf.sigma",0.0882871224122509,1.00382717246026,870
"731",122,"cf.tmax",33.9894605438745,1.01286343229514,170
"732",122,"deviance",-26.6949295348624,1.00618974473359,430
"733",123,"cf.a",0.0202323011818209,1.16444716620037,140
"734",123,"cf.b",-1.11514947900494,1.08774166846882,1200
"735",123,"cf.delta_t",1.76321168378789,1.06529060076823,220
"736",123,"cf.sigma",0.0282036694482426,1.01083584373835,820
"737",123,"cf.tmax",30.8035646349844,1.04418662876559,310
"738",123,"deviance",-49.8198494508073,1.02001504458993,350
"739",124,"cf.a",0.0485537179798642,1.01082822051016,770
"740",124,"cf.b",-1.36628094618256,1.0154570309414,300
"741",124,"cf.delta_t",4.6730310031802,1.00120505744048,2800
"742",124,"cf.sigma",0.077770747070433,1.00073890896269,3000
"743",124,"cf.tmax",31.6676792635038,1.00102305725179,3000
"744",124,"deviance",-27.2885233168783,1.00069761440826,3000
"745",125,"cf.a",0.0620039450524057,1.01258773180801,330
"746",125,"cf.b",-1.54987312338707,1.02755809016646,130
"747",125,"cf.delta_t",5.00916128539427,1.00081338476003,3000
"748",125,"cf.sigma",0.0646368193331955,1.00179640988323,3000
"749",125,"cf.tmax",31.2660717400648,1.01352463004338,200
"750",125,"deviance",-24.4527755233401,1.00169669045436,2400
"751",126,"cf.a",0.0703033242249036,1.00768306942049,470
"752",126,"cf.b",-1.09614592048656,1.0015343310901,2000
"753",126,"cf.delta_t",6.8244785266584,1.00322110787745,1400
"754",126,"cf.sigma",0.13776158747529,1.00079027407265,3000
"755",126,"cf.tmax",28.7346651058966,1.00050486784084,3000
"756",126,"deviance",-13.7521561052918,1.00050105228724,3000
"757",127,"cf.a",0.093289255481647,2.92039440224024,4
"758",127,"cf.b",-0.678157570804656,3.32324392289308,4
"759",127,"cf.delta_t",5.11683624053632,1.14225213119646,37
"760",127,"cf.sigma",0.0593261614770749,1.14328039949227,19
"761",127,"cf.tmax",31.9497833752161,2.96181910180695,4
"762",127,"deviance",-58.2880570177344,1.39168256754158,9
"763",128,"cf.a",0.0694999721607535,1.52059835058147,7
"764",128,"cf.b",-0.931834574875008,1.53656762996929,8
"765",128,"cf.delta_t",8.3903132532141,1.05987113561296,61
"766",128,"cf.sigma",0.1048477050493,1.0133424651027,160
"767",128,"cf.tmax",35.0188650079239,1.44077093649142,10
"768",128,"deviance",-125.389379270832,1.15826118944998,25
"769",129,"cf.a",0.034263270647492,1.00228779600776,1900
"770",129,"cf.b",-0.58706691050996,1.00088171853365,3000
"771",129,"cf.delta_t",13.9377785023426,1.00087215550775,3000
"772",129,"cf.sigma",0.230015156096939,1.0012961769556,2500
"773",129,"cf.tmax",36.9626140279137,1.02312535542572,1700
"774",129,"deviance",-5.0332395595966,1.00088996597511,3000
"775",130,"cf.a",0.0325602535160574,1.00260385597219,2500
"776",130,"cf.b",-0.611320086831846,1.00299796629706,800
"777",130,"cf.delta_t",14.6306982634118,1.0040403257181,610
"778",130,"cf.sigma",0.221585198358415,1.0011045360113,3000
"779",130,"cf.tmax",35.9220668025715,1.01113565601708,3000
"780",130,"deviance",-5.25483019777017,1.00081711174942,3000
"781",131,"cf.a",0.0729715700319394,1.00237794910773,2200
"782",131,"cf.b",-1.01536320287164,1.00070435164756,3000
"783",131,"cf.delta_t",6.31986146689099,1.00079304207298,3000
"784",131,"cf.sigma",0.640133880199652,1.00094358358746,3000
"785",131,"cf.tmax",36.3404628183364,1.02295923325258,840
"786",131,"deviance",6.00732200932386,1.00116637947129,3000
"787",132,"cf.a",0.064614315184906,1.00847544329878,610
"788",132,"cf.b",-0.506687156968832,1.00155033876267,1900
"789",132,"cf.delta_t",6.2472436979851,1.00130794616737,2700
"790",132,"cf.sigma",0.0975809126644372,1.0010390809664,3000
"791",132,"cf.tmax",24.5519098222297,1.01723648851739,420
"792",132,"deviance",-20.5282632457375,1.00114734185757,3000
"793",133,"cf.a",0.0368994491686047,1.00229034234759,1700
"794",133,"cf.b",-0.668042767065956,1.00082866736631,3000
"795",133,"cf.delta_t",9.3862709256792,1.00174487040732,1600
"796",133,"cf.sigma",0.100128241723187,1.00173498822297,1600
"797",133,"cf.tmax",37.8798837075487,1.01204666989469,1000
"798",133,"deviance",-12.9431423838198,1.00183153939887,1500
"799",134,"cf.a",0.115096848948484,1.000591588822,3000
"800",134,"cf.b",-0.439476929530349,1.00070782807713,3000
"801",134,"cf.delta_t",3.68367297566639,1.00094322477036,3000
"802",134,"cf.sigma",0.0442616918732597,1.00102357090136,3000
"803",134,"cf.tmax",10.1744601903133,1.00138565215736,2300
"804",134,"deviance",-42.7946974456995,1.00182012243293,2500
"805",135,"cf.a",0.032713158028219,1.00499891653692,1500
"806",135,"cf.b",-0.447938550759955,1.00182747572551,1500
"807",135,"cf.delta_t",11.7904633980315,1.00260134425483,3000
"808",135,"cf.sigma",0.648435482173928,1.00171874632544,1600
"809",135,"cf.tmax",31.2535503825557,1.00278790990727,3000
"810",135,"deviance",4.29311622907742,1.00164239373406,1800
"811",136,"cf.a",0.0428531151740121,1.00088603002962,3000
"812",136,"cf.b",-0.739031307997423,1.00119919965765,2900
"813",136,"cf.delta_t",12.2830818379469,1.00280658999715,870
"814",136,"cf.sigma",1.10699144527326,1.00068863595196,3000
"815",136,"cf.tmax",31.0806734235007,1.0082706270953,1800
"816",136,"deviance",9.47991728606674,1.00081283440849,3000
"817",137,"cf.a",0.0658349937274904,4.55136010896891,3
"818",137,"cf.b",-0.394822899118586,3.34747775238869,4
"819",137,"cf.delta_t",16.5337825476759,7.12335706414314,3
"820",137,"cf.sigma",0.0377053560036156,6.28548810563999,3
"821",137,"cf.tmax",29.2417372975122,3.47979758323295,4
"822",137,"deviance",-61.2306217878104,10.3860184545511,3
"823",138,"cf.a",0.0635990508737526,1.00189353786772,1400
"824",138,"cf.b",-1.15437460543373,1.00258265727329,960
"825",138,"cf.delta_t",7.76024095283167,1.00164074997793,1800
"826",138,"cf.sigma",0.266657835785171,1.00114591743234,3000
"827",138,"cf.tmax",37.0974174491238,1.00335595500776,900
"828",138,"deviance",-0.739591551120053,1.00232181024112,1600
"829",139,"cf.a",0.0455250494714216,1.004618123572,970
"830",139,"cf.b",-0.529958108520346,1.00071967395712,3000
"831",139,"cf.delta_t",10.209456459116,1.00070106039676,3000
"832",139,"cf.sigma",0.21086904883418,1.00068485815489,3000
"833",139,"cf.tmax",26.7724906124689,1.00413426896996,1300
"834",139,"deviance",-4.69919000131864,1.00096015358198,3000
"835",140,"cf.a",0.0490359716694084,1.00318515238408,750
"836",140,"cf.b",-0.563770051545767,1.00410520652323,700
"837",140,"cf.delta_t",9.44447307060948,1.00081141438908,3000
"838",140,"cf.sigma",0.0483824411783389,1.00172555148813,1600
"839",140,"cf.tmax",28.9212132719698,1.00530351938627,590
