"","population","population.number","temperature","well.ID","r.gt","r.best.model"
"191","18",8,40,"E06_81",-0.546981257434304,"gr"
"192","18",8,40,"E11_81",-0.542290762905798,"gr"
"193","19",9,10,"B03_1",0.438624770110885,"gr"
"194","19",9,10,"D04_1",0.429821348138425,"gr"
"195","19",9,10,"D10_1",0.490858032731634,"gr"
"196","19",9,10,"F03_1",0.414289929284062,"gr"
"197","19",9,16,"B03_16",1.11588736028992,"gr.sat"
"198","19",9,16,"D04_16",1.03996489962477,"gr.sat"
"199","19",9,16,"D10_16",1.0929212641712,"gr.sat"
"200","19",9,16,"F03_16",1.27362729004784,"gr.lagsat"
"201","19",9,22,"B03_31",1.66757839501455,"gr.sat"
"202","19",9,22,"D04_31",1.09755518831409,"gr.sat"
"203","19",9,22,"D10_31",1.08828946208467,"gr.sat"
"204","19",9,22,"F03_31",1.09474628506797,"gr.sat"
"205","19",9,28,"B03_46",3.06214373182694,"gr.sat"
"206","19",9,28,"D04_46",1.69099904199189,"gr.sat"
"207","19",9,28,"D10_46",2.83248177171602,"gr.sat"
"208","19",9,28,"F03_46",1.64547349991243,"gr.sat"
"209","19",9,34,"B03_61",3.66477652973593,"gr.sat"
"210","19",9,34,"D04_61",3.08553609933035,"gr.sat"
"211","19",9,34,"D10_61",-0.454983203760005,"gr"
"212","19",9,34,"F03_61",3.26014388844909,"gr.sat"
"213","19",9,40,"B03_76",-0.773800437918225,"gr"
"214","19",9,40,"D04_76",-0.813882943354386,"gr"
"215","19",9,40,"D10_76",-0.542025738742081,"gr"
"216","19",9,40,"F03_76",-0.563866968901632,"gr"
"217","2",10,10,"B10_6",0.0289002274708046,"gr"
"218","2",10,10,"C08_6",-0.00367057289988311,"gr"
"219","2",10,10,"E04_6",0.123855570162167,"gr"
"220","2",10,10,"F09_6",0.104586591034536,"gr"
"221","2",10,16,"B10_21",1.10375018431659,"gr.sat"
"222","2",10,16,"C08_21",1.15667823878849,"gr.sat"
"223","2",10,16,"E04_21",1.36501745159944,"gr.lagsat"
"224","2",10,16,"F09_21",1.15918993700189,"gr.sat"
"225","2",10,22,"B10_36",2.11511232994952,"gr.sat"
"226","2",10,22,"C08_36",1.98654838780755,"gr.sat"
"227","2",10,22,"E04_36",2.19227621852065,"gr.sat"
"228","2",10,22,"F09_36",2.06261326722953,"gr.sat"
"229","2",10,28,"B10_51",3.28185567437983,"gr.sat"
"230","2",10,28,"C08_51",2.9344090286467,"gr.sat"
"231","2",10,28,"E04_51",1.77234409290658,"gr.sat"
"232","2",10,28,"F09_51",1.61025685339636,"gr.sat"
"233","2",10,34,"B10_66",2.19325006214012,"gr.sat"
"234","2",10,34,"C08_66",3.30978395766395,"gr.sat"
"235","2",10,34,"E04_66",3.62687474755516,"gr.sat"
"236","2",10,34,"F09_66",1.6905017614231,"gr.sat"
"237","2",10,40,"B10_81",-0.526484592295648,"gr"
"238","2",10,40,"C08_81",-0.66251873858477,"gr"
"239","2",10,40,"E04_81",-0.49330984942007,"gr"
"240","2",10,40,"F09_81",-0.599287457429742,"gr"
"241","20",11,10,"B06_11",0.467451444788907,"gr"
"242","20",11,10,"D03_11",0.445317868916089,"gr"
"243","20",11,10,"D08_11",0.406007836023938,"gr"
"244","20",11,10,"E09_11",0.413931741915906,"gr"
"245","20",11,16,"B06_26",0.999143729060318,"gr.sat"
"246","20",11,16,"D03_26",0.587946960109827,"gr"
"247","20",11,16,"D08_26",1.69734905562923,"gr.lagsat"
"248","20",11,16,"E09_26",1.56828402666271,"gr.lagsat"
"249","20",11,22,"B06_41",1.61841914468831,"gr.sat"
"250","20",11,22,"D03_41",1.33219377624064,"gr.sat"
"251","20",11,22,"D08_41",1.48243055820771,"gr.sat"
"252","20",11,22,"E09_41",1.85160559758973,"gr.sat"
"253","20",11,28,"B06_56",3.07435111518976,"gr.sat"
"254","20",11,28,"D03_56",3.3288631561507,"gr.sat"
"255","20",11,28,"D08_56",3.23945153231684,"gr.sat"
"256","20",11,28,"E09_56",2.48247756164879,"gr.sat"
"257","20",11,34,"B06_71",3.59322544591367,"gr.sat"
"258","20",11,34,"D03_71",1.82646275613624,"gr.sat"
"259","20",11,34,"D08_71",3.32573903036603,"gr.sat"
"260","20",11,34,"E09_71",2.33780599004177,"gr.sat"
"261","20",11,40,"B06_86",-0.622038935496976,"gr"
"262","20",11,40,"D03_86",-0.706892680295285,"gr"
"263","20",11,40,"D08_86",-0.58453890590089,"gr"
"264","20",11,40,"E09_86",1e-04,"gr.lagsat"
"265","21",12,10,"C02_6",0.382959555982561,"gr"
"266","21",12,10,"C09_6",0.471760739966236,"gr.sat"
"267","21",12,10,"E09_6",0.478250043454268,"gr.sat"
"268","21",12,10,"F04_6",0.345465618235249,"gr"
"269","21",12,16,"C02_21",1.11257775695083,"gr.sat"
"270","21",12,16,"C09_21",1.026393337066,"gr.sat"
"271","21",12,16,"E09_21",1.09258129439817,"gr.sat"
"272","21",12,16,"F04_21",0.986813922160991,"gr.sat"
"273","21",12,22,"C02_36",2.54444123108314,"gr.sat"
"274","21",12,22,"C09_36",2.54233757390666,"gr.sat"
"275","21",12,22,"E09_36",2.1304973499991,"gr.sat"
"276","21",12,22,"F04_36",2.23808473027512,"gr.sat"
"277","21",12,28,"C02_51",3.26376437359853,"gr.sat"
"278","21",12,28,"C09_51",3.2286449097499,"gr.sat"
"279","21",12,28,"E09_51",3.17355377953681,"gr.sat"
"280","21",12,28,"F04_51",3.01143290652501,"gr.sat"
"281","21",12,34,"C02_66",3.58286216022908,"gr.sat"
"282","21",12,34,"C09_66",3.89345601856318,"gr.sat"
"283","21",12,34,"E09_66",3.38882496061162,"gr.sat"
"284","21",12,34,"F04_66",3.73020821839479,"gr.sat"
"285","21",12,40,"C02_81",-1.00076218313475,"gr"
"286","21",12,40,"C09_81",-0.91580254468109,"gr"
"287","21",12,40,"E09_81",1e-04,"gr.lagsat"
"288","21",12,40,"F04_81",1e-04,"gr.lagsat"
"289","22",13,10,"B05_6",0.419551685445182,"gr"
"290","22",13,10,"D03_6",0.412297970519607,"gr"
"291","22",13,10,"E10_6",0.403318180051839,"gr"
"292","22",13,10,"F06_6",0.43647285194162,"gr"
"293","22",13,16,"B05_21",1.12612223154327,"gr.sat"
"294","22",13,16,"D03_21",0.617274852735711,"gr"
"295","22",13,16,"E10_21",1.10788815246929,"gr.sat"
"296","22",13,16,"F06_21",1.10946213900996,"gr.sat"
"297","22",13,22,"B05_36",1.64058921391152,"gr.sat"
"298","22",13,22,"D03_36",2.00534480515082,"gr.sat"
"299","22",13,22,"E10_36",1.18129656497627,"gr.sat"
"300","22",13,22,"F06_36",1.68845167715219,"gr.sat"
"301","22",13,28,"B05_51",3.52178216424907,"gr.sat"
"302","22",13,28,"D03_51",2.62586568007261,"gr.sat"
"303","22",13,28,"E10_51",3.34512131044269,"gr.sat"
"304","22",13,28,"F06_51",1.98283828574477,"gr.sat"
"305","22",13,34,"B05_66",4.47526982881711,"gr.sat"
"306","22",13,34,"D03_66",3.82263769338392,"gr.sat"
"307","22",13,34,"E10_66",3.85069271356903,"gr.sat"
"308","22",13,34,"F06_66",3.55776298518243,"gr.sat"
"309","22",13,40,"B05_81",-0.486666922700757,"gr"
"310","22",13,40,"D03_81",-0.593528868623312,"gr"
"311","22",13,40,"E10_81",-0.461740789749896,"gr"
"312","22",13,40,"F06_81",-0.477344504207682,"gr"
"313","23",14,10,"B06_1",0.284366604561825,"gr"
"314","23",14,10,"C10_1",0.408689074628418,"gr"
"315","23",14,10,"E05_1",0.314031201507803,"gr"
"316","23",14,10,"F10_1",0.392468807873544,"gr.lag"
"317","23",14,16,"B06_16",1.19776755645602,"gr.sat"
"318","23",14,16,"C10_16",1.57763851623944,"gr.sat"
"319","23",14,16,"E05_16",1.22175368083004,"gr.sat"
"320","23",14,16,"F10_16",1.1736093176556,"gr.sat"
"321","23",14,22,"B06_31",1.84190539361836,"gr.sat"
"322","23",14,22,"C10_31",1.67779822466809,"gr.sat"
"323","23",14,22,"E05_31",2.02910339912852,"gr.sat"
"324","23",14,22,"F10_31",2.06941555530951,"gr.sat"
"325","23",14,28,"B06_46",3.18808039780377,"gr.sat"
"326","23",14,28,"C10_46",3.65430710830358,"gr.sat"
"327","23",14,28,"E05_46",2.4040174883875,"gr.sat"
"328","23",14,28,"F10_46",3.03157888955521,"gr.sat"
"329","23",14,34,"B06_61",3.19505302106804,"gr.sat"
"330","23",14,34,"C10_61",-0.564235431791386,"gr"
"331","23",14,34,"E05_61",3.08591704206834,"gr.sat"
"332","23",14,34,"F10_61",3.26570023569263,"gr.sat"
"333","23",14,40,"B06_76",-0.6803703609271,"gr"
"334","23",14,40,"C10_76",-0.663721704612957,"gr"
"335","23",14,40,"E05_76",-0.424972929420227,"gr"
"336","23",14,40,"F10_76",-2.17062156104899,"gr"
"337","24",15,10,"B11_1",0.835417855200774,"gr.lag"
"338","24",15,10,"D02_1",0.432640540476804,"gr"
"339","24",15,10,"E06_1",0.370908228726303,"gr"
"340","24",15,10,"E11_1",0.417066717371663,"gr"
"341","24",15,16,"B11_16",1.19796777022352,"gr.sat"
"342","24",15,16,"D02_16",1.17614183274808,"gr.sat"
"343","24",15,16,"E06_16",1.18910271276336,"gr.sat"
"344","24",15,16,"E11_16",1.16620588103691,"gr.sat"
