"","population","population.number","percentage","well.ID","r.exp"
"204","16",6,0.1,"E11_3",0.0591440309349087
"205","16",6,0.6,"B05_6",0.164599257240902
"206","16",6,0.6,"C08_6",0.0926486605676946
"207","16",6,0.6,"E04_6",0.447998869335351
"208","16",6,0.6,"E11_6",0.237581108736924
"209","16",6,2,"B05_9",0.277501375067444
"210","16",6,2,"C08_9",0.338981830550011
"211","16",6,2,"E04_9",0.384178664977436
"212","16",6,2,"E11_9",0.247781254973104
"213","16",6,5,"B05_12",0.645889180713881
"214","16",6,5,"C08_12",0.724978895041861
"215","16",6,5,"E04_12",0.754521044952239
"216","16",6,5,"E11_12",0.836280059163882
"217","16",6,11,"B05_15",1.06653697280597
"218","16",6,11,"C08_15",1.09671271011983
"219","16",6,11,"E04_15",1.41020769613607
"220","16",6,11,"E11_15",1.04978952727357
"221","16",6,20,"B05_18",1.45719306889954
"222","16",6,20,"C08_18",1.19100967038272
"223","16",6,20,"E04_18",1.49431042947114
"224","16",6,20,"E11_18",1.29279566454681
"225","16",6,33,"B05_21",1.50575574738829
"226","16",6,33,"C08_21",1.43620091356892
"227","16",6,33,"E04_21",1.51005062147774
"228","16",6,33,"E11_21",1.39915007591238
"229","16",6,50,"B05_24",1.40960122735602
"230","16",6,50,"C08_24",1.33270878508948
"231","16",6,50,"E04_24",1.5240599955593
"232","16",6,50,"E11_24",1.22839446487888
"233","16",6,70,"B05_27",1.52123218129352
"234","16",6,70,"C08_27",1.56325167822001
"235","16",6,70,"E04_27",1.44828610007197
"236","16",6,70,"E11_27",1.63481821122067
"237","16",6,100,"B05_30",1.57643683194623
"238","16",6,100,"C08_30",1.49888404712052
"239","16",6,100,"E04_30",1.6089078070727
"240","16",6,100,"E11_30",1.46770397327761
"241","17",7,0.1,"B08_2",0.096342048900454
"242","17",7,0.1,"C11_2",0.17451673539641
"243","17",7,0.1,"E07_2",0.114858384066047
"244","17",7,0.1,"F05_2",-0.0848950317246959
"245","17",7,0.6,"B08_5",0.0710890699815544
"246","17",7,0.6,"C11_5",0.363516639746192
"247","17",7,0.6,"E07_5",0.192178389915586
"248","17",7,0.6,"F05_5",0.551952051625049
"249","17",7,2,"B08_8",0.405253386275254
"250","17",7,2,"C11_8",0.28346820241909
"251","17",7,2,"E07_8",0.286501311774206
"252","17",7,2,"F05_8",0.86682447875745
"253","17",7,5,"B08_11",0.343636643505297
"254","17",7,5,"C11_11",0.503818529248438
"255","17",7,5,"E07_11",0.486497304538032
"256","17",7,5,"F05_11",0.44077975831421
"257","17",7,11,"B08_14",1.02244512875297
"258","17",7,11,"C11_14",0.930291896368555
"259","17",7,11,"E07_14",1.19011625647718
"260","17",7,11,"F05_14",1.38265985926602
"261","17",7,20,"B08_17",1.48296904914931
"262","17",7,20,"C11_17",1.4434985286893
"263","17",7,20,"E07_17",1.38077608447817
"264","17",7,20,"F05_17",1.49017768159379
"265","17",7,33,"B08_20",1.75051351572458
"266","17",7,33,"C11_20",1.7497835670036
"267","17",7,33,"E07_20",1.56685798168939
"268","17",7,33,"F05_20",1.67792115824503
"269","17",7,50,"B08_23",1.65474582528997
"270","17",7,50,"C11_23",1.69345920548066
"271","17",7,50,"E07_23",1.53648351708869
"272","17",7,50,"F05_23",1.54640656538252
"273","17",7,70,"B08_26",1.52855324766629
"274","17",7,70,"C11_26",1.64292975041616
"275","17",7,70,"E07_26",1.53065474320761
"276","17",7,70,"F05_26",1.53959969427437
"277","17",7,100,"B08_29",1.24591307331315
"278","17",7,100,"C11_29",1.43154763369246
"279","17",7,100,"E07_29",1.56958389082041
"280","17",7,100,"F05_29",1.36464036746382
"281","18",8,0.1,"B11_2",-0.0588879582540565
"282","18",8,0.1,"D02_2",0.61838194749764
"283","18",8,0.1,"E06_2",0.14589529472328
"284","18",8,0.1,"E11_2",-0.102462194395887
"285","18",8,0.6,"B11_5",-0.158693528051196
"286","18",8,0.6,"D02_5",0.0656078237706222
"287","18",8,0.6,"E06_5",0.203503990791911
"288","18",8,0.6,"E11_5",-0.118249351146287
"289","18",8,2,"B11_8",0.0910835340199832
"290","18",8,2,"D02_8",0.0508221982998384
"291","18",8,2,"E06_8",0.101672438125681
"292","18",8,2,"E11_8",0.0972691275303809
"293","18",8,5,"B11_11",0.20241754718837
"294","18",8,5,"D02_11",0.301491416578673
"295","18",8,5,"E06_11",0.199769883803907
"296","18",8,5,"E11_11",0.278967599760574
"297","18",8,11,"B11_14",0.791427434842648
"298","18",8,11,"D02_14",0.872914519021531
"299","18",8,11,"E06_14",1.01019869007784
"300","18",8,11,"E11_14",0.749341115704282
"301","18",8,20,"B11_17",1.37761602301812
"302","18",8,20,"D02_17",1.36413138289921
"303","18",8,20,"E06_17",1.40333758601812
"304","18",8,20,"E11_17",1.43497481635982
"305","18",8,33,"B11_20",1.4687764822355
"306","18",8,33,"D02_20",1.46183794072774
"307","18",8,33,"E06_20",1.61767153289718
"308","18",8,33,"E11_20",1.52975231689406
"309","18",8,50,"B11_23",1.55270764305064
"310","18",8,50,"D02_23",1.35823446140674
"311","18",8,50,"E06_23",1.53078012450597
"312","18",8,50,"E11_23",1.54584402509142
"313","18",8,70,"B11_26",1.4961536622353
"314","18",8,70,"D02_26",1.36959968905971
"315","18",8,70,"E06_26",1.54906741636074
"316","18",8,70,"E11_26",1.60363483713853
"317","18",8,100,"B11_29",1.42646455876171
"318","18",8,100,"D02_29",1.40143330403675
"319","18",8,100,"E06_29",1.52511563826086
"320","18",8,100,"E11_29",1.4135476164545
"321","19",9,0.1,"B03_1",-0.0720305266216441
"322","19",9,0.1,"D04_1",-0.132422544536015
"323","19",9,0.1,"D10_1",-0.016323786796965
"324","19",9,0.1,"F03_1",0.0226062454388019
"325","19",9,0.6,"B03_4",-0.183117515319865
"326","19",9,0.6,"D04_4",-0.0399262030728629
"327","19",9,0.6,"D10_4",-0.0748109710381374
"328","19",9,0.6,"F03_4",-0.0793344913338995
"329","19",9,2,"B03_7",0.447858396647115
"330","19",9,2,"D04_7",0.205996660127032
"331","19",9,2,"D10_7",0.630710257324174
"332","19",9,2,"F03_7",0.480122043135251
"333","19",9,5,"B03_10",0.162433743264984
"334","19",9,5,"D04_10",0.489715391763015
"335","19",9,5,"D10_10",0.524907928856709
"336","19",9,5,"F03_10",0.428108147980438
"337","19",9,11,"B03_13",1.1493035089218
"338","19",9,11,"D04_13",0.912189177967817
"339","19",9,11,"D10_13",1.01133098582416
"340","19",9,11,"F03_13",1.02113888972527
"341","19",9,20,"B03_16",1.31613037125901
"342","19",9,20,"D04_16",1.26190700427685
"343","19",9,20,"D10_16",1.33779881104971
"344","19",9,20,"F03_16",1.13168778672596
"345","19",9,33,"B03_19",1.26291921023011
"346","19",9,33,"D04_19",1.43911952734914
"347","19",9,33,"D10_19",1.50491854687437
"348","19",9,33,"F03_19",1.34378916333861
"349","19",9,50,"B03_22",1.51676282564241
"350","19",9,50,"D04_22",1.67128276107579
"351","19",9,50,"D10_22",1.38908531098907
"352","19",9,50,"F03_22",1.36380601813305
"353","19",9,70,"B03_25",1.61429793852193
"354","19",9,70,"D04_25",1.64347695175386
"355","19",9,70,"D10_25",1.5172752897208
"356","19",9,70,"F03_25",1.39152119866848
"357","19",9,100,"B03_28",1.3447203349731
"358","19",9,100,"D04_28",1.0193743844904
"359","19",9,100,"D10_28",1.15344178733713
"360","19",9,100,"F03_28",1.06338731188753
"361","2",10,0.1,"B10_2",0.0226632575307143
"362","2",10,0.1,"C08_2",0.64872189322647
"363","2",10,0.1,"E04_2",-0.24309604075483
"364","2",10,0.1,"F09_2",-0.12441628946078
"365","2",10,0.6,"B10_5",0.125645483899885
"366","2",10,0.6,"C08_5",0.196437231391711
"367","2",10,0.6,"E04_5",0.271003465266206
"368","2",10,0.6,"F09_5",0.288505920088871
"369","2",10,2,"B10_8",0.0700318991177999
"370","2",10,2,"C08_8",0.235878938472691
"371","2",10,2,"E04_8",0.170534051475532
"372","2",10,2,"F09_8",0.351280512474129
"373","2",10,5,"B10_11",0.542895874996142
"374","2",10,5,"C08_11",0.400946127030157
"375","2",10,5,"E04_11",0.431133504506264
"376","2",10,5,"F09_11",0.483832883465694
"377","2",10,11,"B10_14",0.968703510510165
"378","2",10,11,"C08_14",0.984042635803451
"379","2",10,11,"E04_14",1.26802555900248
"380","2",10,11,"F09_14",0.878544434341661
"381","2",10,20,"B10_17",1.23712330581443
"382","2",10,20,"C08_17",1.45164659980017
"383","2",10,20,"E04_17",1.36822961090413
"384","2",10,20,"F09_17",1.34258673953147
"385","2",10,33,"B10_20",1.40579000529438
"386","2",10,33,"C08_20",1.59245129083389
"387","2",10,33,"E04_20",1.38205821879571
"388","2",10,33,"F09_20",1.395910685416
"389","2",10,50,"B10_23",1.40746214998889
"390","2",10,50,"C08_23",1.45349100093499
"391","2",10,50,"E04_23",1.34124273549108
"392","2",10,50,"F09_23",1.30647964368291
"393","2",10,70,"B10_26",1.34323196696082
"394","2",10,70,"C08_26",1.26413373697485
"395","2",10,70,"E04_26",1.36269436461659
"396","2",10,70,"F09_26",1.47489562974311
"397","2",10,100,"B10_29",1.50394516516261
"398","2",10,100,"C08_29",1.73687309575596
"399","2",10,100,"E04_29",1.53477169691023
"400","2",10,100,"F09_29",1.48564163152328
"401","20",11,0.1,"B06_3",0.430445253859441
"402","20",11,0.1,"D03_3",0.299657470739767
"403","20",11,0.1,"D08_3",0.0207278224901382
"404","20",11,0.1,"E09_3",0.10454882251635
"405","20",11,0.6,"B06_6",0.316953985940508
"406","20",11,0.6,"D03_6",0.0276004896688531
"407","20",11,0.6,"D08_6",0.0624093803626022
"408","20",11,0.6,"E09_6",NA
"409","20",11,2,"B06_9",0.0574450005919317
"410","20",11,2,"D03_9",0.583837289367334
"411","20",11,2,"D08_9",0.153265949107173
"412","20",11,2,"E09_9",0.0370668514869048
"413","20",11,5,"B06_12",0.336266675923191
"414","20",11,5,"D03_12",0.330922855699335
"415","20",11,5,"D08_12",0.284045651233715
"416","20",11,5,"E09_12",0.673151194918982
"417","20",11,11,"B06_15",1.06454290984051
"418","20",11,11,"D03_15",0.91822855032376
"419","20",11,11,"D08_15",0.984895981489673
"420","20",11,11,"E09_15",1.00313496077326
"421","20",11,20,"B06_18",1.36501185168772
"422","20",11,20,"D03_18",1.13737535336767
"423","20",11,20,"D08_18",1.23633642098321
"424","20",11,20,"E09_18",1.14631786257611
"425","20",11,33,"B06_21",1.55670699661015
"426","20",11,33,"D03_21",1.5349269850288
"427","20",11,33,"D08_21",1.56113326977864
"428","20",11,33,"E09_21",1.41359974739024
"429","20",11,50,"B06_24",1.60308648640135
"430","20",11,50,"D03_24",1.71489068699778
"431","20",11,50,"D08_24",1.5896080602494
"432","20",11,50,"E09_24",1.4711905834082
"433","20",11,70,"B06_27",1.57970700545609
"434","20",11,70,"D03_27",1.50766670078947
"435","20",11,70,"D08_27",1.47919781581002
"436","20",11,70,"E09_27",1.49627546988711
"437","20",11,100,"B06_30",1.57305190254137
"438","20",11,100,"D03_30",1.64263603987
"439","20",11,100,"D08_30",1.48339420270099
"440","20",11,100,"E09_30",1.6424196160308
"441","21",12,0.1,"C02_2",0.674829345254261
"442","21",12,0.1,"C09_2",0.225952739402034
"443","21",12,0.1,"E09_2",0.459251077564065
"444","21",12,0.1,"F04_2",0.646048199180711
"445","21",12,0.6,"C02_5",0.481148522390697
"446","21",12,0.6,"C09_5",0.24039517598967
"447","21",12,0.6,"E09_5",0.309420756531753
"448","21",12,0.6,"F04_5",0.243688199292533
"449","21",12,2,"C02_8",0.52096212893086
"450","21",12,2,"C09_8",0.391406613544586
"451","21",12,2,"E09_8",0.441713635487745
"452","21",12,2,"F04_8",0.795910756631047
"453","21",12,5,"C02_11",0.595988380446959
"454","21",12,5,"C09_11",0.559648707582256
"455","21",12,5,"E09_11",0.642346183803551
"456","21",12,5,"F04_11",0.746561568906434
"457","21",12,11,"C02_14",1.51531176014364
"458","21",12,11,"C09_14",1.34528540034637
"459","21",12,11,"E09_14",1.34745230611812
"460","21",12,11,"F04_14",1.48100586062299
"461","21",12,20,"C02_17",1.57713924874945
"462","21",12,20,"C09_17",1.38093219861685
"463","21",12,20,"E09_17",1.46467178920227
"464","21",12,20,"F04_17",1.47875291598116
"465","21",12,33,"C02_20",1.59521602256277
"466","21",12,33,"C09_20",1.62732457505588
"467","21",12,33,"E09_20",1.69610491235285
"468","21",12,33,"F04_20",1.60344445453044
"469","21",12,50,"C02_23",1.4946074107085
"470","21",12,50,"C09_23",1.44065723104273
"471","21",12,50,"E09_23",1.67723019614373
"472","21",12,50,"F04_23",1.45234358428712
"473","21",12,70,"C02_26",1.49880431879952
"474","21",12,70,"C09_26",1.42245460195561
"475","21",12,70,"E09_26",1.45024380104405
"476","21",12,70,"F04_26",1.41225841162261
"477","21",12,100,"C02_29",1.48859691109221
"478","21",12,100,"C09_29",1.39032580484026
"479","21",12,100,"E09_29",1.39022208330539
"480","21",12,100,"F04_29",1.47701076059957
"481","22",13,0.1,"B05_2",0.215157187420446
"482","22",13,0.1,"D03_2",-0.130216151657151
"483","22",13,0.1,"E10_2",0.0765844180187506
"484","22",13,0.1,"F06_2",-0.0218591660422375
"485","22",13,0.6,"B05_5",-0.221135353263933
"486","22",13,0.6,"D03_5",-0.0781361266430263
"487","22",13,0.6,"E10_5",0.474222148856299
"488","22",13,0.6,"F06_5",-0.276927473286113
"489","22",13,2,"B05_8",0.631849857610973
"490","22",13,2,"D03_8",0.0387324173037898
"491","22",13,2,"E10_8",0.0990842051268889
"492","22",13,2,"F06_8",0.367940353344828
"493","22",13,5,"B05_11",0.0186590993489689
"494","22",13,5,"D03_11",-0.204819537541035
"495","22",13,5,"E10_11",0.265201341522928
"496","22",13,5,"F06_11",0.322371234356024
"497","22",13,11,"B05_14",1.02719119587562
"498","22",13,11,"D03_14",0.884605579465621
"499","22",13,11,"E10_14",0.848275121316293
"500","22",13,11,"F06_14",0.840852687545322
"501","22",13,20,"B05_17",1.36287890909849
"502","22",13,20,"D03_17",1.36020507300093
"503","22",13,20,"E10_17",1.36906421136266
"504","22",13,20,"F06_17",1.43810896250385
"505","22",13,33,"B05_20",1.58833743745234
"506","22",13,33,"D03_20",1.54035023456291
"507","22",13,33,"E10_20",1.53459037859951
"508","22",13,33,"F06_20",1.55806526752943
"509","22",13,50,"B05_23",1.58129997419465
"510","22",13,50,"D03_23",1.33066918263277
"511","22",13,50,"E10_23",1.75050788040738
"512","22",13,50,"F06_23",1.39288841831734
"513","22",13,70,"B05_26",1.59019502893829
"514","22",13,70,"D03_26",1.68980446809012
"515","22",13,70,"E10_26",1.55208188738541
"516","22",13,70,"F06_26",1.52004893702494
"517","22",13,100,"B05_29",1.66857702172899
"518","22",13,100,"D03_29",1.45460840168062
"519","22",13,100,"E10_29",1.54867012885695
"520","22",13,100,"F06_29",1.20298403179155
"521","23",14,0.1,"B06_1",0.0157099430166953
"522","23",14,0.1,"C10_1",-0.0239429529287058
"523","23",14,0.1,"E05_1",0.00719311490523215
