"","Pop.fac","Pop.num","unique.id","Model","T.min","T.max","T.br","T.opt","r.max"
"118","anc5",36,"36.C11","Lactin 2",4.17857589817036,40.9946254968812,18.7620426653391,33.1199666064297,5.10047515330672
"119","anc5",36,"36.E07","Lactin 2",4.53482819387152,40.1258088201609,16.9857107892588,33.5512993425653,5.26422463669233
"120","anc5",36,"36.F05","Lactin 2",3.16072045970855,40.3241176796802,18.0966193642167,32.8423647874031,6.3104832777199
"121","cc1690",38,"38.B04","Lactin 2",2.36232704078112,40.6068250688233,20.257403229983,31.8717345130554,3.72754443204813
"122","cc1690",38,"38.C05","Lactin 2",3.73217990464146,40.3714450478425,18.7304967844298,32.400090741699,5.3331252190585
"123","cc1690",38,"38.E05","Lactin 2",4.10383604679255,40.3991809732827,19.0357779456184,32.2061861952222,4.65514121499123
"124","cc1690",38,"38.F07","Lactin 2",3.32439180604785,40.4297572390669,19.7349758575794,31.8743172773662,3.98541395781421
"125","14",4,"4.B04","Lactin 2",5.26703348008831,40.5127724961867,18.200673866503,32.7353560993743,5.70725900449849
"126","14",4,"4.D06","Lactin 2",5.64858042823235,40.7127830779212,18.6547846437359,32.5499404936532,5.07710954956101
"127","14",4,"4.D09","Lactin 2",4.0179896077688,41.1730038194269,18.6303235432443,33.3276834439201,6.00544625088327
"128","14",4,"4.F08","Lactin 2",4.33807478795992,40.9928124382506,18.6268918084486,33.0876723783451,5.79567095020359
"129","15",5,"5.B02","Lactin 2",4.2639049111625,40.4556230609096,18.5531926563823,32.5790807720709,5.33486908654287
"130","15",5,"5.C11","Lactin 2",3.97283400001123,40.6224772931005,18.6024870017909,32.7717409998602,5.4565698179425
"131","15",5,"5.E07","Lactin 2",3.47428629038782,40.4517122664003,19.4221032450762,32.0697867518404,4.4281232173809
"132","15",5,"5.F02","Lactin 2",1.52465419622484,40.4643627299044,19.0078143073256,32.5701405510044,5.58937570530342
"133","16",6,"6.B05","Lactin 2",1.48506499059658,40.2806712963382,18.8262645742706,32.483685022014,5.73291918331479
"134","16",6,"6.C08","Lactin 2",2.79412660834938,39.8134308596177,19.341904686047,31.501471818391,4.30781842293014
"135","16",6,"6.E04","Lactin 2",1.83387180912264,40.4247560341723,18.7469555988691,32.6937798059547,5.66964024415494
"136","16",6,"6.E11","Lactin 2",2.79397751330488,40.397416411792,18.7242564012398,32.477628964777,5.95593017448447
"137","17",7,"7.B08","Lactin 2",3.81405159442759,39.9438439040559,18.2650084477887,32.3907377614363,4.80219419359457
"138","17",7,"7.C11","Lactin 2",2.02860855419023,40.6195612553638,17.519524971118,33.4497765894729,9.17209384581786
"139","17",7,"7.E07","Lactin 2",1.84756873973978,40.6168631260158,18.1023133880435,33.079475731496,8.2468961858629
"140","17",7,"7.F05","Lactin 2",5.89438894884705,40.2358538473168,16.2065125763079,34.1625483097498,5.26812604402152
"141","18",8,"8.B11","Lactin 2",4.59737507827007,41.2691883376644,19.6243165374722,32.6876898242087,4.33524339426364
"142","18",8,"8.D02","Lactin 2",2.97715154774803,41.414766929603,19.7545084789286,32.9692434746477,4.87854669604541
"143","18",8,"8.E06","Lactin 2",3.61999665795751,41.2604718624641,19.8997853616423,32.6259874830249,4.31605933658493
"144","18",8,"8.E11","Lactin 2",2.60355210616566,41.5184061615901,20.2430534829072,32.8315607837934,4.34175136134394
"145","19",9,"9.B03","Lactin 2",3.3823980080937,40.0433147954735,17.2466798664339,33.2298039962312,6.14022028296005
"146","19",9,"9.D04","Lactin 2",3.53548113684362,40.3535945166827,18.614778187324,32.6739282306778,4.60395220553792
"147","19",9,"9.D10","Lactin 2",3.91131528309449,39.9985967359769,18.4726120359432,32.1794601797596,5.15203795818388
"148","19",9,"9.F03","Lactin 2",-0.335567229142509,40.4220571447606,17.4531281684562,33.4031736617991,9.79941877306596
