"","Model","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"89","Lactin 2","21",12,"12.E09","cf.tmax",41.0571311294616,1.0016172546915,3100
"90","Lactin 2","21",12,"12.E09","deviance",2.05562236767671,1.00095600657635,6000
"91","Lactin 2","21",12,"12.F04","cf.a",0.0623480083288373,1.0205147544797,3000
"92","Lactin 2","21",12,"12.F04","cf.b",-1.51696028902978,1.00125218781336,4600
"93","Lactin 2","21",12,"12.F04","cf.delta_t",3.7558469528234,1.00080663795693,6000
"94","Lactin 2","21",12,"12.F04","cf.sigma",0.35333230518557,1.00091663865308,6000
"95","Lactin 2","21",12,"12.F04","cf.tmax",40.9048169081239,1.00068432659999,6000
"96","Lactin 2","21",12,"12.F04","deviance",0.357801797825529,1.00074571894686,6000
"97","Lactin 2","22",13,"13.B05","cf.a",0.0572458976356578,1.00307396193742,6000
"98","Lactin 2","22",13,"13.B05","cf.b",-1.29054185889592,1.00101081598381,6000
"99","Lactin 2","22",13,"13.B05","cf.delta_t",2.88645128257652,1.00096255640186,6000
"100","Lactin 2","22",13,"13.B05","cf.sigma",0.49744519484546,1.00077237734549,6000
"101","Lactin 2","22",13,"13.B05","cf.tmax",40.5216932066396,1.00082839444396,6000
"102","Lactin 2","22",13,"13.B05","deviance",4.35697894214951,1.00102197793149,6000
"103","Lactin 2","22",13,"13.D03","cf.a",0.0572587537114712,1.00565972694673,5500
"104","Lactin 2","22",13,"13.D03","cf.b",-1.32587246029506,1.0012203785395,4900
"105","Lactin 2","22",13,"13.D03","cf.delta_t",3.8375154928954,1.00219992954157,2100
"106","Lactin 2","22",13,"13.D03","cf.sigma",0.4448120188713,1.00156002329919,3300
"107","Lactin 2","22",13,"13.D03","cf.tmax",40.6747705594552,1.00185732972756,4000
"108","Lactin 2","22",13,"13.D03","deviance",3.76891439573585,1.00094938619396,6000
"109","Lactin 2","22",13,"13.E10","cf.a",0.0571754589169132,1.00309585694,6000
"110","Lactin 2","22",13,"13.E10","cf.b",-1.41863530939241,1.00092200869443,6000
"111","Lactin 2","22",13,"13.E10","cf.delta_t",3.66208668643705,1.00086348018181,6000
"112","Lactin 2","22",13,"13.E10","cf.sigma",0.616072694355265,1.00059490076651,6000
"113","Lactin 2","22",13,"13.E10","cf.tmax",40.9770195845582,1.00114063160818,5500
"114","Lactin 2","22",13,"13.E10","deviance",7.8367738717652,1.00056950636862,6000
"115","Lactin 2","22",13,"13.F06","cf.a",0.0554444371518814,1.00361132483753,3800
"116","Lactin 2","22",13,"13.F06","cf.b",-1.30891328266587,1.00101302476471,6000
"117","Lactin 2","22",13,"13.F06","cf.delta_t",3.82809001287215,1.00081354691953,6000
"118","Lactin 2","22",13,"13.F06","cf.sigma",0.463116989612833,1.00175377612105,2800
"119","Lactin 2","22",13,"13.F06","cf.tmax",40.7261896308024,1.00189186862322,6000
"120","Lactin 2","22",13,"13.F06","deviance",3.93763202195809,1.00251869053819,1700
"121","Lactin 2","23",14,"14.B06","cf.a",0.0601030351045611,1.01321994934878,3400
"122","Lactin 2","23",14,"14.B06","cf.b",-1.35797317407542,1.0012652379044,4600
"123","Lactin 2","23",14,"14.B06","cf.delta_t",4.31553881210746,1.00088815163957,6000
"124","Lactin 2","23",14,"14.B06","cf.sigma",0.645884759670748,1.00061649944661,6000
"125","Lactin 2","23",14,"14.B06","cf.tmax",40.7604088085188,1.00098194388062,6000
"126","Lactin 2","23",14,"14.B06","deviance",8.55382799589227,1.00100292233339,6000
"127","Lactin 2","23",14,"14.C10","cf.a",0.0596486563825791,1.00335588628897,6000
"128","Lactin 2","23",14,"14.C10","cf.b",-1.24360688239125,1.00081179664489,6000
"129","Lactin 2","23",14,"14.C10","cf.delta_t",3.42527188679462,1.00156377757625,3300
"130","Lactin 2","23",14,"14.C10","cf.sigma",0.693025204677486,1.00140394445102,3900
"131","Lactin 2","23",14,"14.C10","cf.tmax",40.7001643060691,1.00075638661754,6000
"132","Lactin 2","23",14,"14.C10","deviance",9.4131985689277,1.00137913138049,4000
"133","Lactin 2","23",14,"14.E05","cf.a",0.0598547509348868,1.0187191418882,4500
"134","Lactin 2","23",14,"14.E05","cf.b",-1.33712099018023,1.00081729442764,6000
"135","Lactin 2","23",14,"14.E05","cf.delta_t",4.29843597778167,1.00229099992402,6000
"136","Lactin 2","23",14,"14.E05","cf.sigma",0.385977178826123,1.00089143074529,6000
"137","Lactin 2","23",14,"14.E05","cf.tmax",40.6854824258629,1.00212657724793,6000
"138","Lactin 2","23",14,"14.E05","deviance",1.69394074259211,1.00096891474137,6000
"139","Lactin 2","23",14,"14.F10","cf.a",0.0636606652382033,1.00786752951475,5300
"140","Lactin 2","23",14,"14.F10","cf.b",-1.51176271773558,1.0006210326954,6000
"141","Lactin 2","23",14,"14.F10","cf.delta_t",4.83021645502499,1.00238976207293,6000
"142","Lactin 2","23",14,"14.F10","cf.sigma",0.358877294830569,1.00098702771445,6000
"143","Lactin 2","23",14,"14.F10","cf.tmax",41.0765748273048,1.00108943696022,6000
"144","Lactin 2","23",14,"14.F10","deviance",0.62298021593458,1.00127540989127,4500
"145","Lactin 2","24",15,"15.B11","cf.a",0.0553378748081773,1.01249801479009,6000
"146","Lactin 2","24",15,"15.B11","cf.b",-1.24262308732436,1.00076361888699,6000
"147","Lactin 2","24",15,"15.B11","cf.delta_t",3.34249560183418,1.00068767861541,6000
"148","Lactin 2","24",15,"15.B11","cf.sigma",0.386063933486773,1.00110511141388,5800
"149","Lactin 2","24",15,"15.B11","cf.tmax",40.6574641528228,1.00096337688764,6000
"150","Lactin 2","24",15,"15.B11","deviance",1.67705827581919,1.00098819383102,6000
"151","Lactin 2","24",15,"15.D02","cf.a",0.0565178655264203,1.01170453763564,1700
"152","Lactin 2","24",15,"15.D02","cf.b",-1.36155256140941,1.01263027725168,970
"153","Lactin 2","24",15,"15.D02","cf.delta_t",3.6746762488002,1.01780153064378,2000
"154","Lactin 2","24",15,"15.D02","cf.sigma",0.0725916913246146,1.00090418305759,6000
"155","Lactin 2","24",15,"15.D02","cf.tmax",41.1520183026103,1.00431059934,6000
"156","Lactin 2","24",15,"15.D02","deviance",-22.3078963907453,1.00086164515835,6000
"157","Lactin 2","24",15,"15.E06","cf.a",0.0530786967678862,1.00935583674665,3900
"158","Lactin 2","24",15,"15.E06","cf.b",-1.29544646256257,1.00060316307506,6000
"159","Lactin 2","24",15,"15.E06","cf.delta_t",2.83418379287858,1.00135714641016,4100
"160","Lactin 2","24",15,"15.E06","cf.sigma",0.374254799828263,1.00138291327507,4000
"161","Lactin 2","24",15,"15.E06","cf.tmax",40.7213356082559,1.00078816998603,6000
"162","Lactin 2","24",15,"15.E06","deviance",0.745008719737797,1.00123105192182,4800
"163","Lactin 2","24",15,"15.E11","cf.a",0.0517395524177041,1.02040779189343,1900
"164","Lactin 2","24",15,"15.E11","cf.b",-1.18919942150902,1.00123413880638,4800
"165","Lactin 2","24",15,"15.E11","cf.delta_t",3.20633365800876,1.00179860273492,2700
"166","Lactin 2","24",15,"15.E11","cf.sigma",0.467290180234151,1.00077757263784,6000
"167","Lactin 2","24",15,"15.E11","cf.tmax",40.6875660185876,1.00071841593306,6000
"168","Lactin 2","24",15,"15.E11","deviance",4.18764606527843,1.00082178589312,6000
"169","Lactin 2","25",16,"16.B02","cf.a",0.0700688061044017,1.00474056788213,6000
"170","Lactin 2","25",16,"16.B02","cf.b",-1.70789651645792,1.000708580701,6000
"171","Lactin 2","25",16,"16.B02","cf.delta_t",5.36429521240661,1.00223177951127,6000
"172","Lactin 2","25",16,"16.B02","cf.sigma",0.167024541052944,1.00146592008525,3600
"173","Lactin 2","25",16,"16.B02","cf.tmax",40.9266371152273,1.00233352483771,6000
"174","Lactin 2","25",16,"16.B02","deviance",-10.315561589613,1.0014257611705,3800
"175","Lactin 2","25",16,"16.C05","cf.a",0.0631125350659393,1.00191081945754,6000
"176","Lactin 2","25",16,"16.C05","cf.b",-1.48823000627916,1.00090516698092,6000
"177","Lactin 2","25",16,"16.C05","cf.delta_t",4.84796409745968,1.0007501772693,6000
"178","Lactin 2","25",16,"16.C05","cf.sigma",0.476198654009868,1.00066683060622,6000
"179","Lactin 2","25",16,"16.C05","cf.tmax",40.9181010242521,1.00079434910485,6000
"180","Lactin 2","25",16,"16.C05","deviance",4.3220256720615,1.00069420379235,6000
"181","Lactin 2","25",16,"16.E03","cf.a",0.0607288724195484,1.00581369418371,6000
"182","Lactin 2","25",16,"16.E03","cf.b",-1.40325619261001,1.00110419354764,5800
"183","Lactin 2","25",16,"16.E03","cf.delta_t",4.69995642290605,1.00098859587175,6000
