"","Pop.fac","Anc","Evol","T.µ.max","T.br.0","T.br.0.56","T.µ.max.L","T.µ.max.U","T.br.0.L","T.br.0.U","T.br.0.56.L","T.br.0.56.U","I.µ.max","I.comp.0.1","I.comp.0.56","I.µ.max.L","I.µ.max.U","I.comp.0.1.L","I.comp.0.1.U","I.comp.0.56.L","I.comp.0.56.U","N.µ.max","N.comp.0.1","N.comp.0.56","N.µ.max.L","N.µ.max.U","N.comp.0.1.L","N.comp.0.1.U","N.comp.0.56.L","N.comp.0.56.U","P.µ.max","P.comp.0.1","P.comp.0.56","P.µ.max.L","P.µ.max.U","P.comp.0.1.L","P.comp.0.1.U","P.comp.0.56.L","P.comp.0.56.U","S.µ.max","S.c","S.µ.max.L","S.µ.max.U","S.c.L","S.c.U","mean.N.µg.l","mean.P.µg.l","chl.a","chl.b","luthein"
"21","3","cc1690","N",3.75101462291143,32.7760333051374,27.3285046801177,3.43384777684743,4.01537767126617,30.0236281489448,36.9716057752563,25.4741707249694,29.7768675625286,1.32802973351436,1.17800432174306,0.131561255140131,1.09452695715051,1.58855579157032,0.623498105067002,3.45228549073233,0.0725696380673035,0.357738889989348,1.35490088200696,4.19418862350455,0.47442054188309,1.26208399423468,1.45042200072789,2.59045240219323,8.77760583753251,0.29714368340915,0.970649892955086,1.37107117114257,17.2983729716078,1.97108941647493,1.29948970945278,1.44717043141593,13.112566331809,23.5234930050427,1.52273320941063,2.64223425098173,1.25635441789533,3.96122105809353,1.09582846014095,1.42490791451869,3.68446068661473,4.21948674609334,149.4,31.41,8.2975,3.3961,0.6914
"22","30","anc5","N",3.54580550844003,34.6323809064282,28.4995879714573,3.35588601955696,3.7175827830729,32.3867046716085,37.6942628504744,27.0548107927399,30.2093562087343,1.57462562700104,0.771040820378418,0.0947356401970856,1.37575488899704,1.76028551791183,0.608229296134681,1.22863273237476,0.0737410178906447,0.145746946661765,1.27943422088139,4.38029698264129,0.477125795200077,1.17300332387463,1.39430062586427,2.31504838449822,13.9749106381956,0.259668490052374,1.46255579892899,1.37096978236029,12.1944073276818,1.38944742288746,1.24418836511818,1.50616444698278,8.25062455252404,19.9379403151786,0.969281694082319,2.2062573339682,1.40294743619051,4.14902595188238,0.853236745309531,2.861971029928,1.12533478428925,5.82173730726282,461.84,90.615,21.4494,10.5847,1.8334
"23","31","cc1690","B",3.81003833024573,33.3653236624043,27.6126551945922,3.44980671220787,4.11662706913562,30.1052440899383,39.1184603734881,25.5083455374599,30.7226932718694,1.34103772755635,0.649836180224305,0.0730302670753131,1.11203327962101,1.57225374351216,0.488693633946427,1.09623528884453,0.0517972803451473,0.118223421598033,1.40880388287262,1.79462269260201,0.207834629131062,1.2677693267179,1.5479621789512,1.34050212129707,3.33275686451203,0.153783099520964,0.371752148688661,1.28546118186528,8.03078642602059,0.877600558248797,1.12684065162987,1.46522340809482,4.95352714539992,15.1221854949025,0.565793546460093,1.56947948693398,1.39504629253364,3.98224080293353,1.24593510581582,1.60220729035782,3.53279929144424,4.33632288119179,209.995,40.175,12.4763,5.8848,0.9779
"24","32","cc1690","S",3.486890546303,32.6581225345525,26.494226029997,3.27230195075661,3.68425598931334,30.3805370620737,35.8129526304933,25.1730355940983,28.1396373955485,1.18436325631995,0.571434695390369,0.0587544983375374,1.00598523333174,1.35721527520421,0.435018907808571,0.985598253137536,0.042284652890893,0.0946773841625066,1.46440500499566,1.90256541334996,0.225201471372028,1.37253701045222,1.55706978122415,1.46101923204791,2.78432123319866,0.174691535080241,0.326403352210617,1.5155811933584,9.29558779330129,1.12052522997095,1.42437508067258,1.6138750426089,7.36327634862956,12.0692809352623,0.901015384758002,1.43130306726245,1.26972697415156,6.82926418451829,0.806852120344082,2.70430387341685,1.59145889641455,8.81749799030739,441.225,108.99,19.0778,8.4892,1.4824
"25","33","cc1690","L",3.57250837161983,34.7621909945786,27.739716978703,3.34927306036655,3.80729775303916,31.932453004384,38.6126980366405,26.1596269154898,29.7528509233896,1.34445209717451,0.739548177102169,0.0832466351782116,1.09200618417202,1.5912047388691,0.513683252362302,1.57256188895489,0.0559828135062468,0.165449331511989,1.27579065747116,4.57410509468984,0.497249244926941,1.13857106694521,1.4234246587046,1.94175663544405,37.07545564792,0.219760467752595,3.888706506441,1.5702880156927,6.87431611606709,0.843498386761629,1.46375629236359,1.687997630307,5.43114828308148,8.96741401341486,0.678657558823432,1.07802348488834,1.34251025542549,3.90513493837106,1.04911097059322,1.94647113560728,2.70594697401946,4.48500710378083,370.69,78.89,21.2645,8.9895,1.5908
"26","35","anc4","BS",4.40574928792827,35.3459015932963,28.3311972095122,3.88681641103334,5.39966336322537,30.9754414834139,41.6865696719742,25.6947229050222,31.9330752394923,1.46120092453551,0.725886958294556,0.0858183894472433,1.2428561069754,1.66373691537451,0.554526502396742,1.21634523462908,0.0638808758187372,0.137111503386515,1.36525157487776,2.91169029005345,0.33091149027705,1.28782776301294,1.44768531481532,1.99846680777985,4.73508114523271,0.22941157112384,0.524431204666407,1.26021110560843,50.0330200098739,5.39213388603695,1.15579851318191,1.36612767753502,26.0653464523472,169.382442626051,2.8890712184794,17.5527725529424,1.54630267390159,6.23300556932529,0.73937708712036,3.63327102759713,0.715046520539935,9.60327600756588,421.885,129.605,20.492,8.5649,1.7583
"27","4","anc3","S",3.73897477734175,30.2236202855402,24.5673752584393,3.23007651055599,4.59230890852634,27.1425052206073,34.7361221963007,22.5943909321635,27.1641929469837,1.54919611669026,0.777627207948453,0.0947847920498071,1.35552849451052,1.73651028561293,0.602868218659497,1.25147152450047,0.0728023911326229,0.146811829845881,1.52336607440535,1.70227511218568,0.205738922317518,1.39607400211626,1.64239094070154,1.41513896459532,2.50752285773655,0.168112260088701,0.297540583662155,1.26984482202999,20.395061308014,2.20989759738208,1.14475266784205,1.40298764800532,12.2394943009241,41.5079081056269,1.35774784860104,4.32050765523612,1.83529517153662,4.11107705617963,1.19182473629254,2.91768771196447,0.335766066493579,6.75267692123079,255.62,58.485,13.2136,5.6604,1.2522
"28","5","anc5","C",3.54375876744369,34.1547034651098,27.1652670722995,3.11658369627653,4.11632228724352,30.0428137069409,41.2435748990468,24.6601014630391,30.9136207814966,1.3201230709582,0.708551465288926,0.0788249399570208,1.08478363150073,1.54701637933284,0.504805790414545,1.44241555159642,0.0544204479852319,0.15079640462066,1.15848055291138,1.37689905343589,0.139021264379009,1.01527649062756,1.29417077177798,1.04726305904475,2.63140640090918,0.100094531371939,0.255914602597823,1.2757983193609,10.0261471901966,1.08994325542712,1.17037700075317,1.38858688198483,7.11285103827087,15.2133899736316,0.791711880565749,1.60839507621517,2.53116048044675,2.65904145197931,1.2747709453693,4.27050718943747,0.156094811185819,5.3503738759953,197.225,38.695,5.6209,3.1514,0.7712
"29","6","cc1690","P",3.87298471931978,31.81013388268,25.5786950223822,3.49708465487711,4.61502471035351,29.1823422555253,35.5329391990597,23.9916167904699,27.6765224848845,1.29957431281922,0.859803914721592,0.0946599024149779,1.09104560607897,1.51436970992902,0.550815949204551,1.93855504774719,0.0619449266748689,0.200243155501063,1.2420965555598,3.87808320133489,0.413592000250974,1.12869715442271,1.36686294893956,1.90960445249896,16.1108427369622,0.209977662484516,1.63989866392488,1.43927791151127,14.7420230086553,1.7283214296579,1.36164041291139,1.52004833035268,11.4526771156128,19.5358565725696,1.35896581985376,2.24969929021743,1.43131796150926,6.13173792373333,0.319135976178786,5.01444142906654,0.385497147451511,9.47512543063501,289.25,62.5,1.3731,0.672,0.4053
"30","7","anc3","B",3.86843883546639,32.4315525032665,26.0430463583469,3.57246761851774,4.37916273479218,30.1084464197387,35.6108616560508,24.6544119112743,27.8418520372653,1.24282187804597,0.605952774009077,0.0646516529304223,1.04752907691032,1.43249873903727,0.456029515274713,1.02864353047892,0.046295112130295,0.103683363397763,1.19812628242513,3.08404071299962,0.320026853684938,1.06934657327029,1.33605328391389,1.49339517703565,12.8119656872305,0.161318670866001,1.27977017283785,1.34398020124334,10.3160129912456,1.16095525085272,1.21939445313738,1.47544675953123,7.01039808544302,16.4482426752072,0.809439740926129,1.78931478066436,0.931140049809857,5.21649008034808,0.640832902578534,1.54612849423551,2.78159031364594,6.70438496823413,490.68,90.07,10.1738,4.6335,0.9803
"31","8","anc4","P",3.55309005703297,31.4708817841283,25.374130707499,3.36729806614487,3.75124520605546,29.748845969337,33.622002014287,24.362110229196,26.5612061574011,1.26179415834528,73.5285014713242,7.93137069717871,1.14987130857861,1.38781418590312,20.1030998614929,1204.32027273422,2.20580501129228,125.245394907877,1.32279322705121,2.83148930396135,0.315413808283457,1.24874346945984,1.39919680251221,1.97155061127914,4.43682665425053,0.223984913440392,0.484665747475131,1.43020520692355,9.66311594706181,1.12883950005715,1.21355296841257,1.69743915547335,4.92432597456942,26.3684331190535,0.609479293099596,2.86529623078399,1.74533787035465,3.76666361975673,1.02725731223236,3.63342144916113,0.654184479191095,5.62748923144531,277.795,57.37,5.5987,2.3308,0.4556
