"","Pop.fac","anc","evol","T.min","T.max","T.br","Topt","r.max_T","K.s_I","r.max_I","I.jag","I.mth","I.comp","K.s_N","r.max_N","N.jag","N.mth","N.comp","K.s_P","r.max_P","P.jag","P.mth","P.comp","r.max_S","S.c.mod","S.c.pred"
"39","29","anc3","P",6.88056811905087,39.8057611741988,17.5039445631636,32.5892083508339,3.52179607870003,7.49857547990769,1.46710535019171,4.55,4.62923327247584,0.216018494022699,2.39659616206295,1.35758141475923,2,1.68270451883635,0.594281401639983,0.575530136863271,1.26617675006041,0.45,0.456396895842099,2.19107537564404,1.52525108148773,3.9948733123614,3.8
"40","29","anc3","P",10.6309710939567,39.8269171985373,16.7181976763828,31.8991365050361,3.62612856472814,7.49857547990769,1.46710535019171,4.55,4.62923327247584,0.216018494022699,2.39659616206295,1.35758141475923,2,1.68270451883635,0.594281401639983,0.575530136863271,1.26617675006041,0.45,0.456396895842099,2.19107537564404,1.52525108148773,3.9948733123614,3.8
"41","3","cc1690","N",7.09171297982259,39.86774628496,17.6914548372621,32.3767925022104,3.75101462291143,4.16986495158959,1.32802973351436,2.75,3.04040881621222,0.328903137850328,2.99199915562786,1.35490088200696,2,2.10783453016338,0.47442054188309,0.734792325977019,1.37107117114257,0.525,0.507333656018703,1.97108941647493,1.25635441789533,3.96122105809353,3.93
"42","3","cc1690","N",10.6147033925781,39.9095534491612,17.2010165876592,31.6274311418969,3.84703201342049,4.16986495158959,1.32802973351436,2.75,3.04040881621222,0.328903137850328,2.99199915562786,1.35490088200696,2,2.10783453016338,0.47442054188309,0.734792325977019,1.37107117114257,0.525,0.507333656018703,1.97108941647493,1.25635441789533,3.96122105809353,3.93
"43","30","anc5","N",5.34047123390772,39.9728521403359,18.6044120646405,32.0782031584682,3.54580550844003,7.65005217896147,1.57462562700104,4.15,4.22227578942677,0.236839100492714,2.6925896247569,1.27943422088139,2,2.09588332900899,0.477125795200077,1.04225629684777,1.37096978236029,0.7,0.719710572366863,1.38944742288746,1.40294743619051,4.14902595188238,3.86
"44","30","anc5","N",10.2035915833876,40.0964897175031,18.2778270281747,31.0282357365912,3.59052817418581,7.65005217896147,1.57462562700104,4.15,4.22227578942677,0.236839100492714,2.6925896247569,1.27943422088139,2,2.09588332900899,0.477125795200077,1.04225629684777,1.37096978236029,0.7,0.719710572366863,1.38944742288746,1.40294743619051,4.14902595188238,3.86
"45","31","cc1690","B",6.58242265601052,39.9477463184148,17.5441384795329,32.7334923198564,3.81003833024573,7.63908052720598,1.34103772755635,5.4,5.47718111981566,0.182575667688283,7.29291949927924,1.40880388287262,5,4.81151771569978,0.207834629131062,1.47614582056903,1.28546118186528,1.1,1.13947056049673,0.877600558248797,1.39504629253364,3.98224080293353,3.86
"46","31","cc1690","B",10.5894912844379,40.0152881934577,17.1381313188772,31.8060481418424,3.90525842871307,7.63908052720598,1.34103772755635,5.4,5.47718111981566,0.182575667688283,7.29291949927924,1.40880388287262,5,4.81151771569978,0.207834629131062,1.47614582056903,1.28546118186528,1.1,1.13947056049673,0.877600558248797,1.39504629253364,3.98224080293353,3.86
"47","32","cc1690","S",7.25956325135027,39.9176857859028,16.9288116265342,33.222563320562,3.486890546303,7.59046144777177,1.18436325631995,6.7,6.80798936792974,0.146886245843843,7.17139602886646,1.46440500499566,4.5,4.44046832335309,0.225201471372028,1.52285280375547,1.5155811933584,0.9,0.892438629004295,1.12052522997095,1.26972697415156,6.82926418451829,3.92
"48","32","cc1690","S",10.4812549940979,39.9397594459365,16.3486787378268,32.3129880537871,3.5491326644471,7.59046144777177,1.18436325631995,6.7,6.80798936792974,0.146886245843843,7.17139602886646,1.46440500499566,4.5,4.44046832335309,0.225201471372028,1.52285280375547,1.5155811933584,0.9,0.892438629004295,1.12052522997095,1.26972697415156,6.82926418451829,3.92
"49","33","cc1690","L",5.20790271700271,39.9700937115813,17.1034133455788,33.5692266745096,3.57250837161983,6.73087777486382,1.34445209717451,4.65,4.80499901459913,0.208116587945529,2.57053704086545,1.27579065747116,2,2.01106388838645,0.497249244926941,2.13881350649012,1.5702880156927,1.175,1.18553872265152,0.843498386761629,1.34251025542549,3.90513493837106,3.885
"50","33","cc1690","L",10.3967672830113,40.0402299455961,16.7514060585663,32.1539669499115,3.61538270741129,6.73087777486382,1.34445209717451,4.65,4.80499901459913,0.208116587945529,2.57053704086545,1.27579065747116,2,2.01106388838645,0.497249244926941,2.13881350649012,1.5702880156927,1.175,1.18553872265152,0.843498386761629,1.34251025542549,3.90513493837106,3.885
"51","35","anc4","BS",10.8858151507858,39.8852675469057,15.4581491769156,32.799958279137,4.41615932073824,7.50089753773012,1.46120092453551,4.6,4.66100567228542,0.214545973618108,4.34541949464871,1.36525157487776,3,3.02195611026612,0.33091149027705,0.231889081526453,1.26021110560843,0.175,0.185455335704761,5.39213388603695,1.54630267390159,6.23300556932529,3.79
"52","35","anc4","BS",4.55809070034334,39.9039922936396,15.5320203711846,34.8785089829694,4.40574928792827,7.50089753773012,1.46120092453551,4.6,4.66100567228542,0.214545973618108,4.34541949464871,1.36525157487776,3,3.02195611026612,0.33091149027705,0.231889081526453,1.26021110560843,0.175,0.185455335704761,5.39213388603695,1.54630267390159,6.23300556932529,3.79
"53","4","anc3","S",9.81154667906224,40.0351669646024,15.0077025187639,34.601687176194,3.73897477734175,7.45445170579126,1.54919611669026,4.15,4.22008627491433,0.236961980124518,8.36155133924143,1.52336607440535,5,4.86052900800508,0.205738922317518,0.573592206643827,1.26984482202999,0.45,0.452509655282053,2.20989759738208,1.83529517153662,4.11107705617963,3.64
"54","4","anc3","S",11.2023913777941,40.0525745077627,14.378386866592,33.612599814856,3.87403851805387,7.45445170579126,1.54919611669026,4.15,4.22008627491433,0.236961980124518,8.36155133924143,1.52336607440535,5,4.86052900800508,0.205738922317518,0.573592206643827,1.26984482202999,0.45,0.452509655282053,2.20989759738208,1.83529517153662,4.11107705617963,3.64
"55","5","anc5","C",5.79162763441549,39.9463310995253,16.6683756474707,33.8468444986216,3.54375876744369,6.88798559162203,1.3201230709582,4.95,5.07453605696496,0.197062349892552,7.68742305596092,1.15848055291138,7.5,7.19314418888994,0.139021264379009,1.17273195481369,1.2757983193609,0.9,0.917478955918791,1.08994325542712,2.53116048044675,2.65904145197931,3.11
"56","5","anc5","C",10.767295637243,39.969170226966,15.6835229815435,32.7587053207624,3.71107959249471,6.88798559162203,1.3201230709582,4.95,5.07453605696496,0.197062349892552,7.68742305596092,1.15848055291138,7.5,7.19314418888994,0.139021264379009,1.17273195481369,1.2757983193609,0.9,0.917478955918791,1.08994325542712,2.53116048044675,2.65904145197931,3.11
"57","6","cc1690","P",8.06633355032826,39.8764674330083,15.0300375329279,34.76391779971,3.87298471931978,5.5806878395414,1.29957431281922,4.05,4.22565404986841,0.236649756037445,2.94500271465727,1.2420965555598,2.5,2.41784173628403,0.413592000250974,0.908476340543601,1.43927791151127,0.575,0.578596077581434,1.7283214296579,1.43131796150926,6.13173792373333,3.845
"58","6","cc1690","P",10.8495963027145,39.8206057578569,14.6166083458308,33.2495131365847,3.86431637980792,5.5806878395414,1.29957431281922,4.05,4.22565404986841,0.236649756037445,2.94500271465727,1.2420965555598,2.5,2.41784173628403,0.413592000250974,0.908476340543601,1.43927791151127,0.575,0.578596077581434,1.7283214296579,1.43131796150926,6.13173792373333,3.845
"59","7","anc3","B",7.49957192275485,39.9311244260214,15.3182468606191,34.6770417884183,3.86843883546639,7.5439666394124,1.24282187804597,6.1,6.18700345419594,0.161629132326056,3.56067375439108,1.19812628242513,3,3.12473777898803,0.320026853684938,1.20587304639788,1.34398020124334,0.85,0.861359642643849,1.16095525085272,0.931140049809857,5.21649008034808,4.105
"60","7","anc3","B",10.596391530222,39.9167751622293,14.8900722814216,33.2089182662392,3.85713513551197,7.5439666394124,1.24282187804597,6.1,6.18700345419594,0.161629132326056,3.56067375439108,1.19812628242513,3,3.12473777898803,0.320026853684938,1.20587304639788,1.34398020124334,0.85,0.861359642643849,1.16095525085272,0.931140049809857,5.21649008034808,4.105
"61","8","anc4","P",8.39100389707871,39.861885681207,15.7925285619092,33.9892574494956,3.55309005703297,0.0632023846588727,1.26179415834528,0.05,0.0504326446552656,19.8284267429468,4.31855146102964,1.32279322705121,3.5,3.17043824251764,0.315413808283457,1.37657999159993,1.43020520692355,0.8,0.88586552822556,1.12883950005715,1.74533787035465,3.76666361975673,3.685
"62","8","anc4","P",10.5454202012348,39.8363215646161,15.167578249029,32.9588517426399,3.59071670374171,0.0632023846588727,1.26179415834528,0.05,0.0504326446552656,19.8284267429468,4.31855146102964,1.32279322705121,3.5,3.17043824251764,0.315413808283457,1.37657999159993,1.43020520692355,0.8,0.88586552822556,1.12883950005715,1.74533787035465,3.76666361975673,3.685
"63","9","cc1690","BS",4.17682070866609,39.7943132396183,18.9093518703682,31.8460690465283,3.45147758039209,5.70878856251111,1.35921712541736,3.75,4.00006643168059,0.249995848088918,6.20276662973375,1.43202788138855,4,3.98330074850345,0.251048078751198,1.38850981258573,1.38756998793894,0.925,0.939576720253639,1.06430904304446,2.31037417720711,3.85274789213667,3.315
"64","9","cc1690","BS",10.4029392256838,39.8976759328375,18.1384468107576,30.8541590103711,3.54598242977355,5.70878856251111,1.35921712541736,3.75,4.00006643168059,0.249995848088918,6.20276662973375,1.43202788138855,4,3.98330074850345,0.251048078751198,1.38850981258573,1.38756998793894,0.925,0.939576720253639,1.06430904304446,2.31037417720711,3.85274789213667,3.315
"65","anc2","anc2","none",6.98309588883566,39.9283583801403,17.8755058053582,32.3311095858106,3.60430440256762,7.35956515618162,1.53930675802331,4.15,4.20844281293484,0.237617580765611,5.0304401065834,1.42578634832246,3.5,3.25374321868783,0.307338327823939,1.01353352788002,1.32478779899778,0.725,0.742138899648498,1.34745665598938,1.37403781467259,4.18795011917861,3.87
"66","anc2","anc2","none",10.4780173386266,40.0062136688934,17.8007408237642,31.2743668118641,3.64219894224939,7.35956515618162,1.53930675802331,4.15,4.20844281293484,0.237617580765611,5.0304401065834,1.42578634832246,3.5,3.25374321868783,0.307338327823939,1.01353352788002,1.32478779899778,0.725,0.742138899648498,1.34745665598938,1.37403781467259,4.18795011917861,3.87
"67","anc3","anc3","none",7.64830418678546,40.1161630580375,16.8402364392818,33.4657822172368,3.51394985615688,7.15750742086932,1.25453710064789,5.65,5.77104398303245,0.173278873448221,6.23467009114948,1.36196942202999,4.5,4.35355158829627,0.22969751930546,1.85237843533045,1.23915319490604,1.475,1.52739018466748,0.654711553104359,1.59062149692048,3.88023096576919,3.765
"68","anc3","anc3","none",10.3058143089732,40.1686804720252,16.1601885549968,32.7155424139161,3.5844265004746,7.15750742086932,1.25453710064789,5.65,5.77104398303245,0.173278873448221,6.23467009114948,1.36196942202999,4.5,4.35355158829627,0.22969751930546,1.85237843533045,1.23915319490604,1.475,1.52739018466748,0.654711553104359,1.59062149692048,3.88023096576919,3.765
"69","anc4","anc4","none",5.7185549588587,39.8011617368327,17.5011298177044,32.8601654273715,3.52951591359869,3.68967026813554,0.964065598017144,4.8,5.11356413487158,0.19555831776521,5.34212360489511,1.3009207408543,4,4.0376642922587,0.247667940575761,1.24814953609366,1.34024732914886,0.9,0.895823303842539,1.11629156744484,1.66860792597869,3.68961747002363,3.725
"70","anc4","anc4","none",10.5358517960117,39.8205896080248,16.7737894975635,31.8651714573689,3.61270650481168,3.68967026813554,0.964065598017144,4.8,5.11356413487158,0.19555831776521,5.34212360489511,1.3009207408543,4,4.0376642922587,0.247667940575761,1.24814953609366,1.34024732914886,0.9,0.895823303842539,1.11629156744484,1.66860792597869,3.68961747002363,3.725
"71","anc5","anc5","none",2.70409138800916,39.8804019650967,16.0032393548283,34.8844899079816,4.07518930802565,4.64510638872687,1.20613316620018,3.75,4.0258877175191,0.248392421787719,7.82598844175235,1.43640053520184,5,5.00062853837943,0.19997486162491,0.909222721695311,1.36577314803602,0.575,0.631895869687894,1.58253922516366,1.57447189232823,3.99536264804558,3.775
"72","anc5","anc5","none",10.6324863023934,39.8471002839948,15.7042284208928,32.6244795871909,4.04907199692144,4.64510638872687,1.20613316620018,3.75,4.0258877175191,0.248392421787719,7.82598844175235,1.43640053520184,5,5.00062853837943,0.19997486162491,0.909222721695311,1.36577314803602,0.575,0.631895869687894,1.58253922516366,1.57447189232823,3.99536264804558,3.775
"73","cc1629","cc1629","none",9.28836815295848,39.8320281997736,16.5849231010061,33.2168078740408,2.47630719836346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","cc1629","cc1629","none",10.9313102588056,39.8137325274762,15.7131291313814,32.5500731029268,2.56802826957113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","cc1690","cc1690","none",6.03838766624802,39.8903960469453,17.2054598117248,33.2143675614707,3.45645768054004,7.74405965022451,1.47262760591491,4.7,4.75185428976609,0.210444163271939,5.79379094329433,1.4268095518615,4,3.74306319222846,0.267160864950464,1.92684749664828,1.49521324558073,1.15,1.15378455472259,0.86671293692299,1.60963366971105,3.70657847170345,3.755
"76","cc1690","cc1690","none",10.848344196146,39.9362351990042,16.5250393415658,32.1343741107691,3.62243617973139,7.74405965022451,1.47262760591491,4.7,4.75185428976609,0.210444163271939,5.79379094329433,1.4268095518615,4,3.74306319222846,0.267160864950464,1.92684749664828,1.49521324558073,1.15,1.15378455472259,0.86671293692299,1.60963366971105,3.70657847170345,3.755
