"","Pop.fac","Pop.num","unique.id","K.s","r.max","R.jag","R.mth"
"85","6",29,"29.C02",4.17124217763539,1.20986423214809,3.15,3.59443635135087
"86","6",29,"29.C09",5.16239338031088,1.25970134077363,3.65,4.13167750940379
"87","6",29,"29.E09",6.79958210162558,1.39925533676511,4.3,4.53707687053531
"88","6",29,"29.F04",5.81388124502819,1.30787429726583,4.05,4.3533699568479
"89","11",3,"3.B07",4.5328064483301,1.20475520066355,3.4,3.93695406947083
"90","11",3,"3.C07",3.93069964239005,0.865104832247555,6.45,7.21454256729843
"91","11",3,"3.D11",4.76861224525447,1.58706925237604,2.4,2.60004167310501
"92","11",3,"3.G02",4.05872409367237,0.925859411481421,5.45,6.21245599027579
"93","7",30,"30.B08",6.8935418786088,1.34798646964799,4.7,4.89904789068958
"94","7",30,"30.C07",6.29365527110018,1.32790077548823,4.35,4.58971662006106
"95","7",30,"30.D10",7.06404606836221,1.28807722364516,5.25,5.4333052453936
"96","7",30,"30.F03",5.82318780523348,0.861997807003182,10.45,10.7980425529924
"97","8",31,"31.B05",1.35284575559377,1.53170427301762,0.45,0.779654514412918
"98","8",31,"31.D03",2.23975513720822,1.5700009840495,0.5,1.24184322257564
"99","8",31,"31.E10",2.41468519517578,1.25361498407533,0.85,1.94953070557018
"100","8",31,"31.F06",2.58969915018114,1.55265834177204,0.85,1.46095737382569
"101","9",32,"32.C03",4.17688381212712,1.07923662328944,3.8,4.50479575183458
"102","9",32,"32.D05",7.02283519954762,1.5232735448871,3.9,4.08273198472154
"103","9",32,"32.E08",4.62971092287127,1.4067888751729,2.35,3.0617290718168
"104","9",32,"32.G03",7.70146578926279,1.4533220729294,4.7,4.82784537926447
"105","anc2",33,"33.B06",7.69867621861832,1.70128677772033,3.7,3.77754195228462
"106","anc2",33,"33.C10",5.72411720261385,1.44035217647588,3.3,3.64116284268829
"107","anc2",33,"33.E05",6.50670300111499,1.37055410604454,4.3,4.49538612345785
"108","anc2",33,"33.F10",6.5925186777138,1.5110212312566,3.75,3.88194326076369
"109","anc3",34,"34.B07",6.28124396537835,1.01529894941029,7.45,7.72568578330301
"110","anc3",34,"34.C06",5.76179509223207,1.15779731477419,5.05,5.39749037325262
