"","population","population.number","nitrate.lvl","well.ID","r.exp"
"100","11",3,60,"G02_13",1.46671656303313
"101","11",3,80,"B07_16",1.83474899160171
"102","11",3,80,"C07_16",1.59898220928735
"103","11",3,80,"D11_16",1.82896479068504
"104","11",3,80,"G02_16",1.62763708470324
"105","11",3,100,"B08_19",1.68343671827404
"106","11",3,100,"C11_19",1.60605731074978
"107","11",3,100,"E07_19",1.46373273934893
"108","11",3,100,"F05_19",1.28742995626154
"109","11",3,400,"B07_22",1.90922447648124
"110","11",3,400,"C07_22",1.52862411256729
"111","11",3,400,"D11_22",1.62926364337207
"112","11",3,400,"G02_22",1.48292195503332
"113","11",3,600,"B07_25",1.29010798247079
"114","11",3,600,"C07_25",1.34727902227725
"115","11",3,600,"D11_25",1.27089495311494
"116","11",3,600,"G02_25",1.54315200465168
"117","11",3,1000,"B07_28",1.51066007081565
"118","11",3,1000,"C07_28",1.56031977528144
"119","11",3,1000,"D11_28",1.3254831320399
"120","11",3,1000,"G02_28",1.62689033414674
"121","14",4,5,"B04_1",0.622236097865497
"122","14",4,5,"D06_1",0.784426289131471
"123","14",4,5,"D09_1",0.713105267394048
"124","14",4,5,"F08_1",0.986381728729817
"125","14",4,10,"B04_4",0.717032697930609
"126","14",4,10,"D06_4",0.813356065441591
"127","14",4,10,"D09_4",0.917361293970798
"128","14",4,10,"F08_4",0.737069531146678
"129","14",4,20,"B04_7",1.04394192237596
"130","14",4,20,"D06_7",1.06357830638715
"131","14",4,20,"D09_7",0.943195831290523
"132","14",4,20,"F08_7",0.824037643340732
"133","14",4,40,"B04_10",1.09573111395076
"134","14",4,40,"D06_10",0.998309464914006
"135","14",4,40,"D09_10",1.22007474983382
"136","14",4,40,"F08_10",1.08335751558465
"137","14",4,60,"B04_13",1.18179709105807
"138","14",4,60,"D06_13",1.16822844267678
"139","14",4,60,"D09_13",1.34992546923787
"140","14",4,60,"F08_13",1.17239604230097
"141","14",4,80,"B04_16",1.50131562043166
"142","14",4,80,"D06_16",1.38620139810916
"143","14",4,80,"D09_16",1.42982392797904
"144","14",4,80,"F08_16",1.53495304641742
"145","14",4,100,"B04_19",1.80153437407021
"146","14",4,100,"D06_19",1.4580953905097
"147","14",4,100,"D09_19",1.69178846221927
"148","14",4,100,"F08_19",1.5434238122423
"149","14",4,400,"B04_22",1.66342649761919
"150","14",4,400,"D06_22",1.55997481447884
"151","14",4,400,"D09_22",1.43715257901929
"152","14",4,400,"F08_22",1.48820787784238
"153","14",4,600,"B04_25",1.43411714701808
"154","14",4,600,"D06_25",1.22657012730107
"155","14",4,600,"D09_25",1.21324081560904
"156","14",4,600,"F08_25",1.27495778517603
"157","14",4,1000,"B04_28",1.37708934480423
"158","14",4,1000,"D06_28",1.5304112544612
"159","14",4,1000,"D09_28",1.47854286971895
"160","14",4,1000,"F08_28",1.4056073845604
"161","15",5,5,"B02_3",0.270055056822743
"162","15",5,5,"C11_3",0.364896704415942
"163","15",5,5,"E07_3",0.310915962419879
"164","15",5,5,"F02_3",0.434169724542796
"165","15",5,10,"B02_6",0.411800243833804
"166","15",5,10,"C11_6",0.603744241846543
"167","15",5,10,"E07_6",0.980857497503934
"168","15",5,10,"F02_6",0.89028099623223
"169","15",5,20,"B02_9",0.984835942414846
"170","15",5,20,"C11_9",1.32250886575851
"171","15",5,20,"E07_9",0.840460057584834
"172","15",5,20,"F02_9",0.867367111847792
"173","15",5,40,"B02_12",1.12333326207591
"174","15",5,40,"C11_12",1.18943655991659
"175","15",5,40,"E07_12",1.11517381737673
"176","15",5,40,"F02_12",0.98247140463325
"177","15",5,60,"B02_15",1.3969268327762
"178","15",5,60,"C11_15",1.17709780945593
"179","15",5,60,"E07_15",1.35744707545294
"180","15",5,60,"F02_15",1.13042854396283
"181","15",5,80,"B02_18",1.43648170419046
"182","15",5,80,"C11_18",1.40508012309973
"183","15",5,80,"E07_18",1.2594411762914
"184","15",5,80,"F02_18",1.20228277133491
"185","15",5,100,"B02_21",1.88027834264162
"186","15",5,100,"C11_21",1.50103578007262
"187","15",5,100,"E07_21",1.45938567141225
"188","15",5,100,"F02_21",1.42680223523418
"189","15",5,400,"B02_24",1.62695026251338
"190","15",5,400,"C11_24",1.44944962976293
"191","15",5,400,"E07_24",1.55960570128915
"192","15",5,400,"F02_24",1.42579387891277
"193","15",5,600,"B02_27",2.07509095155913
"194","15",5,600,"C11_27",1.35573885054385
"195","15",5,600,"E07_27",1.32052016287438
"196","15",5,600,"F02_27",1.18262408654521
