"","Sp.id","Sp.name","Study","Parameter","est","se","p"
"138",35,"Cochlodinium polykrikoides strain 02B2","Yamatogi (2005)","b",-0.175297099078826,0.124534897364529,0.181060005052975
"139",35,"Cochlodinium polykrikoides strain 02B2","Yamatogi (2005)","tmax",35.2034515642122,2.11360595047284,1.26421451869494e-10
"140",35,"Cochlodinium polykrikoides strain 02B2","Yamatogi (2005)","delta_t",6.87791977468723,1.60351757584791,0.000748934647398917
"141",36,"Cochlodinium polykrikoides strain 03H1","Yamatogi (2005)","a",0.0295330763362653,0.00629324595832909,0.000420636399279623
"142",36,"Cochlodinium polykrikoides strain 03H1","Yamatogi (2005)","b",-1.35385971491276,0.0727982110528887,9.48721056806742e-11
"143",36,"Cochlodinium polykrikoides strain 03H1","Yamatogi (2005)","tmax",39.171196448082,3.85914846237016,1.51300146354737e-07
"144",36,"Cochlodinium polykrikoides strain 03H1","Yamatogi (2005)","delta_t",5.24036822188352,3.1415893649124,0.119196614748165
"145",37,"Cochlodinium polykrikoides strain KG8-ND14","Yamatogi (2005)","a",0.180354297070855,0.0146577912556148,6.7774261311979e-09
"146",37,"Cochlodinium polykrikoides strain KG8-ND14","Yamatogi (2005)","b",-0.0181767693637593,0.0337951867635745,0.599126574973758
"147",37,"Cochlodinium polykrikoides strain KG8-ND14","Yamatogi (2005)","tmax",33.2444571630826,0.492550761436326,5.31523659524714e-19
"148",37,"Cochlodinium polykrikoides strain KG8-ND14","Yamatogi (2005)","delta_t",5.52155827799657,0.438569702000434,5.03966543142909e-09
"149",38,"Conticribra guillardii clone 7-15","Guillard & Ryther (1962)","a",0.0780824067414106,2.75697088264824,0.981974593993458
"150",38,"Conticribra guillardii clone 7-15","Guillard & Ryther (1962)","b",-0.577334441424857,24.3427692763136,0.98490419776263
"151",38,"Conticribra guillardii clone 7-15","Guillard & Ryther (1962)","tmax",28.2636005527102,27.7659577111758,0.494345824738222
"152",38,"Conticribra guillardii clone 7-15","Guillard & Ryther (1962)","delta_t",6.64073432620765,158.991471193818,0.973425197754457
"153",39,"Corethron pennatum","Fiala & Oriol (1990)","a",0.0246910327447592,0.0349318883719613,0.506179452734867
"154",39,"Corethron pennatum","Fiala & Oriol (1990)","b",-0.808451294549597,0.0397572844863111,9.19294575100027e-07
"155",39,"Corethron pennatum","Fiala & Oriol (1990)","tmax",9.32924886453027,1.14284722520738,0.000181869543233164
"156",39,"Corethron pennatum","Fiala & Oriol (1990)","delta_t",1.9751791619971,1.67736343483707,0.283564299000356
"157",40,"Cryptomonas sp. strain CRFI01","Renaud et al. (2002)","a",0.00878432626872901,NA,NA
"158",40,"Cryptomonas sp. strain CRFI01","Renaud et al. (2002)","b",-0.897792793534328,NA,NA
"159",40,"Cryptomonas sp. strain CRFI01","Renaud et al. (2002)","tmax",35.7669514489893,NA,NA
"160",40,"Cryptomonas sp. strain CRFI01","Renaud et al. (2002)","delta_t",2.4791602284045,NA,NA
"161",41,"Cryptomonas sp. strain F","Throndsen (1976)","a",0.0253834068857335,NA,NA
"162",41,"Cryptomonas sp. strain F","Throndsen (1976)","b",-0.666306889482804,NA,NA
"163",41,"Cryptomonas sp. strain F","Throndsen (1976)","tmax",28.1802359510364,NA,NA
"164",41,"Cryptomonas sp. strain F","Throndsen (1976)","delta_t",2.14977544357243,NA,NA
"165",42,"Cylindrotheca closterium","Maddux & Jones (1964)","a",0.143996591822509,NA,NA
"166",42,"Cylindrotheca closterium","Maddux & Jones (1964)","b",0,NA,NA
"167",42,"Cylindrotheca closterium","Maddux & Jones (1964)","tmax",32.4760344880288,NA,NA
"168",42,"Cylindrotheca closterium","Maddux & Jones (1964)","delta_t",6.83267519989261,NA,NA
"169",43,"Cylindrotheca closterium strain NT-6","Renaud et al. (1995)","a",0.0513394559504505,1.00025556670928,0.963730676941525
"170",43,"Cylindrotheca closterium strain NT-6","Renaud et al. (1995)","b",-1.49633700045026,15.2374270407593,0.930727914540848
"171",43,"Cylindrotheca closterium strain NT-6","Renaud et al. (1995)","tmax",41.8406438937564,38.9909832563853,0.395530054766295
"172",43,"Cylindrotheca closterium strain NT-6","Renaud et al. (1995)","delta_t",10.543802405202,113.863464816684,0.934661545900134
"173",44,"Dactyliosolen fragilissimus","Ignatiades & Smayda (1970)","a",0.0489137419772446,0.99163104808833,0.960810317603752
"174",44,"Dactyliosolen fragilissimus","Ignatiades & Smayda (1970)","b",-0.666824275881635,13.0467979226435,0.959394461302983
"175",44,"Dactyliosolen fragilissimus","Ignatiades & Smayda (1970)","tmax",35.4764015622749,40.5873412419228,0.385295189581549
"176",44,"Dactyliosolen fragilissimus","Ignatiades & Smayda (1970)","delta_t",10.0563138764696,109.920067088252,0.92738659328665
"177",45,"Detonula confervacea","Guillard & Ryther (1962)","a",0.0575050998729195,6.08411530759554,0.992614080549542
"178",45,"Detonula confervacea","Guillard & Ryther (1962)","b",-0.242846571362408,59.8104650414055,0.996827101710029
"179",45,"Detonula confervacea","Guillard & Ryther (1962)","tmax",19.784282192319,277.7472199791,0.944387098503324
"180",45,"Detonula confervacea","Guillard & Ryther (1962)","delta_t",7.90091081573079,294.375938639248,0.979028909519725
"181",46,"Detonula confervacea","Suzuki & Takahashi (1995)","a",0.0865749262054083,0.367183808748625,0.835547650804859
"182",46,"Detonula confervacea","Suzuki & Takahashi (1995)","b",-0.362164008987973,1.9709239591777,0.871149828321429
"183",46,"Detonula confervacea","Suzuki & Takahashi (1995)","tmax",15.8064640502532,3.45465219212663,0.0445970459271492
"184",46,"Detonula confervacea","Suzuki & Takahashi (1995)","delta_t",4.64123528567396,12.2302042499334,0.740829101960293
"185",47,"Dunaliella tertiolecta strain CCAP 19/6B","Reay et al. (1999)","a",0.056420625003852,0.150407981089262,0.726615982130951
"186",47,"Dunaliella tertiolecta strain CCAP 19/6B","Reay et al. (1999)","b",-0.887900839979934,0.317562334030789,0.0490115823057782
"187",47,"Dunaliella tertiolecta strain CCAP 19/6B","Reay et al. (1999)","tmax",30.1163402336792,8.08927488573176,0.0204211025208174
"188",47,"Dunaliella tertiolecta strain CCAP 19/6B","Reay et al. (1999)","delta_t",5.58480183080443,20.7135178844707,0.800789377061567
"189",48,"Emiliania huxleyi","Rhodes et al. (1995)","a",0.0776535747012878,0.803356747302399,0.938654038686671
"190",48,"Emiliania huxleyi","Rhodes et al. (1995)","b",-1.58444981634931,9.14052724877293,0.890731973699789
"191",48,"Emiliania huxleyi","Rhodes et al. (1995)","tmax",32.7802439430569,10.6472738162787,0.199935475262956
"192",48,"Emiliania huxleyi","Rhodes et al. (1995)","delta_t",7.27254936764691,48.3776147448059,0.905009003148933
"193",49,"Emiliania huxleyi clone M","Mjaaland (1956)","a",0.188524829273721,0.0460653434435279,0.0548399304815332
"194",49,"Emiliania huxleyi clone M","Mjaaland (1956)","b",-0.11450610569743,0.100131334081542,0.371227158825638
"195",49,"Emiliania huxleyi clone M","Mjaaland (1956)","tmax",27.1719593750362,0.998619948264947,0.00134796851120386
"196",49,"Emiliania huxleyi clone M","Mjaaland (1956)","delta_t",5.2500527852543,1.22022129880951,0.0500023944328801
"197",50,"Emiliania huxleyi R strain TQ26","Buitenhuis et al. (2008)","a",0.184106486620149,0.0697663693599842,0.118591922405127
"198",50,"Emiliania huxleyi R strain TQ26","Buitenhuis et al. (2008)","b",-0.120731309758647,0.460357441810446,0.817665940848259
"199",50,"Emiliania huxleyi R strain TQ26","Buitenhuis et al. (2008)","tmax",26.5873805968754,1.24035393254092,0.00216932773677564
