"","Sp.id","Sp.name","Study","Parameter","est","se","p"
"93",24,"Chaetoceros sp.","Thomas (1966)","a",0.0462533348789788,0.00898474525454744,4.89574308099412e-05
"94",24,"Chaetoceros sp.","Thomas (1966)","b",-0.124706943453567,0.632451885759302,0.845676672492277
"95",24,"Chaetoceros sp.","Thomas (1966)","tmax",40.0755446937125,0.421352366724994,4.81352829079297e-28
"96",24,"Chaetoceros sp.","Thomas (1966)","delta_t",3.15952393890888,1.06091327853246,0.00743285037758199
"97",25,"Chaetoceros sp. strain CS256","Renaud et al. (2002)","a",0.104667726970293,0.550078791608817,0.880296411813992
"98",25,"Chaetoceros sp. strain CS256","Renaud et al. (2002)","b",0,7.87685669902576,1
"99",25,"Chaetoceros sp. strain CS256","Renaud et al. (2002)","tmax",40,41.457872242442,0.511392529583129
"100",25,"Chaetoceros sp. strain CS256","Renaud et al. (2002)","delta_t",9.22032041987131,39.6773495295943,0.854640623280321
"101",26,"Chattonella marina","Kahn (1998)","a",0.0569925819504202,0.0737461643024336,0.520463321850282
"102",26,"Chattonella marina","Kahn (1998)","b",-0.898964474701016,1.43270887649233,0.594445326516737
"103",26,"Chattonella marina","Kahn (1998)","tmax",40,7.09916554214804,0.030084633939535
"104",26,"Chattonella marina","Kahn (1998)","delta_t",12.1472909083895,0.887438280612944,0.00529489609355002
"105",27,"Chattonella marina var. antiqua strain Ho-1","Nakamura (1983)","a",0.187803023920306,0.022241130616473,0.0034860147621937
"106",27,"Chattonella marina var. antiqua strain Ho-1","Nakamura (1983)","b",-0.127329566667519,0.0726092015494113,0.177773634733204
"107",27,"Chattonella marina var. antiqua strain Ho-1","Nakamura (1983)","tmax",31.4255552900176,0.319345038610424,2.31334793509948e-06
"108",27,"Chattonella marina var. antiqua strain Ho-1","Nakamura (1983)","delta_t",5.30088646857494,0.610239830130224,0.0032105946183012
"109",28,"Chlamydomonas strain UMACC 229","Teoh et al. (2004)","a",0.0199369028014165,1.83480544353867,0.992316840395625
"110",28,"Chlamydomonas strain UMACC 229","Teoh et al. (2004)","b",-0.105624764573207,54.6945943511528,0.99863445522284
"111",28,"Chlamydomonas strain UMACC 229","Teoh et al. (2004)","tmax",35,1649.23021116311,0.984995453578141
"112",28,"Chlamydomonas strain UMACC 229","Teoh et al. (2004)","delta_t",27.329400067178,126.796559637316,0.849331875121507
"113",29,"Chlorella sp. strain MFD-1","James et al. (1989)","a",0.0625806580739069,0.0675245961821313,0.367808809107385
"114",29,"Chlorella sp. strain MFD-1","James et al. (1989)","b",-0.0179632350446249,0.313767049522788,0.955054746629621
"115",29,"Chlorella sp. strain MFD-1","James et al. (1989)","tmax",40,14.490367481042,0.01393130603362
"116",29,"Chlorella sp. strain MFD-1","James et al. (1989)","delta_t",15.4766728333906,14.7298341233876,0.309006792531893
"117",30,"Chrysochromulina polylepis strain B3","Edvardsen (1992)","a",0.163611124577217,0.170652760744312,0.391983596485219
"118",30,"Chrysochromulina polylepis strain B3","Edvardsen (1992)","b",0,1.29582099393596,1
"119",30,"Chrysochromulina polylepis strain B3","Edvardsen (1992)","tmax",22.4496334352137,3.8984813608487,0.00451093513881617
"120",30,"Chrysochromulina polylepis strain B3","Edvardsen (1992)","delta_t",5.79346317151182,4.52923891825162,0.270016556711479
"121",31,"Chrysochromulina polylepis strain B4","Edvardsen (1992)","a",0.0427613619291508,0.0417550555009823,0.335754668401112
"122",31,"Chrysochromulina polylepis strain B4","Edvardsen (1992)","b",-1.05019830528624,0.385126898015491,0.0259704615552317
"123",31,"Chrysochromulina polylepis strain B4","Edvardsen (1992)","tmax",24.9306367192713,2.3712064475233,5.83176876671202e-06
"124",31,"Chrysochromulina polylepis strain B4","Edvardsen (1992)","delta_t",3.69868562962481,4.61265801159782,0.445799088450063
"125",32,"Chrysochromulina polylepis strain K","Edvardsen (1992)","a",0.119031631855334,0.0571692224507795,0.053745028470301
"126",32,"Chrysochromulina polylepis strain K","Edvardsen (1992)","b",-0.426195185333312,0.612557311015976,0.496559450620436
"127",32,"Chrysochromulina polylepis strain K","Edvardsen (1992)","tmax",27,2.61417573435428,1.74918159217428e-08
"128",32,"Chrysochromulina polylepis strain K","Edvardsen (1992)","delta_t",7.29478951586158,1.75992516477452,0.000761354577163631
"129",33,"Coccolithus pelagicus ssp. braarudii","Buitenhuis et al. (2008)","a",0.118596564347867,NA,NA
"130",33,"Coccolithus pelagicus ssp. braarudii","Buitenhuis et al. (2008)","b",-0.27048658035462,NA,NA
"131",33,"Coccolithus pelagicus ssp. braarudii","Buitenhuis et al. (2008)","tmax",25,NA,NA
"132",33,"Coccolithus pelagicus ssp. braarudii","Buitenhuis et al. (2008)","delta_t",7.65647312152644,NA,NA
"133",34,"Cochlodinium polykrikoides strain 02B1","Yamatogi (2005)","a",0.143837904037572,0.0208698690729642,7.41672093686634e-06
"134",34,"Cochlodinium polykrikoides strain 02B1","Yamatogi (2005)","b",-0.191333302090006,0.0800411288349957,0.0314392445054765
"135",34,"Cochlodinium polykrikoides strain 02B1","Yamatogi (2005)","tmax",35,1.19440856234796,5.7692067526449e-14
"136",34,"Cochlodinium polykrikoides strain 02B1","Yamatogi (2005)","delta_t",6.86037697262304,0.935587053984361,3.71747301829927e-06
"137",35,"Cochlodinium polykrikoides strain 02B2","Yamatogi (2005)","a",0.0219210895653261,0.00172625629996256,4.50896047284238e-09
"138",35,"Cochlodinium polykrikoides strain 02B2","Yamatogi (2005)","b",-1.25292702401067,0.0405664116446726,2.79170321917217e-14
"139",35,"Cochlodinium polykrikoides strain 02B2","Yamatogi (2005)","tmax",35,3.86377402531504,3.13340828348114e-07
"140",35,"Cochlodinium polykrikoides strain 02B2","Yamatogi (2005)","delta_t",1.98185507354773,1.62758584229687,0.24347709194889
"141",36,"Cochlodinium polykrikoides strain 03H1","Yamatogi (2005)","a",0.0247821413690309,0.00203879650818667,1.79083821103266e-08
"142",36,"Cochlodinium polykrikoides strain 03H1","Yamatogi (2005)","b",-1.28157764893989,0.0475352714355762,8.53241193343822e-13
"143",36,"Cochlodinium polykrikoides strain 03H1","Yamatogi (2005)","tmax",35,2.0901163370986,3.52505932195285e-10
"144",36,"Cochlodinium polykrikoides strain 03H1","Yamatogi (2005)","delta_t",2.47444378276278,1.14891393793572,0.0506108800251818
"145",37,"Cochlodinium polykrikoides strain KG8-ND14","Yamatogi (2005)","a",0.188024436983064,0.0147785891786682,4.39944007760175e-09
"146",37,"Cochlodinium polykrikoides strain KG8-ND14","Yamatogi (2005)","b",0,0.0309989509727495,1
"147",37,"Cochlodinium polykrikoides strain KG8-ND14","Yamatogi (2005)","tmax",33.0262596677279,0.453471481784141,1.83729614471466e-19
"148",37,"Cochlodinium polykrikoides strain KG8-ND14","Yamatogi (2005)","delta_t",5.30100423947434,0.408946942801509,3.45297385713556e-09
"149",38,"Conticribra guillardii clone 7-15","Guillard & Ryther (1962)","a",0.0780824070902462,2.75697886477344,0.981974646073024
"150",38,"Conticribra guillardii clone 7-15","Guillard & Ryther (1962)","b",-0.577334445739543,24.3428396736942,0.984904241289243
"151",38,"Conticribra guillardii clone 7-15","Guillard & Ryther (1962)","tmax",28.2636005430172,27.7660305528219,0.49434665977367
"152",38,"Conticribra guillardii clone 7-15","Guillard & Ryther (1962)","delta_t",6.64073432374502,158.991929999483,0.973425274362595
"153",39,"Corethron pennatum","Fiala & Oriol (1990)","a",0.245727374583322,0.257059334048899,0.376026593891267
"154",39,"Corethron pennatum","Fiala & Oriol (1990)","b",0,0.448938521968606,1
"155",39,"Corethron pennatum","Fiala & Oriol (1990)","tmax",6.95908986382578,2.92833611677147,0.0550328951183301
"156",39,"Corethron pennatum","Fiala & Oriol (1990)","delta_t",3.65221638035995,2.57761761055128,0.206282274520337
"157",40,"Cryptomonas sp. strain CRFI01","Renaud et al. (2002)","a",0.00878432626872913,NA,NA
"158",40,"Cryptomonas sp. strain CRFI01","Renaud et al. (2002)","b",-0.897792793534331,NA,NA
"159",40,"Cryptomonas sp. strain CRFI01","Renaud et al. (2002)","tmax",35.7669514489893,NA,NA
"160",40,"Cryptomonas sp. strain CRFI01","Renaud et al. (2002)","delta_t",2.47916022840451,NA,NA
"161",41,"Cryptomonas sp. strain F","Throndsen (1976)","a",0.0253834068857335,NA,NA
"162",41,"Cryptomonas sp. strain F","Throndsen (1976)","b",-0.666306889482804,NA,NA
"163",41,"Cryptomonas sp. strain F","Throndsen (1976)","tmax",28.1802359510364,NA,NA
"164",41,"Cryptomonas sp. strain F","Throndsen (1976)","delta_t",2.14977544357243,NA,NA
"165",42,"Cylindrotheca closterium","Maddux & Jones (1964)","a",0.0756715282274591,NA,NA
"166",42,"Cylindrotheca closterium","Maddux & Jones (1964)","b",-0.665180755302592,NA,NA
"167",42,"Cylindrotheca closterium","Maddux & Jones (1964)","tmax",36,NA,NA
"168",42,"Cylindrotheca closterium","Maddux & Jones (1964)","delta_t",10.5252546451839,NA,NA
"169",43,"Cylindrotheca closterium strain NT-6","Renaud et al. (1995)","a",0.0748877066938411,0.117075693832629,0.587891622031781
"170",43,"Cylindrotheca closterium strain NT-6","Renaud et al. (1995)","b",-1.07026986711142,2.14191944134394,0.666857544990969
"171",43,"Cylindrotheca closterium strain NT-6","Renaud et al. (1995)","tmax",40,9.85600613229771,0.0556898108147936
"172",43,"Cylindrotheca closterium strain NT-6","Renaud et al. (1995)","delta_t",10.9017464760877,5.26478919941332,0.174214580500178
"173",44,"Dactyliosolen fragilissimus","Ignatiades & Smayda (1970)","a",0.0529136379569882,0.25592770890698,0.836849626382652
"174",44,"Dactyliosolen fragilissimus","Ignatiades & Smayda (1970)","b",-0.633620125945033,3.66754957489507,0.863373859152802
"175",44,"Dactyliosolen fragilissimus","Ignatiades & Smayda (1970)","tmax",35,13.865781745018,0.0140479825145319
"176",44,"Dactyliosolen fragilissimus","Ignatiades & Smayda (1970)","delta_t",10.2114604368166,20.6859446696736,0.623222632567734
"177",45,"Detonula confervacea","Guillard & Ryther (1962)","a",0.0575051015385244,6.08411402875024,0.992614078783192
"178",45,"Detonula confervacea","Guillard & Ryther (1962)","b",-0.242846545026566,59.8104515542316,0.996827101338637
"179",45,"Detonula confervacea","Guillard & Ryther (1962)","tmax",19.7842821262562,277.747141276114,0.944387082958947
"180",45,"Detonula confervacea","Guillard & Ryther (1962)","delta_t",7.90091099021266,294.375853195827,0.97902890297139
"181",46,"Detonula confervacea","Suzuki & Takahashi (1995)","a",0.0865749271308981,0.367183718398546,0.835547609723247
"182",46,"Detonula confervacea","Suzuki & Takahashi (1995)","b",-0.362164002839223,1.97092337424059,0.87114979286701
"183",46,"Detonula confervacea","Suzuki & Takahashi (1995)","tmax",15.8064640429767,3.45465150162497,0.0445970293126252
"184",46,"Detonula confervacea","Suzuki & Takahashi (1995)","delta_t",4.64123532469273,12.2302001683283,0.740829019244
"185",47,"Dunaliella tertiolecta strain CCAP 19/6B","Reay et al. (1999)","a",0.0972816642292754,0.309980395740237,0.769334187277433
"186",47,"Dunaliella tertiolecta strain CCAP 19/6B","Reay et al. (1999)","b",-0.472212110695126,4.62236347655096,0.923547517129572
"187",47,"Dunaliella tertiolecta strain CCAP 19/6B","Reay et al. (1999)","tmax",29.5988242912376,13.0850610374045,0.0864859093623212
"188",47,"Dunaliella tertiolecta strain CCAP 19/6B","Reay et al. (1999)","delta_t",7.81963078083151,2.59262932120291,0.0393136650782926
"189",48,"Emiliania huxleyi","Rhodes et al. (1995)","a",0.0776535737865368,0.803358194356895,0.93865414922192
"190",48,"Emiliania huxleyi","Rhodes et al. (1995)","b",-1.58444982466024,9.14054453157057,0.890732175706345
"191",48,"Emiliania huxleyi","Rhodes et al. (1995)","tmax",32.7802439610437,10.6472804711609,0.199935592069752
"192",48,"Emiliania huxleyi","Rhodes et al. (1995)","delta_t",7.27254931988378,48.3777113527124,0.905009190652885
"193",49,"Emiliania huxleyi clone M","Mjaaland (1956)","a",0.188524821198899,0.0460651092845791,0.054839422300557
"194",49,"Emiliania huxleyi clone M","Mjaaland (1956)","b",-0.114506122069354,0.100130989907799,0.371225797687785
"195",49,"Emiliania huxleyi clone M","Mjaaland (1956)","tmax",27.1719595394648,0.998616758426447,0.00134795990085253
"196",49,"Emiliania huxleyi clone M","Mjaaland (1956)","delta_t",5.25005299913798,1.22021517679104,0.050001925927183
"197",50,"Emiliania huxleyi R strain TQ26","Buitenhuis et al. (2008)","a",0.184106486431896,0.0697662433957173,0.118591567534359
"198",50,"Emiliania huxleyi R strain TQ26","Buitenhuis et al. (2008)","b",-0.120731308188133,0.460357014205816,0.817665779410042
"199",50,"Emiliania huxleyi R strain TQ26","Buitenhuis et al. (2008)","tmax",26.5873806010716,1.24034806576195,0.00216930728136178
"200",50,"Emiliania huxleyi R strain TQ26","Buitenhuis et al. (2008)","delta_t",5.26271252832998,1.68923627221205,0.0894249825154578
"201",51,"Emiliania huxleyi strain B92/21","Conte et al. (1998)","a",0.032776520307546,0.00386353463751044,0.00105838639972299
"202",51,"Emiliania huxleyi strain B92/21","Conte et al. (1998)","b",-0.864492130804573,0.0630900436434208,0.000164318077206221
"203",51,"Emiliania huxleyi strain B92/21","Conte et al. (1998)","tmax",28.3549127856083,0.285087100373421,6.12710936067244e-08
"204",51,"Emiliania huxleyi strain B92/21","Conte et al. (1998)","delta_t",2.79105497859176,0.55651782748783,0.00741034636576981
"205",52,"Emiliania huxleyi strain CCMP373","Watabe & Wilbur (1966)","a",0.0443708437425268,NA,NA
"206",52,"Emiliania huxleyi strain CCMP373","Watabe & Wilbur (1966)","b",-1.0672838363917,NA,NA
