"","Sp.id","Sp.name","Study","T.min","T.max","T.opt","r.max","T.br"
"59",59,"Fibrocapsa japonica","Khan (1996)",-1.5875749827152,32.7220912299957,22.6595267204308,0.489692050817173,20.9089840988779
"60",60,"Fibrocapsa japonica strain CAWR-19","de Boer et al. (2005)",4.18834019828849,34.5985626864753,23.9508491440208,0.299145186493197,20.0601409481412
"61",61,"Fibrocapsa japonica strain CCRuG-C13","de Boer et al. (2005)",8.32796685126525,32.0309625757444,23.5182985307044,0.411420855998345,15.782865059445
"62",62,"Fibrocapsa japonica strain CS-332","de Boer et al. (2005)",9.34885475709199,31.7060770304575,23.4995131475425,0.329338657969453,14.9908970731946
"63",64,"Fragilariopsis kerguelensis","Fiala & Oriol (1990)",-1e+09,7.99011931185234,3.71122851168871,0.473887838233063,10.5199743234257
"64",65,"Gephyrocapsa oceanica strain AB1, CAWPOT","Conte et al. (1998)",5.22419207192381,30.0895031046395,22.4742495499693,1.04733398392515,15.6265353237494
"65",66,"Gephyrocapsa oceanica var. typica strain A4725","Bollmann et al. (2010)",10.9639426788061,33.113361392151,26.3045550377287,1.23433226503633,13.8207714550954
"66",67,"Gephyrocapsa oceanica var. typica strain A4727","Bollmann et al. (2010)",5.1871702106,32.0987736216893,27.8055270341978,1.31677053550625,13.7502335014098
"67",68,"Gymnodinium aureolum","Nielsen & T¿nseth (1991)",8.85695390724067,25.7881877266807,20.4103850756108,0.419688436625496,10.7255982647572
"68",69,"Gymnodinium catenatum","Bravo & Anderson (1994)",8.33714307442395,29.0314475317672,25.2712553931686,0.390377561172092,11.6693964194536
"69",70,"Gymnodinium catenatum strain GCCV-10","Band-Schmidt (2004)",5.43748351823402,32.4044755505068,25.4336601992029,0.204649217904796,16.7213904549657
"70",71,"Gymnodinium corollarium clone GCTV-B4","Sundström et al. (2009)",-12.8863744277425,10.3871486169496,3.00325757567999,0.298866829555932,14.8449845889817
"71",72,"Gymnodinium isolate 581 (probably G. simplex)","Thomas (1966)",15.3172788266284,32.2906062449177,26.092091657418,0.775965132415643,11.3748526622454
"72",73,"Gymnodinium isolate 582 (probably G. simplex)","Thomas (1966)",13.8566525375052,32.8897888986871,26.3343353733142,1.12341102394366,12.4940043583
"73",74,"Helicotheca tamesis","Chin (1965)",8.8978200927429,32.2792600570792,24.6899481664909,0.906313143710828,14.9668385479831
"74",75,"Heterocapsa rotundata","Throndsen (1976)",-9.23752338039251,29.1757905860916,19.7035372910043,1.27584241370179,21.3015435547093
"75",76,"Heteromastix pyriformis","Throndsen (1976)",-1e+09,28.1025161162822,20.233464553465,1.36867185798485,19.2773758223842
"76",77,"Heterosigma akashiwo","Ono (2000)",-1e+09,32.6665512215785,26.6907708800322,0.968805162463951,14.619203804875
"77",78,"Isochrysis galbana clone T-ISO, NEPCC 601","Renaud et al. (1995)",6.4417310908414,35.0014502540303,29.0391254630516,0.876827220512468,16.0553817512653
"78",79,"Isochrysis galbana strain CCMP1323, Iso.","Hobson (1974)",2.39017632039253,26.317375181231,21.6405270759186,1.37141260035424,12.7906574660823
"79",80,"Isochrysis sp. strain PS11","Renaud et al. (1995)",3.90815742982172,35.9253034386976,25.355498297472,0.460173952825224,20.6398984828766
"80",81,"Karenia brevis strain APA","McKay et al. (2006)",10.7236288831116,31.2455555133569,24.0068795711086,0.200757830945346,13.5684422187802
"81",82,"Karenia brevis strain MAN","McKay et al. (2006)",11.3238276284852,29.4148180411544,22.4775107390052,0.144186111229094,12.2885233600378
"82",83,"Karenia mikimotoi","Yamaguchi (1989)",-1e+09,31.4519844514722,26.2942826634826,0.646330257471988,12.6177648323454
"83",84,"Karlodinium veneficum strain KT76E","Nielsen (1996)",-1e+09,26.9550646765945,20.6564442106785,0.475745410315628,15.4093177903392
"84",85,"Klebsormidium strain UMACC 227","Teoh et al. (2004)",-8.73824957354924,30.5770248155442,17.8629917107444,0.203443687082634,25.1137970790089
"85",86,"Koliella antarctica strain SAG 2030","Vona (2004)",0.923160679901347,20.1872864794437,13.2807757994772,0.307128070101373,12.8764479955286
"86",87,"Leonella granifera strain GeoB*38","Meier et al. (2004)",-1e+09,35.29999930424,29.7075910427703,0.182077628811385,13.681196895682
"87",88,"Leonella granifera strain GeoB*39","Meier et al. (2004)",14.1572042816421,31.5024943248569,27.1554650459232,0.411202204405641,10.5846374102321
"88",89,"Leptocylindrus danicus","Hulburt (1982)",13.131753940514,33.9154315039611,27.6836315803092,1.37253850900293,12.8072803736441
"89",90,"Men. 5 (Diatom)","Hulburt (1982)",8.46375777904807,37.0774036528191,28.5399172165341,1.64791742593362,17.6577213703677
"90",91,"Micromonas pusilla","Throndsen (1976)",-1e+09,28.305077914205,23.494904124589,2.44313407471822,22.5217186227517
"91",92,"Micromonas sp. strain CCMP2099","Lovejoy et al. (2007)",-8.49241678011587,14.8178172773491,7.94702076860031,0.519012159461724,14.3583923248012
"92",93,"N-fixing unicellular cyanobacterium strain A 2.5","Falcón (2005)",22.0650828591508,31.0251179326459,29.6453985722441,1.26539575039395,4.8477060149802
"93",94,"N-fixing unicellular cyanobacterium strain P-3","Falcón (2005)",22.4002505777805,31.0319178623408,29.4990050589269,1.12287648448446,4.8232454277803
"94",95,"N-fixing unicellular cyanobacterium strain P-7","Falcón (2005)",24.7639926334059,31.063587835034,28.8418747903134,0.349480996060526,4.23654988220152
"95",96,"Nannochloris (possibly Stichococcus) sp.","Thomas (1966)",-4.18189581727303,39.9998411262393,34.0405493736922,2.99866162015765,19.0153579333971
"96",97,"Neoceratium furca","Baek et al. (2008)",10.4006309883058,31.9618204329207,24.7076350954103,0.560408685353424,14.0026718915803
"97",98,"Neoceratium furca","Nordli (1957)",5.70272224468545,26.8782299165527,20.8369525313944,0.244570189601347,12.7094083041387
"98",99,"Neoceratium fusus","Baek et al. (2008)",10.0536232626123,31.9174186522068,25.7179969772273,0.456082411450163,13.7335911779575
"99",100,"Neoceratium fusus","Nordli (1957)",3.59994165304858,26.6330545830453,18.8186442554545,0.19002225223417,15.0067903282503
"100",101,"Neoceratium lineatum","Nordli (1957)",2.42380410579475,27.1171152517121,22.1845637092035,0.24034897274225,14.3601152496079
"101",102,"Neoceratium tripos","Montressor & Tomas (1988)",-60.794273979259,26.9627449795527,19.909566175363,0.190470160080827,45.219267963454
"102",103,"Nitzschia frigida","Suzuki & Takahashi (1995)",-1e+09,5.01103350513691,1.19793265900603,0.399544751034278,9.42992767027603
"103",104,"Nitzschia paleacea strain NT7","Renaud et al. (1995)",0.49520028585005,29.9265220631395,20.8492973511632,0.390413817755732,18.8803902070637
"104",105,"Odontella mobiliensis","Hulburt (1982)",12.1780988100119,34.7519150692256,27.3668659136398,1.31040824886477,14.5252032009686
"105",106,"Olisthodiscus luteus","Throndsen (1976)",-0.646394683186249,22.8244574745218,15.7341044165952,0.816770683096063,14.6314053887988
"106",107,"Olisthodiscus luteus clone OLMS","Tomas (1978)",-8.42552040100698,33.6822315432324,26.9807856527823,0.989045720071497,21.3103134929282
"107",108,"Peridinium sp. 1","Barker (1935)",2.92773019670997,29.3439895840377,20.4812391203292,0.561886354668437,17.1869326580998
"108",109,"Pernambugia tuberosa strain GeoB*74","Meier et al. (2004)",9.1884626137156,31.2718467482348,24.318892769562,0.329609117099268,13.9330600864136
"109",110,"Phaeocystis antarctica strain CCMP 1871","Wang et al. (2010)",-2.56413179447147,7.87342386649253,4.16229709217273,0.253025770459062,6.94667804811872
"110",111,"Phaeocystis globosa strain CCMP 1528","Wang et al. (2010)",8.95002756752057,34.4145591083845,26.3313127392317,0.752273185464305,16.1314733077427
"111",112,"Phaeocystis pouchetii","Grimm & Weisse (1985)",-1e+09,21.4910478668525,17.4840896833759,2.58873814044995,9.80366406672736
"112",113,"Phaeodactylum tricornutum","Ryther (1954)",-14.3787501324913,29.5901643747266,15.2532220841438,0.295749296643426,28.2309127118897
"113",114,"Phaeodactylum tricornutum clone Pet Pd","Fawley (1984)",-8.61745017124407,26.9235325409358,23.0670275772674,1.4714170972864,15.683281501907
"114",115,"Phaeodactylum tricornutum strain CCAP 1052/1A","Johnston (1996)",-1e+09,27.7709129166909,21.9868084951302,0.766915640523059,14.1503938378072
"115",116,"Phaeodactylum tricornutum strain CCMP633","KrŠbs et al. (2011)",-1e+09,30.0226703807713,22.0701857922861,0.942730175921893,19.4616335820129
"116",117,"Phaeodactylum tricornutum strain NEPCC 640","KrŠbs et al. (2011)",-13.2249184360062,30.0172379007968,16.8558045024609,0.47024541258434,27.2504000549865
