population,population.number,temperature,well.ID,r.log,r.log.cln,r.exp.ln,r.exp.log,r.40.ln.early,r.40.ln.full
14,4,10,D09_1,0.5452907158319218,0.5452907143991079,0.4073092845928884,0.4807723764355159,NA,0.3580818398285168
14,4,10,F08_1,0.6278360657315618,0.6682927067872212,0.3697493007333381,0.4347782949572445,NA,0.33249768718414247
14,4,16,B04_16,0.9167197663860459,0.9167195010443495,1.3103250176944654,1.9580722418925192,NA,0.5473932866832741
14,4,16,D06_16,1.058733664904231,1.0587337763677311,1.2354375846103955,1.97542870107009,NA,0.5333492696418198
14,4,16,D09_16,0.936769655868387,0.936768205980071,1.2105173107842877,1.8595553794147437,NA,0.5420149995264131
14,4,16,F08_16,1.0627347671852565,1.0627347064834012,1.3604101034952558,1.6626347981791234,NA,0.5205619404657135
14,4,22,B04_31,0.5462852767691584,0.5462846808178324,2.099677658862619,3.361328316397183,NA,0.47485572068862286
14,4,22,D06_31,0.8158883499585176,0.8158842701452432,2.2321894989190425,4.4712006013924235,NA,0.4910351172457435
14,4,22,D09_31,0.7690201056439299,0.7690202866675436,2.1808071865920415,4.8665950245054805,NA,0.4827571937693827
14,4,22,F08_31,0.8974427434943352,0.8974431071760476,2.0619229196051574,5.363945244064893,NA,0.4667828437578142
14,4,28,B04_46,1.7837392274893393,1.5043597800490747,3.934015172175327,5.639573498717069,NA,0.38158190032146516
14,4,28,D06_46,8.789295999551324e-5,-0.11147987480641916,3.6398986426087228,5.479885657004324,NA,0.1324514644876753
14,4,28,D09_46,2.1989509647207695,1.661682167827566,3.450320334403372,5.29116845489787,NA,0.05167242959407239
14,4,28,F08_46,2.166232300330254,1.5229538956819477,3.4332188258405205,6.184160191499933,NA,0.07207582703265969
14,4,34,B04_61,1.59044995325424,1.4778118565148028,4.30939327064395,9.385277288352892,NA,0.6184772704770412
14,4,34,D06_61,1.4546852016125613,1.4546864801462964,3.9034848443492787,7.889040803074526,NA,0.5769949398400271
14,4,34,D09_61,2.0692470171644284,1.8496350545071352,4.087629803592422,7.755550388800509,NA,0.5490466521911617
14,4,34,F08_61,2.150857569238513,1.8401096693431769,4.052102295539195,9.188186932045275,NA,0.5501440979085288
14,4,40,B04_76,7.3149184065430655,10.105642347429358,-1.6134155983835212,NA,3.2376956163653934,-0.7771294547415755
14,4,40,D06_76,10.226852003321302,9.547458378041604,-1.4919972572915183,NA,3.3643128696919917,-0.5272742102830309
14,4,40,D09_76,10.3911022787286,12.541506045280817,-2.0574831721933933,NA,4.279692803979554,-0.4883084142510735
14,4,40,F08_76,-9.412706214516978,-3.0577033452983664,-2.377329715069637,NA,3.9780679484100707,-0.7783939181459785
15,5,10,B02_11,1.1916481393538578,1.1916514624066799,0.5675001987604715,0.7364961656880866,NA,0.43940212085268715
15,5,10,C11_11,1.257364281281708,1.2573623509096021,0.4761812027997478,0.6733634125975634,NA,0.37286870624529445
15,5,10,E07_11,1.6292576754367507,1.6292753532902142,0.4786997725573123,0.5877438408959568,NA,0.33462828590699606
15,5,10,F02_11,1.7781775645013438,1.7781922964275447,0.5551668969978416,1.0128313985627726,NA,0.4143076123031331
15,5,16,B02_26,1.7196006403000204,2.3682620627457283,0.758978523200871,1.3421729006771912,NA,0.4373619752688525
15,5,16,C11_26,1.0878715321290144,1.0878715110894108,1.0022552792505641,2.2740911928903387,NA,0.5164724182578965
15,5,16,E07_26,0.9471340520734596,1.1799505899022054,1.127080376912926,2.235579882471014,NA,0.48140636236190953
15,5,16,F02_26,1.1166844453532834,1.1166844841801846,0.8919949428936802,1.4625913230730874,NA,0.5179285900531245
15,5,22,B02_41,0.5672166128652304,0.5672157310326587,2.121277826591668,4.931223570525778,NA,0.43165809801538607
15,5,22,C11_41,0.7039112336330241,0.7039114083954682,2.2503877031259094,4.170935692896814,NA,0.4721856724152022
15,5,22,E07_41,0.5941322324937166,0.5941325519980659,2.1618336832834326,4.34225633647001,NA,0.5120874463299172
15,5,22,F02_41,0.6751820662282086,0.6751821290327208,2.2762394184735357,4.256950328505861,NA,0.554674352348609
15,5,28,B02_56,1.0910216388519107,1.0754316629566874,3.739080162036265,5.865086763906786,NA,0.44097280053909726
15,5,28,C11_56,1.5261163728991802,1.615781458395961,3.2595452448704587,4.785486973478818,NA,0.42769460603596016
15,5,28,E07_56,1.5071376785459527,1.5811923513370183,3.6459110641572487,4.0784201214620355,NA,0.42375447092603813
15,5,28,F02_56,1.0161723298179894,1.0161720242715513,3.2270950930629154,3.6387378447794085,NA,0.4660457638569647
15,5,34,B02_71,2.015309035178312,2.0153066422090005,4.661981908946294,5.559505476558187,NA,0.6343066471425817
15,5,34,C11_71,2.356865522196098,2.3568651860600394,4.161199833400831,6.500511462637495,NA,0.5147193466765823
15,5,34,E07_71,0.9205169255058898,0.9205166223444837,4.059381681839773,5.825290105294452,NA,0.658889231830918
15,5,34,F02_71,1.213979621334491,1.2139793059613069,3.813314301422144,6.127541594656927,NA,0.6174693878599142
15,5,40,B02_86,6.4794888687614876,12.755987451632766,-0.9086112264770833,NA,4.2010106280001915,-0.6963236099924023
15,5,40,C11_86,9.303755205202624,8.19605136990772,-0.8656065329724476,NA,3.812532029569276,-0.7232545523191118
15,5,40,E07_86,7.068339193169664,11.486872617095809,-1.5352133677096518,NA,3.429826443139824,-0.7946506935013088
15,5,40,F02_86,-6.4303648017902795,-5.14881319201027,-0.8555882527701828,NA,2.855858551337316,-0.7004875815559356
16,6,10,B05_11,1.030232323590957,1.0302319794032073,0.5656452816821673,1.9134996071439223,NA,0.45461654298136595
16,6,10,C08_11,0.8580063181664984,0.8580065241846847,0.5124259557156462,1.0642671941865156,NA,0.4013752970649316
16,6,10,E04_11,0.8756800795922242,0.8756799823226644,0.5638115489880072,2.1501721325636862,NA,0.43334255478369055
16,6,10,E11_11,0.8024256668160459,0.8024329728723779,0.47190559321702663,1.4471850750921356,NA,0.3681379897291144
16,6,16,B05_26,1.2403712305757661,1.2403716138015144,1.1312406237879435,5.995528669407489,NA,0.518293414069182
16,6,16,C08_26,1.2264808820427306,1.2264810365095264,1.4180740314485045,3.132095367498179,NA,0.5889241264271874
16,6,16,E04_26,1.2211317112781548,1.2211317219046554,1.197571083195892,4.329647208864598,NA,0.5512048482218769
16,6,16,E11_26,1.0475798418783224,1.0475805355750594,1.0935628729855846,1.6180681624980249,NA,0.5200771710203133
16,6,22,B05_41,0.5897226311465504,0.589722264083413,2.381053078513545,5.003715529352486,NA,0.6055694487282902
16,6,22,C08_41,0.6692501380636049,0.6692517666209876,2.2680545816940283,5.099647319106095,NA,0.5845586043942624
16,6,22,E04_41,0.7357287672110256,0.7357280198797876,2.358060475229845,4.527107059128207,NA,0.584791713406176
16,6,22,E11_41,0.7291610363998244,0.7291607709620279,2.200190084439005,3.0811992729862703,NA,0.5137121115605879
16,6,28,B05_56,0.6858407048239213,0.6858402402851503,3.141108252801692,3.8744774094314125,NA,0.4910353215154729
16,6,28,C08_56,1.4350098077363878,1.4350163433343197,3.9078103856719224,4.248072933098885,NA,0.47020557709750155
16,6,28,E04_56,1.0643761097340223,1.023701647082562,3.7870649970150816,4.780824245721674,NA,0.4674643207875767
16,6,28,E11_56,1.6051901723959747,1.6910549061815319,3.442522186355728,3.185660336878591,NA,0.4325766101436105
16,6,34,B05_71,2.007172601197968,2.007172882089413,3.7294750675064505,7.5904823374763915,NA,0.6572092694010366
16,6,34,C08_71,1.4645700795266052,1.4645625559272015,4.078263702930578,5.004116986056114,NA,0.643071226878518
16,6,34,E04_71,1.190203891476559,1.1902045404027106,4.097806475962112,6.822909692462903,NA,0.6821991475537176
16,6,34,E11_71,1.471299547493052,1.4712994501357985,4.430804856414927,7.029643468239657,NA,0.7185455399691433
16,6,40,B05_86,-5.009215709097151,-4.49417159190622,0.1419126091888571,NA,3.4298016680929853,-0.46166282485389065
16,6,40,C08_86,-6.042750675826424,-4.79846872965797,-0.30670823954703474,NA,2.6611080013437967,-0.6515454516546872
16,6,40,E04_86,-4.828913887526361,-4.383003101844677,-0.4403563655525362,NA,3.317473093967168,-0.6623322625224914
16,6,40,E11_86,-7.007037612226445,-5.042144339476338,-0.6425371072837283,NA,2.8813370768725544,-0.7819523606070858
17,7,10,B08_6,0.5261959519547518,0.5261959491131472,0.43527019370615205,0.482000000241453,NA,0.42658810179632645
17,7,10,C11_6,0.49244262118623633,0.4924426212751902,0.4603445940892457,0.5300263423291727,NA,0.439919766018273
17,7,10,E07_6,0.6008777170356799,0.6008777197703336,0.4511912101057024,0.5795639431668024,NA,0.40412186656119825
17,7,10,F05_6,0.4024501692282361,0.40245016992842514,0.37028560403245,0.6351149329421216,NA,0.38461946099827043
17,7,16,B08_21,1.0751968314742075,1.1703280108284293,1.0061152435879555,1.3147989377122424,NA,0.5873018856371274
17,7,16,C11_21,0.9999651167548015,1.1101605636588778,0.9117256436423672,1.2839697019893603,NA,0.5823887865510877
17,7,16,E07_21,1.011043322744704,1.1202268778820426,0.9607944676573085,1.0441191213495047,NA,0.5665392410598362
17,7,16,F05_21,1.1616919833444668,1.1616923034322362,1.086331794112822,1.723853129679461,NA,0.5664021698400936
17,7,22,B08_36,1.1286252050773253,1.1265666319290364,2.1265371712276364,5.059092123945171,NA,0.574790136672157
17,7,22,C11_36,1.3973338796393695,1.397334071342881,2.0542150460974895,3.7669126676936804,NA,0.5480295446226464
17,7,22,E07_36,1.3762893805017267,1.3533690709198583,2.0958274588868417,4.90249961740845,NA,0.5708099385407631
17,7,22,F05_36,1.3824940820965188,1.3824933232367496,2.1011720046081206,2.7619329749772827,NA,0.5335670684082873
17,7,28,B08_51,1.2913246194062071,1.2913239610019343,3.4326004336497524,3.671378371447222,NA,0.43558647848454607
17,7,28,C11_51,1.669336594930385,1.505477431861707,3.7841746713282216,4.3915348816680995,NA,0.40184631702166773
17,7,28,E07_51,0.9152604090879596,0.9152616530320616,3.454062331559151,4.453037798525784,NA,0.4096891891739426
17,7,28,F05_51,0.793083325326703,0.7930850797332224,3.49040886663244,4.386256625960838,NA,0.42263539945156275
17,7,34,B08_66,1.63954741387605,1.6395461991594906,4.375056138198219,2.8352684920057087,NA,0.5444039290051925
17,7,34,C11_66,2.5358362795631986,2.5503166192224884,4.673608174960679,5.002439253376133,NA,0.4741378097453922
17,7,34,E07_66,1.1188690134385255,0.9008723756952334,4.012412045532635,4.809170250083804,NA,0.515274719065832
17,7,34,F05_66,1.1300070735216414,0.9429659555370797,4.274182823773613,6.343869359960951,NA,0.5564871160791265
17,7,40,B08_81,-5.367007184439155,-3.642021481901779,-0.5541732263371231,NA,3.1141750562956045,-0.676002655496436
17,7,40,C11_81,6.489934589164692,8.245713117802545,-1.0769074645050631,NA,3.743886231596623,-0.7409490446767818
17,7,40,E07_81,-3.089812184933874,-2.5001788945239403,-0.8375710208197124,NA,4.145525869572105,-0.7848868887938867
17,7,40,F05_81,-4.006219091037064,-3.6947024026595123,-0.6511069488246778,NA,3.700268669038794,-0.7580476285741563
18,8,10,B11_6,2.748082241315698,2.7479559330414514,0.41286723433999195,0.732639064355089,NA,0.3521603650281102
18,8,10,D02_6,1.4270522060510604,1.4270527043046057,0.49825090924363336,0.6264501694251541,NA,0.40191936337444023
