"","population","rep.ID","T.min","T.opt","T.max","T.µ.max","T.br","T.br.min","T.br.max","T.a","T.b","T.tmax","T.d.t","I.µ.max","I.comp","I.K.s","N.µ.max","N.comp","N.K.s","P.µ.max","P.comp","P.K.s","S.µ.max","S.c","S.b","mean.N.µg.l","mean.P.µg.l","chl.a","chl.b","luthein","pig.PC","bio.vol","Anc","Evol"
"21","25","25.E03",6.036750594328,32.7438483627729,40.2974650619217,3.78822215365537,18.1430634357277,20.4405810651553,38.583644500883,0.061662564291262,-1.43846692063919,41.2128059801565,5.00649711192126,1.59560430156195,0.153375150039126,12.0386060898991,1.54188202056653,0.320168023650068,5.48783530957182,1.5723449417703,1.67727838020089,1.07728892707341,1.24413574285619,6.5488885150874,3.72157721897744,387.465,74.38,14.7452,5.9852,1.0849,0.239971383316122,414.9233026,"anc2","BS"
"22","19","19.F03",5.63642863184167,34.354533423472,40.100644174426,3.84002892985496,16.310611933203,22.5839899280262,38.8946018612292,0.0524221405802656,-1.34300543636294,40.6951056265565,2.8514659472527,1.48275534281686,0.0868197919213566,18.7857283682309,1.4732278874751,0.148868296473482,10.8738453673891,1.56973702754974,1.1690189691321,1.536340183751,1.19473534591279,2.99826182619831,3.36310082655411,305.57,58.92,12.1037,4.4552,0.8465,-0.790876410936463,487.011853,"anc2","B"
"23","33","33.G03",4.39472908252153,35.3446897928852,39.9767647815678,3.98280434308904,15.3694522883891,23.6640535459348,39.0335058343239,0.0495823938906438,-1.24315475988385,40.3715812094033,1.94482118961915,1.81410794481728,0.0542920699745318,41.6477676425238,1.53441914719107,0.306586523012999,5.66462556918525,1.72902719179555,0.991224682847144,2.10716089556568,1.30029215171264,3.00581172435621,2.46634352965565,370.69,78.89,21.2645,8.9895,1.5908,2.46665232469866,543.8456929,"cc1690","L"
"24","4","4.B03",6.38673750866225,36.6683040727531,40.0673800299852,4.44328440738681,13.7240789929206,25.7145307908829,39.4386097838035,0.0498096208536148,-1.3742454595602,40.3434569917234,1.24125655882258,1.71795953742879,0.0730738268051899,28.1237561147592,1.85210513050036,0.0774404103472972,30.0336233373996,1.567401129645,1.29780259918973,1.38246910157348,1.44500506436626,5.03876355072885,0.391666059904533,255.62,58.485,13.2136,5.6604,1.2522,0.242239051380155,471.8732025,"anc3","S"
"25","9","9.C03",4.81727848457567,32.3974459485441,40.0228635293264,3.82954079281977,18.3736596333471,19.9234337960108,38.2970934293579,0.0622366072072335,-1.33335841805587,40.8725925662686,5.04776818384374,1.77350784794235,0.106944051174225,20.1242565861323,1.70482816115521,0.148982866989576,13.6938232840037,1.57633412833479,0.824431786705432,2.20275068356038,1.61422398706637,6.10901207561996,0.303648686200103,266.495,45.585,8.9004,3.7189,0.8039,-1.38998932358702,434.7005801,"cc1690","BS"
"26","22","22.D03",4.99596633662388,33.275747936514,40.0505963481196,3.92373492150253,17.4429302275841,21.1449404876941,38.5878707152782,0.0571734413361366,-1.32676391433145,40.7694252926,3.93546652648117,2.10638295916376,0.0497593553275114,56.1884935438381,1.81076850140705,0.148390158889609,15.020430826737,1.38421822847459,0.242701692926217,6.69486967420853,1.5587956561602,2.52937381317742,1.72152557030949,333.19,82.795,16.8956,6.8342,1.3136,1.0317017638909,483.8682314,"cc1690","C"
"27","28","28.E03",7.38155592720739,33.115303764525,40.3721916417832,4.13982408393049,17.4734150708654,21.2652338006396,38.738648871505,0.0634147118874507,-1.57777693645951,41.2600537155909,4.81637417422644,1.84982476193051,0.0682502457220766,33.9500931987801,1.65474244801728,0.286989688841378,6.8113072944355,1.41360746932379,2.59651974273716,0.586895804947455,1.13376351456684,3.38583871892118,2.57820598044776,330.25,77.285,15.2657,6.5307,1.2002,0.606932764173452,381.8761014,"anc5","P"
"28","4","4.F03",5.49163936479482,34.8496932797278,40.2714548515584,3.88944308324318,16.0335336211814,23.0949221350717,39.1284557562531,0.051398849234072,-1.32595121254072,40.8104332581534,2.55356207782273,1.8408835267009,0.0652851903827193,34.9244820064913,1.89026293871868,0.119300955019113,19.8989413293529,1.42511725118092,1.95486170407321,0.786237652686445,1.44500506436626,5.03876355072885,0.391666059904533,255.62,58.485,13.2136,5.6604,1.2522,0.242239051380155,471.8732025,"anc3","S"
"29","9","9.G03",4.81941451207906,32.7279391905881,40.3076882617936,3.44494441290959,18.5803753786008,20.0380600810563,38.6184354596571,0.0572391291055331,-1.30464029255725,41.2244450891674,4.85285508939749,1.76097947061746,0.063725355671508,33.4447075948368,1.6113771396897,0.190221063794085,9.83444007282605,1.55979987333948,0.967678607758789,1.82847671130338,1.61422398706637,6.10901207561996,0.303648686200103,266.495,45.585,8.9004,3.7189,0.8039,-1.38998932358702,434.7005801,"cc1690","BS"
"30","3","3.B03",3.63061915682935,33.0589227945676,40.250869573563,3.86149993963223,18.2365842717907,20.4521204640878,38.6887047358785,0.057748078607706,-1.22017520764893,40.9916023172557,4.41626969033961,1.90384505114511,0.112419964384585,21.2578152848258,1.58535456266067,0.30733863385337,5.98763506308693,1.52468413110036,2.13162220920384,0.810053358531206,1.31773645888895,2.99505593672116,5.84457291426227,149.4,31.41,8.2975,3.3961,0.6914,-1.70589700276328,395.0603514,"cc1690","N"
