"","Model","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"208","Lactin 2","anc4",35,"cf.sigma",0.245893969085248,1.00064097699812,6000
"209","Lactin 2","anc4",35,"cf.tmax",40.660874126005,1.00089726035212,6000
"210","Lactin 2","anc4",35,"deviance",-0.727877016262868,1.00148367527796,3600
"211","Lactin 2","anc5",36,"cf.a",0.0530767928337045,1.00105057078046,6000
"212","Lactin 2","anc5",36,"cf.b",-1.26993698349634,1.00078978654321,6000
"213","Lactin 2","anc5",36,"cf.delta_t",2.0798156891601,1.00130547926721,6000
"214","Lactin 2","anc5",36,"cf.sigma",0.294303668319737,1.00130994172836,4300
"215","Lactin 2","anc5",36,"cf.tmax",40.2859166628542,1.00079618337633,6000
"216","Lactin 2","anc5",36,"deviance",7.80127569943333,1.00079176031323,6000
"217","Lactin 2","cc1629",37,"cf.a",0.0465094653994958,1.00065658312141,6000
"218","Lactin 2","cc1629",37,"cf.b",-1.53622842574649,1.00100671990687,6000
"219","Lactin 2","cc1629",37,"cf.delta_t",2.49652758135415,1.00072650582965,6000
"220","Lactin 2","cc1629",37,"cf.sigma",0.302362125007111,1.00086244658822,6000
"221","Lactin 2","cc1629",37,"cf.tmax",40.6716683291271,1.0005817053115,6000
"222","Lactin 2","cc1629",37,"deviance",8.93325124315045,1.00062246960983,6000
"223","Lactin 2","cc1690",38,"cf.a",0.0554628821125631,1.00121531674441,4900
"224","Lactin 2","cc1690",38,"cf.b",-1.49404901060242,1.00107709220758,6000
"225","Lactin 2","cc1690",38,"cf.delta_t",3.70556166934863,1.00088257081416,6000
"226","Lactin 2","cc1690",38,"cf.sigma",0.451269392244834,1.00065863762692,6000
"227","Lactin 2","cc1690",38,"cf.tmax",40.7259083295944,1.0011440118378,5400
"228","Lactin 2","cc1690",38,"deviance",28.2576341036648,1.00125389542983,4600
"229","Thomas 1","1",1,"a",0.158895926568078,1.00078259996892,6000
"230","Thomas 1","1",1,"b",0.10673318081757,1.00078349895848,6000
"231","Thomas 1","1",1,"c",29.3975468503694,1.00072733787602,6000
"232","Thomas 1","1",1,"deviance",-2.3625188556827,1.00063898413716,6000
"233","Thomas 1","1",1,"sigma",0.239001345599184,1.000725973501,6000
"234","Thomas 1","1",1,"topt",25.1897620395292,1.00061252235934,6000
"235","Thomas 1","10",2,"a",0.31621836678827,1.00053790881585,6000
"236","Thomas 1","10",2,"b",0.0826941067802174,1.00058406918191,6000
"237","Thomas 1","10",2,"c",29.7116913082913,1.00125652495404,4600
"238","Thomas 1","10",2,"deviance",18.9827892614566,1.0010398272043,6000
"239","Thomas 1","10",2,"sigma",0.371682537991114,1.00117223095308,5200
"240","Thomas 1","10",2,"topt",25.2314320532104,1.00100419522618,6000
"241","Thomas 1","11",3,"a",0.27313605651697,1.00093873293435,6000
"242","Thomas 1","11",3,"b",0.0909234792167193,1.00088996831671,6000
"243","Thomas 1","11",3,"c",29.4964385939899,1.00065919405648,6000
"244","Thomas 1","11",3,"deviance",14.5323707092502,1.00104752572519,6000
"245","Thomas 1","11",3,"sigma",0.339090723516561,1.0006872877322,6000
"246","Thomas 1","11",3,"topt",25.227028471617,1.00064702398902,6000
"247","Thomas 1","14",4,"a",0.317406377908898,1.00122078936577,4800
"248","Thomas 1","14",4,"b",0.0896220172288706,1.00127847787357,4500
"249","Thomas 1","14",4,"c",29.3185574740698,1.00098646186647,6000
"250","Thomas 1","14",4,"deviance",7.74812137128856,1.00076204002535,6000
"251","Thomas 1","14",4,"sigma",0.294473525120361,1.00067936947517,6000
"252","Thomas 1","14",4,"topt",25.1552109942523,1.00080102974154,6000
"253","Thomas 1","15",5,"a",0.339988504938172,1.00074517486498,6000
"254","Thomas 1","15",5,"b",0.0842941740609036,1.00078018935934,6000
"255","Thomas 1","15",5,"c",29.1986618776994,1.00115836896796,5300
