"","Model","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"198","Lactin 2","26",17,"17.B09","deviance",0.790848046284752,1.00180069838798,3200
"199","Lactin 2","26",17,"17.C06","cf.a",0.081735780777027,1.01262717821989,300
"200","Lactin 2","26",17,"17.C06","cf.b",-1.16792703054064,1.01064113176558,370
"201","Lactin 2","26",17,"17.C06","cf.delta_t",5.63521664396874,1.00242476371244,1800
"202","Lactin 2","26",17,"17.C06","cf.sigma",0.303201926398764,1.00653791146111,580
"203","Lactin 2","26",17,"17.C06","cf.tmax",40.9676159772904,1.01158592250044,1200
"204","Lactin 2","26",17,"17.C06","deviance",-2.58388611937137,1.00610975558296,630
"205","Lactin 2","26",17,"17.E02","cf.a",0.0777337753832965,1.00231082726997,2500
"206","Lactin 2","26",17,"17.E02","cf.b",-1.40211899444382,1.00169507606449,2900
"207","Lactin 2","26",17,"17.E02","cf.delta_t",6.11977909365617,1.0009622442736,6000
"208","Lactin 2","26",17,"17.E02","cf.sigma",0.581675774043661,1.00146863855817,3600
"209","Lactin 2","26",17,"17.E02","cf.tmax",40.6667931658341,1.05885242258409,6000
"210","Lactin 2","26",17,"17.E02","deviance",6.40681024282274,1.00154774358663,3300
"211","Lactin 2","26",17,"17.F11","cf.a",0.0806769418793869,1.21658290294925,22
"212","Lactin 2","26",17,"17.F11","cf.b",-1.18422705152678,1.16551537040441,29
"213","Lactin 2","26",17,"17.F11","cf.delta_t",4.87265100221392,1.11506530206809,35
"214","Lactin 2","26",17,"17.F11","cf.sigma",0.195165905056447,1.00623821480924,610
"215","Lactin 2","26",17,"17.F11","cf.tmax",40.5748449652988,1.27077971965699,820
"216","Lactin 2","26",17,"17.F11","deviance",-10.3439671096455,1.00675553863522,560
"217","Lactin 2","27",18,"18.B07","cf.a",0.062377494937722,1.0019757911019,6000
"218","Lactin 2","27",18,"18.B07","cf.b",-0.82335944170669,1.00069378343053,6000
"219","Lactin 2","27",18,"18.B07","cf.delta_t",7.85602150084722,1.00143700162571,3700
"220","Lactin 2","27",18,"18.B07","cf.sigma",0.754649808742049,1.00144277823348,3700
"221","Lactin 2","27",18,"18.B07","cf.tmax",40.1639337295839,1.01094931184289,4200
"222","Lactin 2","27",18,"18.B07","deviance",10.282076345117,1.00126839930073,4500
"223","Lactin 2","27",18,"18.C07","cf.a",0.0626378189486532,1.00561258253984,6000
"224","Lactin 2","27",18,"18.C07","cf.b",-0.871906078248014,1.00102353214861,6000
"225","Lactin 2","27",18,"18.C07","cf.delta_t",7.7568396701459,1.00101140769466,6000
"226","Lactin 2","27",18,"18.C07","cf.sigma",0.736452552996794,1.0009497599886,6000
"227","Lactin 2","27",18,"18.C07","cf.tmax",40.7211696532127,1.08920207359446,2700
"228","Lactin 2","27",18,"18.C07","deviance",10.0602908304191,1.00116090479954,5300
"229","Lactin 2","27",18,"18.D11","cf.a",0.0734819843122179,1.01123901053379,2200
"230","Lactin 2","27",18,"18.D11","cf.b",-1.21765538463337,1.00084619304898,6000
"231","Lactin 2","27",18,"18.D11","cf.delta_t",7.4631478820056,1.00472141431422,1600
"232","Lactin 2","27",18,"18.D11","cf.sigma",0.278703900054769,1.00331920536467,1700
"233","Lactin 2","27",18,"18.D11","cf.tmax",41.3112389146822,1.14852270266358,790
"234","Lactin 2","27",18,"18.D11","deviance",-3.03169732762739,1.00359845697023,2000
"235","Lactin 2","27",18,"18.G02","cf.a",0.0590957440369078,1.00081436830589,6000
"236","Lactin 2","27",18,"18.G02","cf.b",-1.07599335749966,1.00117311904536,5200
"237","Lactin 2","27",18,"18.G02","cf.delta_t",5.13162834039579,1.00138042820701,4000
"238","Lactin 2","27",18,"18.G02","cf.sigma",0.565813759011725,1.0019335660562,2400
"239","Lactin 2","27",18,"18.G02","cf.tmax",40.3132888637688,1.03044225771654,950
"240","Lactin 2","27",18,"18.G02","deviance",5.01468822892526,1.00180220300875,2700
"241","Lactin 2","28",19,"19.B02","cf.a",0.0847378696649619,1.00180789274744,2700
"242","Lactin 2","28",19,"19.B02","cf.b",-1.40684952007301,1.00132562491568,4200
"243","Lactin 2","28",19,"19.B02","cf.delta_t",5.59954997850512,1.00275037067037,2400
"244","Lactin 2","28",19,"19.B02","cf.sigma",0.513064109378689,1.00174956737269,2800
"245","Lactin 2","28",19,"19.B02","cf.tmax",40.8510570487109,1.10484545385723,2300
"246","Lactin 2","28",19,"19.B02","deviance",4.77765457185224,1.00253272850766,1700
"247","Lactin 2","28",19,"19.C05","cf.a",0.0649780058885489,1.0482848147592,160
"248","Lactin 2","28",19,"19.C05","cf.b",-1.25977181442674,1.04959715486655,140
"249","Lactin 2","28",19,"19.C05","cf.delta_t",3.64296313777917,1.01257111997546,390
"250","Lactin 2","28",19,"19.C05","cf.sigma",0.210841073081335,1.00252283207969,1700
"251","Lactin 2","28",19,"19.C05","cf.tmax",40.6128315971612,1.26333995730442,2100
"252","Lactin 2","28",19,"19.C05","deviance",-10.0700144614493,1.00251969438643,1700
"253","Lactin 2","28",19,"19.E03","cf.a",0.0813000342221099,1.01180754831708,1100
"254","Lactin 2","28",19,"19.E03","cf.b",-1.41229773080876,1.00239705782496,1800
"255","Lactin 2","28",19,"19.E03","cf.delta_t",5.94377038513577,1.00327356917867,4500
"256","Lactin 2","28",19,"19.E03","cf.sigma",0.406108110715524,1.00321507932898,1300
"257","Lactin 2","28",19,"19.E03","cf.tmax",41.0978572759379,1.20716958606736,770
"258","Lactin 2","28",19,"19.E03","deviance",1.96460993950533,1.00329497135513,1400
"259","Lactin 2","28",19,"19.F02","cf.a",0.0821042089848407,1.0012358696161,4700
"260","Lactin 2","28",19,"19.F02","cf.b",-1.39665697419572,1.002242645786,2000
"261","Lactin 2","28",19,"19.F02","cf.delta_t",6.25768689697394,1.00124114781331,4700
"262","Lactin 2","28",19,"19.F02","cf.sigma",0.432325850972082,1.00105525638057,6000
"263","Lactin 2","28",19,"19.F02","cf.tmax",40.8832092238882,1.28320665683415,490
"264","Lactin 2","28",19,"19.F02","deviance",2.55718861702049,1.00113592779246,5900
"265","Lactin 2","10",2,"2.C02","cf.a",0.0695621881642109,1.00369555035986,4000
"266","Lactin 2","10",2,"2.C02","cf.b",-1.08050675706255,1.00097765543251,6000
"267","Lactin 2","10",2,"2.C02","cf.delta_t",6.57851225723184,1.00081847413959,6000
"268","Lactin 2","10",2,"2.C02","cf.sigma",0.425120037282984,1.00185140708105,2600
"269","Lactin 2","10",2,"2.C02","cf.tmax",41.6861030570721,1.13255170657712,900
"270","Lactin 2","10",2,"2.C02","deviance",3.13876196751636,1.00150102803842,3500
"271","Lactin 2","10",2,"2.D05","cf.a",0.071902369593741,1.00361196328358,2200
"272","Lactin 2","10",2,"2.D05","cf.b",-1.19452318369091,1.0037600553451,1100
"273","Lactin 2","10",2,"2.D05","cf.delta_t",5.55979290172495,1.0016271931853,3100
"274","Lactin 2","10",2,"2.D05","cf.sigma",0.503238029891971,1.0008428661023,6000
"275","Lactin 2","10",2,"2.D05","cf.tmax",40.7506224207604,1.0674065792572,1800
"276","Lactin 2","10",2,"2.D05","deviance",4.36976796285799,1.00082704320551,6000
"277","Lactin 2","10",2,"2.D11","cf.a",0.0549970364348959,1.00240453864571,4700
"278","Lactin 2","10",2,"2.D11","cf.b",-1.17496563693078,1.0016346706049,3100
"279","Lactin 2","10",2,"2.D11","cf.delta_t",3.35974027360745,1.0014529628425,3700
"280","Lactin 2","10",2,"2.D11","cf.sigma",0.251072184749404,1.00079244697329,6000
"281","Lactin 2","10",2,"2.D11","cf.tmax",40.7723484055725,1.18581222868554,2700
"282","Lactin 2","10",2,"2.D11","deviance",-7.27120530632666,1.00078286232024,6000
"283","Lactin 2","10",2,"2.F08","cf.a",0.0669057777663326,1.00463472042012,1200
"284","Lactin 2","10",2,"2.F08","cf.b",-1.22154937262579,1.00134282195208,4100
"285","Lactin 2","10",2,"2.F08","cf.delta_t",4.94396911898334,1.00166649105717,3000
"286","Lactin 2","10",2,"2.F08","cf.sigma",0.463301927325231,1.00203131407969,2300
"287","Lactin 2","10",2,"2.F08","cf.tmax",40.6959990139729,1.16112366877815,1400
"288","Lactin 2","10",2,"2.F08","deviance",3.07425044849868,1.00196616682774,2400
"289","Lactin 2","29",20,"20.B10","cf.a",0.0646468433186094,1.0013869755967,3900
"290","Lactin 2","29",20,"20.B10","cf.b",-1.22244970099822,1.00171643427481,5200
"291","Lactin 2","29",20,"20.B10","cf.delta_t",4.58707873373521,1.00165166853325,3000
"292","Lactin 2","29",20,"20.B10","cf.sigma",0.366942415405149,1.00096027448717,6000
"293","Lactin 2","29",20,"20.B10","cf.tmax",41.0918570645436,1.16920861264992,2600
"294","Lactin 2","29",20,"20.B10","deviance",0.107406758896969,1.00116221870219,5300
"295","Lactin 2","29",20,"20.D02","cf.a",0.0645924181664168,1.01049003934617,530
"296","Lactin 2","29",20,"20.D02","cf.b",-1.28648447182606,1.0103775063206,560
"297","Lactin 2","29",20,"20.D02","cf.delta_t",4.15649898262298,1.00417528353455,1000
"298","Lactin 2","29",20,"20.D02","cf.sigma",0.180338453972643,1.00195065273475,2400
"299","Lactin 2","29",20,"20.D02","cf.tmax",41.1003913898914,1.21561784920361,6000
"300","Lactin 2","29",20,"20.D02","deviance",-10.9768457709045,1.00208716118058,2200
"301","Lactin 2","29",20,"20.E06","cf.a",0.0740732803714091,1.0050900476353,1800
"302","Lactin 2","29",20,"20.E06","cf.b",-1.23102210716555,1.00104224354229,6000
"303","Lactin 2","29",20,"20.E06","cf.delta_t",6.43997052966059,1.00260098343134,4000
"304","Lactin 2","29",20,"20.E06","cf.sigma",0.416225600642171,1.00194105310312,2400
"305","Lactin 2","29",20,"20.E06","cf.tmax",41.2639845995092,1.10872036266821,1300
"306","Lactin 2","29",20,"20.E06","deviance",2.37737535542338,1.00219816170389,2500
