"","population","population.number","light.lvl","well.ID","r.exp"
"558","23",14,"10","C10_28",1.29070287452727
"559","23",14,"10","E05_28",1.24731701204666
"560","23",14,"10","F10_28",1.21273036214815
"561","24",15,"1","B11_1",0.443662199360889
"562","24",15,"1","D02_1",0.117841392579053
"563","24",15,"1","E06_1",0.0288658369899574
"564","24",15,"1","E11_1",0.194621509469838
"565","24",15,"2","B11_4",0.450088141010915
"566","24",15,"2","D02_4",-0.0308760115073666
"567","24",15,"2","E06_4",0.243416918013688
"568","24",15,"2","E11_4",0.384656826283842
"569","24",15,"3","B11_7",0.302410189960907
"570","24",15,"3","D02_7",0.18642974903293
"571","24",15,"3","E06_7",0.293480191679338
"572","24",15,"3","E11_7",0.260039140592504
"573","24",15,"4","B11_10",0.396876657604293
"574","24",15,"4","D02_10",0.165702515398957
"575","24",15,"4","E06_10",0.775861540819861
"576","24",15,"4","E11_10",0.209706512730569
"577","24",15,"5","B11_13",0.149691889638866
"578","24",15,"5","D02_13",0.364829626986256
"579","24",15,"5","E06_13",1.07688187220751
"580","24",15,"5","E11_13",0.284191185191163
"581","24",15,"6","B11_16",1.29922053591262
"582","24",15,"6","D02_16",1.13436187405132
"583","24",15,"6","E06_16",0.587437672659332
"584","24",15,"6","E11_16",0.952232081929528
"585","24",15,"7","B11_19",0.43538564451705
"586","24",15,"7","D02_19",0.329494518331286
"587","24",15,"7","E06_19",0.470718370409141
"588","24",15,"7","E11_19",1.38188020195767
"589","24",15,"8","B11_22",0.328199930017769
"590","24",15,"8","D02_22",1.36513393024917
"591","24",15,"8","E06_22",1.21374618704155
"592","24",15,"8","E11_22",0.852787111982182
"593","24",15,"9","B11_25",1.55593615928601
"594","24",15,"9","D02_25",1.26721372960067
"595","24",15,"9","E06_25",1.60064049812932
"596","24",15,"9","E11_25",1.26982468900733
"597","24",15,"10","B11_28",0.709785747235299
"598","24",15,"10","D02_28",1.57375645992872
"599","24",15,"10","E06_28",1.4380924070453
"600","24",15,"10","E11_28",0.319162462659002
"601","25",16,"1","B02_1",0.101548544583245
"602","25",16,"1","C05_1",0.295993345554284
