light,population,well_plate,term,estimate,std.error,statistic,p.value,conf.low,conf.high,ancestor_id,treatment,note
12.5,30,C09_12,days,0.5490429937743142,0.1470831563615196,3.7328747040538537,0.033508427100005234,0.080958746,1.0171272413064982,anc5,N,NA
12.5,30,E03_12,days,0.4110083138081284,0.11546947620238748,3.559454215309156,0.037834859,0.043532905894795415,0.7784837217214614,anc5,N,NA
12.5,30,E08_12,days,0.6256253640545887,0.054255968,11.530996210262122,0.001400345,0.45295865841857663,0.7982920696906007,anc5,N,NA
12.5,31,B04_11,days,-0.062513922,0.19909363326285642,-0.313992573,0.7740944164526518,-0.69611872,0.5710908753325665,cc1690,B,NA
12.5,31,D06_11,days,0.10033986988636695,0.2159710411909888,0.4645987227409521,0.6738603275942538,-0.586976372,0.7876561119729049,cc1690,B,NA
12.5,31,D09_11,days,-0.01961079,0.079155066,-0.247751549,0.8203158766359484,-0.271517536,0.23229595569760533,cc1690,B,NA
12.5,31,F08_11,days,-0.047437256,0.075124037,-0.631452431,0.5725776832005433,-0.286515471,0.19164095930216007,cc1690,B,NA
12.5,32,C04_10,days,0.279806507,0.14758504627152474,1.8959001197046768,0.1542538211603869,-0.189874978,0.749487992,cc1690,S,NA
12.5,32,D07_10,days,0.13101560677948818,0.12988605107583132,1.0086965127840972,0.3874218532941259,-0.282339777,0.5443709901336585,cc1690,S,NA
12.5,32,D08_10,days,0.082530897,0.08677531,0.9510873114023557,0.41172596672726947,-0.193626869,0.3586886619640516,cc1690,S,NA
12.5,32,F07_10,days,0.3369956219041438,0.12859796719820554,2.6205361503478435,0.078964998,-0.072260504,0.7462517474810686,cc1690,S,NA
12.5,33,C03_10,days,0.13812089038607286,0.15414975501652414,0.8960175796015176,0.4362695010824967,-0.352452428,0.6286942086987989,cc1690,L,NA
12.5,33,D05_10,days,0.12271809159396016,0.10420409024492795,1.1776705818890192,0.32384691698834367,-0.20890583,0.4543420135893811,cc1690,L,NA
12.5,33,E08_10,days,0.034018053,0.15347129143976593,0.22165743547503514,0.8388116808037032,-0.454396092,0.5224321972891824,cc1690,L,NA
12.5,33,G03_10,days,0.10333395540109662,0.1437226999269885,0.7189814514588895,0.5240953260189534,-0.35405582,0.5607237307691402,cc1690,L,NA
12.5,35,C04_11,days,0.2695888406054791,0.1773915762199769,1.5197386840464833,0.22589897622457367,-0.294950326,0.834128007,anc4,BS,NA
12.5,35,D07_11,days,0.10699966815358423,0.084138687,1.271705935803215,0.29311235600270474,-0.160767187,0.3747665228918085,anc4,BS,NA
12.5,35,D08_11,days,0.11033730898268232,0.091292118,1.2086181337686657,0.3133832846004939,-0.180194954,0.40086957181740024,anc4,BS,NA
12.5,35,F07_11,days,-0.084962991,0.11041243878279143,-0.769505609,0.4976299740132651,-0.436344649,0.266418667,anc4,BS,NA
12.5,4,B03_11,days,0.31290525580634226,0.21964295074726178,1.4246086876077135,0.24948067367346285,-0.386096641,1.011907152893577,anc3,S,NA
12.5,4,D04_11,days,0.2293231093538557,0.034308326679534186,6.684182283091437,0.006829579,0.12013870187210567,0.3385075168356057,anc3,S,NA
12.5,4,D10_11,days,0.2903287302299066,0.11705329783991023,2.4803122644778384,0.089245292,-0.082187105,0.6628445654618023,anc3,S,NA
12.5,4,F03_11,days,0.3172292098003909,0.05001078,6.343216609306744,0.007924804,0.15807258803595448,0.4763858315648273,anc3,S,NA
12.5,5,B09_12,days,0.28257265133150217,0.2040616122020766,1.384741834988926,0.2601461265377733,-0.366842472,0.9319877751342376,anc5,C,NA
12.5,5,C04_12,days,0.28252798247172856,0.094846331,2.9787971601196603,0.058653444,-0.019315374,0.5843713392447335,anc5,C,NA
12.5,5,D06_12,days,0.19243697940425483,0.13397800001881793,1.4363326768366897,0.24643464956565403,-0.233940812,0.6188147705534425,anc5,C,NA
12.5,5,E10_12,days,0.5491869923105301,0.21769266425117556,2.5227629704456818,0.085968004,-0.143608223,1.2419822073440505,anc5,C,NA
12.5,6,C02_10,days,0.5278016106245756,0.05466867,9.654553659655464,0.00235912,0.3538215029087609,0.7017817183403904,cc1690,P,NA
12.5,6,C09_10,days,0.4427639274084511,0.13568684846222795,3.2631307486790533,0.047020214,0.010947817844243424,0.8745800369726588,cc1690,P,NA
12.5,6,E09_10,days,0.3869952359890886,0.13758328811818962,2.812807000634001,0.067136571,-0.050856191,0.824846663,cc1690,P,NA
12.5,6,F04_10,days,0.4675127766944479,0.12539762030756632,3.728242813123295,0.033615505,0.068441583,0.8665839701336315,cc1690,P,NA
12.5,7,B08_12,days,0.19617874481518435,0.031085784077408703,6.310882953013734,0.00804033,0.097249906,0.29510758349918076,anc3,B,NA
12.5,7,C07_12,days,0.388208977,0.1559369939238644,2.489524565977516,0.088521245,-0.108052133,0.8844700872881972,anc3,B,NA
12.5,7,D10_12,days,0.19884667764253658,0.12211789861986291,1.6283172236816843,0.20194222436373238,-0.189786978,0.5874803329143297,anc3,B,NA
12.5,7,F03_12,days,-0.042848765,0.21206204856747027,-0.202057677,0.8527976639368681,-0.717724848,0.6320273180501182,anc3,B,NA
12.5,8,B05_10,days,0.8993807517921137,0.10410840265010655,8.638887245391746,0.003262383,0.5680613504292936,1.2307001531549338,anc4,P,NA
12.5,8,D03_10,days,0.7402679426007084,0.070702474,10.470184383693196,0.001860059,0.5152611144001717,0.965274771,anc4,P,NA
12.5,8,E10_10,days,0.6695510625339932,0.06614492,10.122486541041345,0.002053796,0.45904840624289567,0.8800537188250908,anc4,P,NA
12.5,8,F06_10,days,0.742555002,0.086416877,8.592708112608378,0.003313604,0.4675379303595347,1.0175720736382514,anc4,P,NA
12.5,9,C03_11,days,0.6390112791230983,0.095159151,6.715184743,0.006740129,0.3361723905325274,0.9418501677136693,cc1690,BS,NA
12.5,9,D05_11,days,0.49882203402468944,0.2371883333469041,2.103063110170466,0.12619676449682124,-0.256017101,1.2536611691409447,cc1690,BS,NA
12.5,9,E08_11,days,0.4321133137298265,0.25928121,1.6665816798608726,0.19418818953062109,-0.393035214,1.257261841018442,cc1690,BS,NA
12.5,9,G03_11,days,0.3662568734520692,0.23151128497072151,1.5820260057663649,0.21179150832368593,-0.37051536,1.1030291069386255,cc1690,BS,NA
12.5,anc2,B06_11,days,0.12474943254149287,0.19703508976129785,0.6331330764110246,0.5716157105036538,-0.502304161,0.751803026,anc2,none,NA
12.5,anc2,C10_11,days,0.17349807381245647,0.11106598338469648,1.5621171174572464,0.21619147733734176,-0.179963455,0.5269596022777854,anc2,none,NA
12.5,anc2,E05_11,days,0.088791654,0.1749336940969076,0.5075731950736344,0.6467154879106263,-0.467925434,0.6455087424871352,anc2,none,NA
12.5,anc2,F10_11,days,0.33368198026344503,0.12480812566622912,2.6735597420619985,0.07546127,-0.063513178,0.7308771386593206,anc2,none,NA
12.5,anc3,B07_12,days,0.05176557,0.092643629,0.5587601705079611,0.6153214720809372,-0.243067804,0.3465989428980006,anc3,none,NA
12.5,anc3,C06_12,days,0.18005399218612486,0.15103567661639342,1.1921288812009188,0.3189149493578404,-0.300608939,0.660716923,anc3,none,NA
12.5,anc3,D07_12,days,0.137249276,0.05469517,2.5093491042496647,0.086987386,-0.036815166,0.3113137187431896,anc3,none,NA
12.5,anc3,F05_12,days,0.18233730940542206,0.049049146,3.7174410747940203,0.033866922682231494,0.026241036469929646,0.3384335823409145,anc3,none,NA
12.5,anc4,B11_12,days,0.4378636634913441,0.28527581067188135,1.534878343,0.22237669921099584,-0.470011286,1.3457386131508873,anc4,none,NA
12.5,anc4,D04_12,days,0.5117255277730652,0.23214397358649888,2.2043455182884246,0.11470535395888642,-0.227060203,1.2505112588072973,anc4,none,NA
12.5,anc4,E02_12,days,0.25065347245117053,0.096651895,2.5933632605175814,0.0808384,-0.056935992,0.5582429372412119,anc4,none,NA
12.5,anc4,F06_12,days,0.4240311012106551,0.18490766240314682,2.293204595741181,0.10564501570253144,-0.164427606,1.0124898082441969,anc4,none,NA
12.5,anc5,B08_10,days,0.6546280745547607,0.22610611127933325,2.895225037708194,0.062745488,-0.064942484,1.3741986329977416,anc5,none,NA
12.5,anc5,C11_10,days,0.8344954716259486,0.24945729487228904,3.345243810381143,0.044214766,0.040611025,1.6283799180183332,anc5,none,NA
12.5,anc5,E07_10,days,1.0052055880265132,0.1503573359546678,6.685444256139116,0.006825908,0.5267014397452794,1.483709736307747,anc5,none,NA
12.5,anc5,F05_10,days,0.9659966553753383,0.24177588147994278,3.9954219149666312,0.028092519282906826,0.19655789465278284,1.7354354160978938,anc5,none,NA
12.5,cc1690,B04_12,days,0.13265321635156271,0.20730889677994813,0.6398819269795736,0.5677649090051257,-0.527096216,0.7924026489613503,cc1690,none,NA
12.5,cc1690,C05_12,days,0.5461797866787579,0.087722135,6.226248232207377,0.008353385,0.26700880291600143,0.8253507704415144,cc1690,none,NA
12.5,cc1690,E05_12,days,0.17095664789068646,0.12112034641947407,1.4114610215744856,0.2529450581320732,-0.214502351,0.5564156468480245,cc1690,none,NA
12.5,cc1690,F07_12,days,0.2710862255935068,0.093155841,2.9100292838229422,0.061995158,-0.025377237,0.5675496879542701,cc1690,none,NA
27.5,1,B09_13,days,0.4815298743839722,0.14770371928472079,3.260106629,0.047127781,0.011470718669650604,0.9515890300982939,anc2,N,NA
27.5,1,C06_13,days,1.0132735650475295,0.12928801670254167,7.837335515624857,0.004325935,0.6018213939750674,1.4247257361199916,anc2,N,NA
27.5,1,E02_13,days,0.6856306653466138,0.10589253471226709,6.474778106,0.007476614,0.3486333594944326,1.022627971198795,anc2,N,NA
27.5,1,F11_13,days,0.624004375,0.3499365239569705,1.7831930434830803,0.17256349717567657,-0.489649823,1.7376585729314047,anc2,N,NA
27.5,10,C02_15,days,0.7896197654299062,0.21740249079785542,3.632064023425142,0.035941310224589545,0.097748012,1.4814915190290163,anc2,L,NA
27.5,10,D05_15,days,0.7177627839570325,0.107228749,6.693753210537693,0.006801799,0.3765130473700574,1.0590125205440075,anc2,L,NA
27.5,10,D11_15,days,0.6525235439139746,0.18040098899302073,3.617072985887118,0.036322161,0.078407083,1.2266400048043402,anc2,L,NA
27.5,10,F08_15,days,0.7967319629622824,0.022445256,35.49667493,4.91663862704795e-5,0.7253011402986758,0.8681627856258891,anc2,L,NA
27.5,11,B07_13,days,1.0183151927941203,0.47495892610293083,2.144006853707253,0.12139267557858147,-0.493216087,2.529846472,anc4,N,NA
27.5,11,C07_13,days,1.2615417255837476,0.42945978479808067,2.9375084006454464,0.060631939425583564,-0.10519098,2.6282744309823354,anc4,N,NA
27.5,11,D11_13,days,1.0601006545816265,0.3662421472531546,2.894534838582796,0.062780746,-0.105445314,2.2256466229466003,anc4,N,NA
27.5,11,G02_13,days,1.049357942,0.3485415550561602,3.0107111371168007,0.057179397,-0.059856843,2.158572725681905,anc4,N,NA
27.5,14,B04_13,days,1.2398481476311953,0.3282386280136532,3.777276779196211,0.032503798,0.19524633865775143,2.2844499566046395,anc2,S,NA
27.5,14,D06_13,days,1.3364875404281626,0.3386509,3.946505205087923,0.029011328,0.25874923424023044,2.4142258466160946,anc2,S,NA
27.5,14,D09_13,days,1.427273139,0.2711841506500574,5.263114143282872,0.013365799710819866,0.5642441404326944,2.2903021370082457,anc2,S,NA
27.5,14,F08_13,days,1.3400833276105657,0.29917515443110315,4.479260085,0.020746299444852026,0.3879744627586188,2.2921921924625126,anc2,S,NA
27.5,15,B02_15,days,1.3160077841922777,0.23436128366731868,5.615295169915443,0.011165156866449226,0.5701655828836725,2.061849985500883,anc4,S,NA
27.5,15,C11_15,days,1.3672196110329493,0.19088493156670452,7.162532944907576,0.005605377,0.7597385658341571,1.9747006562317415,anc4,S,NA
27.5,15,E07_15,days,1.4482086483827168,0.21459830985746844,6.748462508137113,0.006645822,0.76526105,2.1311562467087457,anc4,S,NA
27.5,15,F02_15,days,1.531379283656601,0.25692477093173527,5.960418989975425,0.009447,0.713729996,2.3490285716441646,anc4,S,NA
27.5,16,B05_15,days,1.1400802047798362,0.17888149733044884,6.373382500671712,0.007818982,0.570799445,1.7093609650427404,anc5,B,NA
27.5,16,C08_15,days,1.262336533480183,0.30101502459090207,4.193599755347017,0.024731733687498657,0.30437238063598226,2.220300686324384,anc5,B,NA
