,Species,dataset,r.max,T.br,Sp count
206,Skeletonema tropicum clone spring,"Thomas et al., 2012",1.539327307,10.92831065,182
207,Skeletonema tropicum strain FDK199,"Thomas et al., 2012",1.302619392,17.28304691,183
208,Skeletonema tropicum strain FDK202,"Thomas et al., 2012",1.334169642,16.5652731,184
209,Skeletonema tropicum strain FDK204,"Thomas et al., 2012",1.709039228,16.47749907,185
210,Skeletonema tropicum strain FDK205,"Thomas et al., 2012",1.611328422,16.29179949,186
211,Skeletonema tropicum strain FDK207,"Thomas et al., 2012",1.686747224,16.16283862,187
14,Staurastrum pingue,"Edwards et al., 2016",0.668730704,25.31390058,188
212,Stellarima microtrias,"Thomas et al., 2012",0.564476714,8.97458685,189
213,Stephanopyxis palmeriana,"Thomas et al., 2012",1.10302058,11.0505874,190
214,Stichococcus (possibly S. cylindricus),"Thomas et al., 2012",0.350543589,18.07560669,191
35,Synechococcus,"Lewington-Pearce et al., 2019",0.781939942,19.81098525,192
59,Synechococcus elongatus,"Levasseur et al., 2025",1.513324793,14.34660175,193
215,Synechococcus strain WH8103,"Thomas et al., 2012",0.772484064,14.59824538,194
216,Synedra sp.,"Thomas et al., 2012",0.377966516,9.312733607,195
22,Synura sphagnicola,"Edwards et al., 2016",0.711049314,13.37940754,196
60,Tetraedron minumum,"Levasseur et al., 2025",0.521763431,17.86496101,197
34,Tetraselmis sp.,"Edwards et al., 2016",0.485343208,24.47728083,198
217,Thalassionema nitzschioides,"Thomas et al., 2012",1.589937924,14.97016305,199
218,Thalassionema nitzschioides,"Thomas et al., 2012",1.088223445,20.13835173,199
219,Thalassiosira nordenskioeldii,"Thomas et al., 2012",0.986568008,18.28838911,200
220,Thalassiosira nordenskioeldii clone TN-2,"Thomas et al., 2012",1.136229668,12.01480611,201
221,Thalassiosira pseudonana clone 5A,"Thomas et al., 2012",1.945175556,16.11220293,202
222,Thalassiosira rotula clone A8,"Thomas et al., 2012",1.068441562,19.30331218,203
223,Thalassiosira rotula clone C8,"Thomas et al., 2012",1.487048896,19.45646641,204
224,"Trichodesmium erythraeum strain IMS101, CCMP 1985","Thomas et al., 2012",0.420135334,11.2131157,205
225,Unidentified prymnesiophyte strain NT19,"Thomas et al., 2012",0.551529839,35.82319752,206
