"population","phos","well.ID","µ"
"3",35,"B03_27",1.37081891222016
"30",35,"C03_27",1.33357594599101
"20",35,"D03_27",1.23031968351364
"30",35,"E03_27",1.40791694213953
"7",35,"F03_27",1.28966935384958
"19",50,"B03_28",1.4166756820565
"33",50,"C03_28",1.46209043390533
"8",50,"D03_28",1.46544437358761
"25",50,"E03_28",1.40157377021704
"19",50,"F03_28",1.20306955741731
"33",50,"G03_28",1.27149971403882
"4",50,"B03_29",1.71207211806383
"9",50,"C03_29",1.25093934258213
"22",50,"D03_29",1.18073078371267
"28",50,"E03_29",1.05658948054902
"4",50,"F03_29",1.09614734331357
"9",50,"G03_29",1.30772536470861
"3",0.5,"B03_3",0.373856663812851
"30",0.5,"C03_3",0.126891869321332
"20",0.5,"D03_3",0.347934250762981
"30",0.5,"E03_3",0.42468154354997
"7",0.5,"F03_3",0.342867996418056
"3",50,"B03_30",1.35406251624651
"30",50,"C03_30",1.76492003516051
"20",50,"D03_30",1.28461307248082
"30",50,"E03_30",1.460122880259
"7",50,"F03_30",1.39760100380888
"19",1,"B03_4",0.534516139693237
"33",1,"C03_4",0.416755484051678
"8",1,"D03_4",0.852537282859649
"25",1,"E03_4",0.891280381110653
"19",1,"F03_4",0.441503347550042
"33",1,"G03_4",0.331521712637649
"4",1,"B03_5",0.88472701419691
"9",1,"C03_5",0.439402363908298
"22",1,"D03_5",0.112867656226365
"28",1,"E03_5",0.923408840078334
"4",1,"F03_5",1.3259908481608
"9",1,"G03_5",0.704690992186499
"3",1,"B03_6",0.854994287646366
"30",1,"C03_6",0.386841224630782
"20",1,"D03_6",0.137888621845173
"30",1,"E03_6",0.601998715486465
"7",1,"F03_6",0.500680340264495
"19",2,"B03_7",0.854105653626755
"33",2,"C03_7",0.948006780262499
"8",2,"D03_7",0.940483355923961
"25",2,"E03_7",0.946756662596625
"19",2,"F03_7",1.02509143722879
"33",2,"G03_7",0.872622741516567
"4",2,"B03_8",0.930573610755835
"9",2,"C03_8",0.790893700459285
"22",2,"D03_8",0.704462545183752
"28",2,"E03_8",1.14745763772667
"4",2,"F03_8",0.943854238845668
"9",2,"G03_8",0.800407444481012
"3",2,"B03_9",1.21289210520468
"30",2,"C03_9",0.82068504189945
"20",2,"D03_9",0.862389482987875
"30",2,"E03_9",1.08097530454797
"7",2,"F03_9",0.998047757751449
"14",0.5,"B04_1",0.41769618845964
"32",0.5,"C04_1",0.0371297050703072
"19",0.5,"D04_1",0.15640226913576
"6",0.5,"F04_1",0.805396808091231
"14",4,"B04_10",1.34704974167984
"32",4,"C04_10",1.28601761823507
"19",4,"D04_10",1.05518813321319
"6",4,"F04_10",1.36116443066753
"31",4,"B04_11",1.25402969551623
"35",4,"C04_11",1.4196463218198
"4",4,"D04_11",1.2927973139857
"2",4,"E04_11",1.4120960651225
"21",4,"F04_11",1.21558531500071
"cc1690",4,"B04_12",1.31107023564611
"5",4,"C04_12",1.18400896975698
"anc4",4,"D04_12",1.08914199338963
"16",4,"E04_12",1.29856619047371
"29",4,"F04_12",1.22002180467703
"14",6,"B04_13",1.30855688169345
"32",6,"C04_13",1.46985905830318
"19",6,"D04_13",1.37944474330965
"6",6,"F04_13",1.68583469475238
"31",6,"B04_14",1.38910921889334
"35",6,"C04_14",1.43102129086885
"4",6,"D04_14",1.18636617168839
"2",6,"E04_14",1.62994927319612
"21",6,"F04_14",1.23559910568443
"cc1690",6,"B04_15",1.16913703573894
"5",6,"C04_15",1.25973660157296
"anc4",6,"D04_15",1.07492646632976
"16",6,"E04_15",1.3200589029168
"29",6,"F04_15",1.11875589752885
"14",8,"B04_16",1.3577391384226
"32",8,"C04_16",1.24342154931746
"19",8,"D04_16",1.53626221061359
"6",8,"F04_16",1.35199171492282
"31",8,"B04_17",1.23779029913182
"35",8,"C04_17",1.27610297778925
"4",8,"D04_17",1.48101873550713
"2",8,"E04_17",1.18744606172157
"21",8,"F04_17",1.33732158327415
"cc1690",8,"B04_18",1.22803661760451
"5",8,"C04_18",1.34567747697466
"anc4",8,"D04_18",1.39349036792938
"16",8,"E04_18",1.4910913248683
"29",8,"F04_18",1.32644351193083
"14",10,"B04_19",1.77352249534735
"32",10,"C04_19",1.3403702864337
"19",10,"D04_19",1.51521459063766
"6",10,"F04_19",1.41433171132031
"31",0.5,"B04_2",0.128443240295483
"35",0.5,"C04_2",0.468740776983481
"4",0.5,"D04_2",0.341030291404501
"2",0.5,"E04_2",0.486870063251938
"21",0.5,"F04_2",0.596567587955617
"31",10,"B04_20",1.410403659185
"35",10,"C04_20",1.21721127859522
"4",10,"D04_20",1.42756780668955
"2",10,"E04_20",1.29808883989518
"21",10,"F04_20",1.41897336336839
"cc1690",10,"B04_21",1.23686136206079
"5",10,"C04_21",1.21419285113338
"anc4",10,"D04_21",1.20233184549156
"16",10,"E04_21",1.37080531155429
"29",10,"F04_21",1.18257624125742
"14",20,"B04_22",1.38896144146394
"32",20,"C04_22",1.53493648651882
"19",20,"D04_22",1.30802941565811
"6",20,"F04_22",1.3779949470406
"31",20,"B04_23",1.51941445380627
"35",20,"C04_23",1.40004010946911
"4",20,"D04_23",1.35244409822058
"2",20,"E04_23",1.43607136023685
"21",20,"F04_23",1.38687001080449
"cc1690",20,"B04_24",1.27887730588281
"5",20,"C04_24",1.46140322820493
"anc4",20,"D04_24",1.29742947674418
"16",20,"E04_24",1.28669033384842
"29",20,"F04_24",1.60877869809832
"14",35,"B04_25",1.4885765453103
"32",35,"C04_25",1.38683150304637
"19",35,"D04_25",1.42381602166736
"6",35,"F04_25",1.38285115455288
"31",35,"B04_26",1.29087046129034
"35",35,"C04_26",1.29467923384229
"4",35,"D04_26",1.52221329505016
"2",35,"E04_26",1.40252820116562
"21",35,"F04_26",1.5064204193491
"cc1690",35,"B04_27",1.51238538086609
"5",35,"C04_27",1.36490068595549
"anc4",35,"D04_27",1.26180504158132
"16",35,"E04_27",1.44618320826736
"29",35,"F04_27",1.30266259083113
"14",50,"B04_28",1.47459638696456
"32",50,"C04_28",1.61063013875266
"19",50,"D04_28",1.25806853793576
"6",50,"F04_28",1.19396060048492
"31",50,"B04_29",1.39329361804132
"35",50,"C04_29",1.19304056182432
"4",50,"D04_29",1.20961691326031
"2",50,"E04_29",1.74810021677748
"21",50,"F04_29",1.29305830508332
"cc1690",0.5,"B04_3",0.369581539787195
"5",0.5,"C04_3",0.0939972796658989
"anc4",0.5,"D04_3",0.320608007326968
"16",0.5,"E04_3",0.343893727906882
"29",0.5,"F04_3",0.565265761050632
"cc1690",50,"B04_30",1.41843764641941
"5",50,"C04_30",1.39662277912286
"anc4",50,"D04_30",1.27050859793007
"16",50,"E04_30",1.48130745901905
"29",50,"F04_30",1.31844289487311
"14",1,"B04_4",0.636648063767619
"32",1,"C04_4",0.316895283670785
"19",1,"D04_4",0.824246768114447
"6",1,"F04_4",1.08124734120921
"31",1,"B04_5",0.520300371436111
"35",1,"C04_5",1.20408205075772
