"well_plate","slope","n_pts","phos","population","well","rep"
"C02_23",1.55789902509916,7,20,"21","C02",1
"C02_24",1.47053135835506,6,20,"10","C02",1
"C02_25",1.73275755945742,6,35,"6","C02",1
"C02_26",1.65679166115726,7,35,"21","C02",1
"C02_27",1.51379083867647,5,35,"10","C02",1
"C02_28",1.64292616575486,6,50,"6","C02",1
"C02_29",1.7321696885772,7,50,"21","C02",1
"C02_3",0.156606474690229,5,0.5,"10","C02",1
"C02_30",1.37620651103362,7,50,"10","C02",1
"C02_4",0.829056862628256,5,1,"6","C02",1
"C02_5",1.2069764647031,5,1,"21","C02",1
"C02_6",0.825129394668771,5,1,"10","C02",1
"C02_7",1.10282441133724,5,2,"6","C02",1
"C02_8",1.13918138360877,7,2,"21","C02",1
"C02_9",1.0022032506842,6,2,"10","C02",1
"C03_1",0.272887827653778,5,0.5,"33","C03",1
"C03_10",1.20088793345764,5,4,"33","C03",1
"C03_11",1.32744805231682,5,4,"9","C03",1
"C03_12",1.52703353486289,6,4,"30","C03",1
"C03_13",1.37568254447105,5,6,"33","C03",1
"C03_14",1.5569469763198,5,6,"9","C03",1
"C03_15",1.60252048553003,5,6,"30","C03",1
"C03_16",1.40849480004799,5,8,"33","C03",1
"C03_17",1.41806845038346,7,8,"9","C03",1
"C03_18",1.55473637015743,6,8,"30","C03",1
"C03_19",1.53497947184183,5,10,"33","C03",1
"C03_2",0.0475560914471839,4,0.5,"9","C03",1
"C03_20",1.58254012074039,5,10,"9","C03",1
"C03_21",1.48386539656754,5,10,"30","C03",1
"C03_22",1.58601216209854,5,20,"33","C03",1
"C03_23",1.56606127735024,5,20,"9","C03",1
"C03_24",1.47588227679166,6,20,"30","C03",1
"C03_25",1.80623615425393,5,35,"33","C03",1
"C03_26",1.61244905949135,5,35,"9","C03",1
"C03_27",1.53358166431303,6,35,"30","C03",1
"C03_28",1.65488761713773,5,50,"33","C03",1
"C03_29",1.44230335749135,5,50,"9","C03",1
"C03_3",0.141399690386356,5,0.5,"30","C03",1
"C03_30",1.7943146574092,4,50,"30","C03",1
"C03_4",0.426175060771346,4,1,"33","C03",1
"C03_5",0.52303662510987,5,1,"9","C03",1
"C03_6",0.625571401583967,5,1,"30","C03",1
"C03_7",1.0747191678463,5,2,"33","C03",1
"C03_8",0.921488973538446,5,2,"9","C03",1
"C03_9",1.02240050804231,6,2,"30","C03",1
"C04_1",0.137031917739178,5,0.5,"32","C04",1
"C04_10",1.40566572776161,5,4,"32","C04",1
"C04_11",1.5024713199133,7,4,"35","C04",1
"C04_12",1.32451142478492,6,4,"5","C04",2
"C04_13",1.61219684449773,5,6,"32","C04",1
"C04_14",1.54081342386207,6,6,"35","C04",1
"C04_15",1.39921575611921,7,6,"5","C04",2
"C04_16",1.48727865671352,6,8,"32","C04",1
"C04_17",1.42789670034632,6,8,"35","C04",1
"C04_18",1.51406919087442,6,8,"5","C04",2
"C04_19",1.49892983325165,5,10,"32","C04",1
"C04_2",0.545623366827388,5,0.5,"35","C04",1
"C04_20",1.35900952327853,6,10,"35","C04",1
"C04_21",1.35891088231117,5,10,"5","C04",2
"C04_22",1.69972133700706,5,20,"32","C04",1
"C04_23",1.50510362391565,6,20,"35","C04",1
"C04_24",1.65536076583748,5,20,"5","C04",2
"C04_25",1.55340365506582,5,35,"32","C04",1
"C04_26",1.48712043618533,5,35,"35","C04",1
"C04_27",1.54242190444176,5,35,"5","C04",2
"C04_28",1.76398795992821,5,50,"32","C04",1
"C04_29",1.37697008627023,6,50,"35","C04",1
"C04_3",0.240731788524676,5,0.5,"5","C04",2
"C04_30",1.57141475624083,5,50,"5","C04",2
"C04_4",0.362984071134884,5,1,"32","C04",1
"C04_5",1.37438158225011,5,1,"35","C04",1
"C04_6",0.781406368969702,5,1,"5","C04",2
"C04_7",1.34126796295347,5,2,"32","C04",1
"C04_8",1.34722941325417,5,2,"35","C04",1
"C04_9",1.21704793640463,6,2,"5","C04",2
"C05_1",0.663010903057289,6,0.5,"25","C05",2
"C05_10",1.29351729421024,7,4,"25","C05",2
"C05_11",1.4233374843463,7,4,"28","C05",2
"C05_12",1.41415035458917,5,4,"cc1690","C05",2
"C05_13",1.42172982860946,6,6,"25","C05",2
"C05_14",1.63612161598646,7,6,"28","C05",2
"C05_15",1.43645443449035,6,6,"cc1690","C05",2
"C05_16",1.55350831954056,5,8,"25","C05",2
"C05_17",1.53821836041471,7,8,"28","C05",2
"C05_18",1.46012312728859,5,8,"cc1690","C05",2
"C05_19",1.69682300549602,5,10,"25","C05",2
"C05_2",0.817787371945248,4,0.5,"28","C05",2
"C05_20",1.45605207612164,7,10,"28","C05",2
"C05_21",1.38750328161325,5,10,"cc1690","C05",2
"C05_22",1.65565014553985,4,20,"25","C05",2
"C05_23",1.55010869454738,7,20,"28","C05",2
"C05_24",1.49689897113102,5,20,"cc1690","C05",2
"C05_25",1.67845927987411,6,35,"25","C05",2
"C05_26",1.50688438129369,7,35,"28","C05",2
"C05_27",1.66798429974207,5,35,"cc1690","C05",2
"C05_28",1.56362737209747,5,50,"25","C05",2
"C05_29",1.47684989218614,7,50,"28","C05",2
"C05_3",0.413380167818392,5,0.5,"cc1690","C05",2
"C05_30",1.75934825659415,5,50,"cc1690","C05",2
"C05_4",1.09370033957978,5,1,"25","C05",2
"C05_5",0.888846624116301,5,1,"28","C05",2
"C05_6",0.628420195587606,5,1,"cc1690","C05",2
"C05_7",1.3835194736995,6,2,"25","C05",2
"C05_8",1.21462844130107,5,2,"28","C05",2
"C05_9",1.12646572765755,7,2,"cc1690","C05",2
"C06_1",0.0984863508335983,6,0.5,"1","C06",2
"C06_10",1.34769849561278,5,4,"1","C06",2
"C06_11",1.18093780329249,5,4,"26","C06",2
"C06_12",1.1724201650629,7,4,"anc3","C06",2
"C06_13",1.41141928051529,5,6,"1","C06",2
"C06_14",1.23031519914852,7,6,"26","C06",2
"C06_15",1.24075397279156,7,6,"anc3","C06",2
"C06_16",1.48778021923816,6,8,"1","C06",2
"C06_17",1.34643265177461,5,8,"26","C06",2
"C06_18",1.35473417773182,6,8,"anc3","C06",2
"C06_19",1.45345307214306,6,10,"1","C06",2
"C06_2",0.379458977470872,5,0.5,"26","C06",2
"C06_20",1.45166978770952,5,10,"26","C06",2
"C06_21",1.31202795482747,6,10,"anc3","C06",2
"C06_22",1.41101635669391,7,20,"1","C06",2
"C06_23",1.46395675471399,5,20,"26","C06",2
"C06_24",1.57175865545655,5,20,"anc3","C06",2
"C06_25",1.59691428051776,6,35,"1","C06",2
"C06_26",1.6312748897904,5,35,"26","C06",2
"C06_27",1.39585778903938,5,35,"anc3","C06",2
"C06_28",1.49932113920624,6,50,"1","C06",2
"C06_29",1.55782592030688,5,50,"26","C06",2
"C06_3",0.607971435846875,5,0.5,"anc3","C06",2
"C06_30",1.49927350389226,5,50,"anc3","C06",2
"C06_4",0.710882444432174,5,1,"1","C06",2
"C06_5",0.59059778114048,5,1,"26","C06",2
"C06_6",0.700307369129843,5,1,"anc3","C06",2
"C06_7",0.919737763146008,5,2,"1","C06",2
"C06_8",1.15502159908076,5,2,"26","C06",2
"C06_9",1.08608655092608,7,2,"anc3","C06",2
"C07_1",0.629162775341319,5,0.5,"11","C07",2
"C07_10",1.69431152352648,5,4,"11","C07",2
"C07_11",1.31473586708568,5,4,"27","C07",2
"C07_12",1.3099459507848,6,4,"7","C07",2
"C07_13",1.77845115559189,5,6,"11","C07",2
"C07_14",1.26123376159946,5,6,"27","C07",2
"C07_15",1.47478484413609,5,6,"7","C07",2
"C07_16",1.80035517908986,5,8,"11","C07",2
"C07_17",2.01712879241667,5,8,"27","C07",2
"C07_18",1.38083082011841,7,8,"7","C07",2
"C07_19",1.51719844342998,5,10,"11","C07",2
"C07_2",0.318255990061157,5,0.5,"27","C07",2
"C07_20",1.53252684730719,7,10,"27","C07",2
"C07_21",1.42381389958383,6,10,"7","C07",2
"C07_22",1.67981913492945,5,20,"11","C07",2
"C07_23",1.39206701230101,5,20,"27","C07",2
"C07_24",1.46277844001327,7,20,"7","C07",2
"C07_25",1.60395990561283,6,35,"11","C07",2
"C07_26",1.46677513730333,5,35,"27","C07",2
"C07_27",1.35991926790872,6,35,"7","C07",2
"C07_28",1.41417880823763,5,50,"11","C07",2
"C07_29",1.52201511903864,5,50,"27","C07",2
"C07_3",0.41913103794979,5,0.5,"7","C07",2
"C07_30",1.4781318355448,6,50,"7","C07",2
"C07_4",0.952133240165945,5,1,"11","C07",2
"C07_5",0.651463820148921,3,1,"27","C07",2
"C07_6",0.88273413288775,4,1,"7","C07",2
"C07_7",1.08101270267314,7,2,"11","C07",2
"C07_8",1.08781302141173,5,2,"27","C07",2
"C07_9",1.04099885389486,4,2,"7","C07",2
"C08_11",1.46474632961974,5,4,"2","C08",2
"C08_12",1.27792548678257,6,4,"16","C08",2
"C08_14",1.65485329071168,5,6,"2","C08",2
"C08_15",1.38536905230408,6,6,"16","C08",2
"C08_17",1.36776532114544,5,8,"2","C08",2
"C08_18",1.39001328078149,5,8,"16","C08",2
"C08_2",0.357009395704767,5,0.5,"2","C08",2
"C08_20",1.41080240691412,6,10,"2","C08",2
"C08_21",1.57133703159686,5,10,"16","C08",2
"C08_23",1.5771878020302,5,20,"2","C08",2
"C08_24",1.47098024678336,6,20,"16","C08",2
"C08_26",1.56054433562396,6,35,"2","C08",2
"C08_27",1.48550611392313,5,35,"16","C08",2
"C08_29",1.44623518958645,7,50,"2","C08",2
"C08_3",0.334358044938882,7,0.5,"16","C08",2
"C08_30",1.43767719466422,5,50,"16","C08",2
"C08_5",0.750953352297309,5,1,"2","C08",2
"C08_6",0.545676199977266,5,1,"16","C08",2
"C08_8",1.09049201046298,5,2,"2","C08",2
"C08_9",0.935721322700081,7,2,"16","C08",2
"C09_1",0.584570083479046,5,0.5,"6","C09",2
"C09_10",1.52187446384342,5,4,"6","C09",2
"C09_11",1.39238782528997,7,4,"21","C09",2
"C09_12",1.2438503794956,6,4,"30","C09",2
"C09_13",1.53843370734225,6,6,"6","C09",2
"C09_14",1.56639835919524,6,6,"21","C09",2
"C09_15",1.76693917729955,5,6,"30","C09",2
"C09_16",1.60347277466096,6,8,"6","C09",2
"C09_17",1.66519313843553,7,8,"21","C09",2
"C09_18",1.48904950982652,6,8,"30","C09",2
"C09_19",1.56216144138642,6,10,"6","C09",2
"C09_2",0.746056988571377,5,0.5,"21","C09",2
"C09_20",1.6692814398249,7,10,"21","C09",2
"C09_21",1.41066265975889,5,10,"30","C09",2
"C09_22",1.61266217898812,7,20,"6","C09",2
"C09_23",1.69060037990847,7,20,"21","C09",2
"C09_24",1.42467269695046,5,20,"30","C09",2
"C09_25",1.61292565548143,7,35,"6","C09",2
"C09_26",1.74006811059341,7,35,"21","C09",2
"C09_27",1.45847569179846,7,35,"30","C09",2
"C09_28",1.46810850511109,7,50,"6","C09",2
"C09_29",1.62567448952582,7,50,"21","C09",2
"C09_3",0.16398264499025,6,0.5,"30","C09",2
"C09_30",1.52235106828309,4,50,"30","C09",2
"C09_4",0.795231228930912,6,1,"6","C09",2
"C09_5",0.906297081547342,5,1,"21","C09",2
"C09_6",0.441234847841529,5,1,"30","C09",2
"C09_7",1.0831804795631,5,2,"6","C09",2
"C09_8",1.18064008825676,6,2,"21","C09",2
"C09_9",0.984872970193367,5,2,"30","C09",2
"C10_1",0.390767872484841,5,0.5,"23","C10",2
"C10_10",1.33200145487532,5,4,"23","C10",2
"C10_11",1.2339763154386,7,4,"anc2","C10",3
"C10_12",1.4387324106067,5,4,"3","C10",2
